cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
108, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42156939870638, 17.041997674723127]"
98, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42534662117835, 17.037848497181653]"
128, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.427067659548484, 17.040474693078536]"
191, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.4231205633155, 17.040621289033197]"
81, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42579561053689, 17.03822230452076]"
46, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.422347389443544, 17.041466734315932]"
99, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.425588147327296, 17.03781058966511]"
56, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.422847364101116, 17.041843499301134]"
50, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.426135840201376, 17.041410782242533]"
57, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.423341550168644, 17.043830655517624]"
71, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.431703761287764, 17.05428545838159]"
49, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42314938705419, 17.042170258502736]"
164, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.43141866393329, 17.057136125060417]"
68, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.43168359598497, 17.054438212356597]"
189, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.427368211494176, 17.04098656954671]"
14, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.4247259925786, 17.041008372835243]"
48, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42214279431885, 17.041579889027386]"
53, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42462238796535, 17.040539621920743]"
55, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42277559244488, 17.041716189969275]"
173, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.41825256941497, 17.043022645887532]"
78, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42719022608206, 17.038113456125018]"
190, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42102391383111, 17.04265217134803]"
62, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.42553560460742, 17.039731180883642]"
90, , ,79804,Alojzov,Alojzov,Alojzov,774707,"[49.41899431578813, 17.042891220226018]"
