cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
128, ,Žižkova,Bakov nad Jizerou,Bakov nad Jizerou,374699207,"[50.48154044400555, 14.940672147647968]"
128, ,Smetanova,Bakov nad Jizerou,Bakov nad Jizerou,374699207,"[50.481436871442156, 14.940703281234567]"
1085, ,Boleslavská,Bakov nad Jizerou,Bakov nad Jizerou,374759207,"[50.4761846212308, 14.937997707105675]"
198, , ,Bakov nad Jizerou,Malá Bělá,375239207,"[50.48960215511143, 14.917967263465625]"
1016, ,Ku splávku,Bakov nad Jizerou,Bakov nad Jizerou,374586207,"[50.471286505776526, 14.943874374000757]"
43, , ,Bakov nad Jizerou,Horka,606476207,"[50.47743523005801, 14.951305732898867]"
734, ,Brigádnická,Bakov nad Jizerou,Bakov nad Jizerou,374649207,"[50.46953800171295, 14.94284896068972]"
40, , ,Bakov nad Jizerou,Horka,62186075010,"[50.477019676612926, 14.950377795521845]"
1155, ,Nad Stráněmi,Bakov nad Jizerou,Bakov nad Jizerou,597306207,"[50.473564404978504, 14.934968174804192]"
639, ,Čapkova,Bakov nad Jizerou,Bakov nad Jizerou,0,"[50.47344270271724, 14.938599444189649]"
65, , ,Bakov nad Jizerou,Buda,62229795010,"[50.48335236406024, 14.991313164095512]"
1197, ,Konečná,Bakov nad Jizerou,Bakov nad Jizerou,61226685010,"[50.47307762448974, 14.944817275415904]"
183, ,Jizerní,Bakov nad Jizerou,Bakov nad Jizerou,373895207,"[50.480340679021396, 14.931930126439289]"
63, , ,Bakov nad Jizerou,Buda,61155556010,"[50.48350758495035, 14.992866364740994]"
115, , ,Bakov nad Jizerou,Chudoplesy,61142500010,"[50.457976642113614, 14.927477184555507]"
29, , ,Bakov nad Jizerou,Buda,374897207,"[50.48428176314995, 14.991917433477168]"
41, , ,Bakov nad Jizerou,Horka,61185491010,"[50.47478723251216, 14.965748664174624]"
27, , ,Bakov nad Jizerou,Zvířetice,375485207,"[50.476115321966205, 14.910969655148252]"
114, , ,Bakov nad Jizerou,Chudoplesy,60916548010,"[50.461002706779794, 14.928913054969595]"
1196, ,Boční,Bakov nad Jizerou,Bakov nad Jizerou,60686475010,"[50.47297967734602, 14.943104267612245]"
113, , ,Bakov nad Jizerou,Chudoplesy,61363809010,"[50.46041839834887, 14.930048050126578]"
62, , ,Bakov nad Jizerou,Buda,61000508010,"[50.48394498949117, 14.9939313695477]"
785, ,Svatojánská,Bakov nad Jizerou,Bakov nad Jizerou,373709207,"[50.47460978837033, 14.94348866490439]"
37, , ,Bakov nad Jizerou,Malá Bělá,375210207,"[50.4894846604849, 14.920861590579102]"
1195, ,Souběžná,Bakov nad Jizerou,Bakov nad Jizerou,60617786010,"[50.47910423697351, 14.947592003957062]"
41, , ,Bakov nad Jizerou,Malá Bělá,375243207,"[50.4868616052552, 14.924582322556606]"
60, , ,Bakov nad Jizerou,Malá Bělá,375127207,"[50.486186464930945, 14.924749098775017]"
26, , ,Bakov nad Jizerou,Zvířetice,375496207,"[50.474244587134024, 14.909749005475803]"
441, ,Na Výsluní,Bakov nad Jizerou,Bakov nad Jizerou,549142207,"[50.479804309699475, 14.944556371256647]"
14, , ,Bakov nad Jizerou,Zvířetice,375480207,"[50.475211743009915, 14.910147279306528]"
69, , ,Bakov nad Jizerou,Malá Bělá,375075207,"[50.48836295172899, 14.921929752198187]"
697, ,Riegrova,Bakov nad Jizerou,Bakov nad Jizerou,374285207,"[50.48102866233373, 14.93335097669305]"
466, ,Dvořákova,Bakov nad Jizerou,Bakov nad Jizerou,373920207,"[50.478564226601456, 14.940007612101507]"
1191, ,Rybní důl,Bakov nad Jizerou,Bakov nad Jizerou,50140241010,"[50.470133002820056, 14.93903299668998]"
61, , ,Bakov nad Jizerou,Buda,50009251010,"[50.485378620679285, 14.994001880153828]"
