cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
39, , ,Blanné,Blanné,29082195010,"[48.99067638600371, 15.885573428780654]"
14, , ,Blanné,Blanné,657650713,"[48.9914332309423, 15.879686441418393]"
9, , ,Blanné,Blanné,657642713,"[48.991743275520754, 15.884501837919167]"
25, , ,Blanné,Blanné,657645713,"[48.99266194472864, 15.882920100608608]"
29, , ,Blanné,Blanné,657609713,"[48.988505783041454, 15.878600988526726]"
26, , ,Blanné,Blanné,657610713,"[48.99120159834527, 15.884172265056238]"
20, , ,Blanné,Blanné,657611713,"[48.9911212455833, 15.884420561478716]"
28, , ,Blanné,Blanné,657613713,"[48.99103984015538, 15.884655286002246]"
17, , ,Blanné,Blanné,657615713,"[48.99185293342129, 15.883230075016897]"
1, , ,Blanné,Blanné,657623713,"[48.991734332035904, 15.880182897372695]"
32, , ,Blanné,Blanné,657631713,"[48.99323041803786, 15.883244872115702]"
30, , ,Blanné,Blanné,657647713,"[48.988911260437256, 15.8779917535821]"
22, , ,Blanné,Blanné,657653713,"[48.99253477985771, 15.882681432429697]"
31, , ,Blanné,Blanné,657655713,"[48.99311377699552, 15.883141916653232]"
11, , ,Blanné,Blanné,657657713,"[48.99035266503537, 15.876962998196955]"
35, , ,Blanné,Blanné,657660713,"[48.989145489807676, 15.877509502166241]"
36, , ,Blanné,Blanné,657661713,"[48.98907353648045, 15.877632465415056]"
34, , ,Blanné,Blanné,657664713,"[48.989322506382024, 15.877340197247266]"
23, , ,Blanné,Blanné,657665713,"[48.99202512281251, 15.882181022290144]"
15, , ,Blanné,Blanné,657666713,"[48.991536171132346, 15.883465665620934]"
6, , ,Blanné,Blanné,657668713,"[48.992074693623245, 15.883754518893888]"
21, , ,Blanné,Blanné,657639713,"[48.99215334111393, 15.88243325809229]"
18, , ,Blanné,Blanné,657651713,"[48.99194747606261, 15.883048030446858]"
19, , ,Blanné,Blanné,657640713,"[48.99206354926237, 15.882793331086784]"
37, , ,Blanné,Blanné,859032713,"[48.99174851140865, 15.88433578481131]"
4, , ,Blanné,Blanné,657656713,"[48.9923089471806, 15.883272263793803]"
33, , ,Blanné,Blanné,657632713,"[48.99095633004263, 15.884862867599571]"
13, , ,Blanné,Blanné,657633713,"[48.99140539139735, 15.883764272157697]"
7, , ,Blanné,Blanné,657635713,"[48.99198751531139, 15.884031561971417]"
8, , ,Blanné,Blanné,657637713,"[48.99186828283406, 15.88424554411205]"
12, , ,Blanné,Blanné,657638713,"[48.99132609172526, 15.884026141418039]"
16, , ,Blanné,Blanné,657658713,"[48.99176732135409, 15.88341051986592]"
10, , ,Blanné,Blanné,657616713,"[48.98882116050833, 15.87827646958302]"
38, , ,Blanné,Blanné,28069433010,"[48.99245599483473, 15.88283313866327]"
3, , ,Blanné,Blanné,657630713,"[48.99241242074379, 15.8830886185217]"
5, , ,Blanné,Blanné,657625713,"[48.99209830293844, 15.88347509667791]"
24, , ,Blanné,Blanné,657644713,"[48.993258207404736, 15.882785813182027]"
27, , ,Blanné,Blanné,657671713,"[48.99288581011618, 15.88297069377374]"
40, , ,Blanné,Blanné,0,"[48.990556357586115, 15.88579002019014]"
