cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
768, ,U Trati,33601,Blovice,Blovice,Blovice,605735,"[49.58618601831975, 13.532307642210524]"
592, ,Spojovací,33601,Blovice,Blovice,Blovice,605735,"[49.58562357800807, 13.532682873440338]"
827, ,Pod Výkupem,33601,Blovice,Blovice,Blovice,605735,"[49.57810346343749, 13.536126219625208]"
503, ,Raušarovy sady,33601,Blovice,Blovice,Blovice,605735,"[49.578032234798535, 13.530105895501631]"
41, , ,33601,Blovice,Blovice,Blovice,605735,"[49.598341502745896, 13.534139302675975]"
78, ,Pod Strání,33601,Blovice,Hradiště,Hradiště,605751,"[49.5747100873435, 13.546558473917026]"
788, ,Tržní,33601,Blovice,Blovice,Blovice,605735,"[49.5773075776786, 13.5365540941695]"
259, , ,33601,Blovice,Blovice,Blovice,605735,"[49.5982847055795, 13.537631834011439]"
263, ,Husova,33601,Blovice,Blovice,Blovice,605735,"[49.579052267677035, 13.533999244566175]"
950, ,Javorová,33601,Blovice,Blovice,Blovice,605735,"[49.574746540661, 13.530256203832105]"
34, , ,33601,Blovice,Vlčice,Vlčice,783757,"[49.56917987869814, 13.545477715627012]"
39, , ,33601,Blovice,Hradiště,Hradiště,605751,"[49.57569569553725, 13.545323386338387]"
45, , ,33601,Blovice,Štítov,Štítov,763985,"[49.601559752243006, 13.563238230094202]"
329, ,Pod Rybníčkem,33601,Blovice,Blovice,Blovice,605735,"[49.57965495890798, 13.53432987449245]"
743, ,Fügnerova,33601,Blovice,Blovice,Blovice,605735,"[49.57701970718585, 13.534167276259911]"
46, , ,33601,Blovice,Štítov,Štítov,763985,"[49.60164030865407, 13.563079984516193]"
42, , ,33601,Blovice,Štítov,Štítov,763985,"[49.601888224386194, 13.564653054033514]"
614, ,Hájecká,33601,Blovice,Blovice,Blovice,605735,"[49.58716981819426, 13.53218693087475]"
40, , ,33601,Blovice,Vlčice,Vlčice,783757,"[49.56377406532352, 13.544820907962636]"
257, ,Blahnova,33601,Blovice,Blovice,Blovice,605735,"[49.586609892923484, 13.53731698729129]"
205, ,Malá ulice,33601,Blovice,Blovice,Blovice,605735,"[49.58248511723012, 13.540675845293142]"
170, ,Blahnova,33601,Blovice,Blovice,Blovice,605735,"[49.58634467493299, 13.537453274868632]"
16, , ,33601,Blovice,Vlčice,Vlčice,783757,"[49.56765336563142, 13.547262780088786]"
235, ,Setecká,33601,Blovice,Blovice,Blovice,605735,"[49.585859876444644, 13.536208410606829]"
56, , ,33601,Blovice,Štítov,Štítov,763985,"[49.60122997141984, 13.563948896029368]"
473, ,Raušarovy sady,33601,Blovice,Blovice,Blovice,605735,"[49.57802224761131, 13.528922236021256]"
203, ,U Nádraží,33601,Blovice,Blovice,Blovice,605735,"[49.58038049098921, 13.530692474930676]"
520, ,Hájecká,33601,Blovice,Blovice,Blovice,605735,"[49.58729160246807, 13.53250402443598]"
4, , ,33601,Blovice,Blovice,Blovice,605735,"[49.59901236194234, 13.533870924599405]"
250, ,Kamensko,33601,Blovice,Blovice,Blovice,605735,"[49.6008136052672, 13.536790182962754]"
125, ,Pod Valem,33601,Blovice,Hradiště,Hradiště,605751,"[49.57209042443705, 13.544722163314368]"
567, ,Fügnerova,33601,Blovice,Blovice,Blovice,605735,"[49.575615171809226, 13.534240630538509]"
128, ,Pobřežní,33601,Blovice,Blovice,Blovice,605735,"[49.58040910587009, 13.542033583703612]"
26, , ,33601,Blovice,Vlčice,Vlčice,783757,"[49.56642740478835, 13.545815085534207]"
24, , ,33601,Blovice,Vlčice,Vlčice,783757,"[49.56422574133773, 13.544843411890696]"
255, , ,33601,Blovice,Blovice,Blovice,605735,"[49.597872018388415, 13.538062555157738]"
757, ,Tržní,33601,Blovice,Blovice,Blovice,605735,"[49.576856164482855, 13.535944935093353]"
21, , ,33601,Blovice,Vlčice,Vlčice,783757,"[49.56671562623605, 13.546606110183307]"
87, ,Bělohrobského,33601,Blovice,Blovice,Blovice,605735,"[49.58244486043709, 13.540156409506189]"
62, , ,33601,Blovice,Vlčice,Vlčice,783757,"[49.564547185233785, 13.545001952023535]"
