cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
116, ,nám. Svobody,66456,Blučina,Blučina,Blučina,605808,"[49.055299159426156, 16.646327913545]"
5, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05490091982984, 16.63876560048505]"
68, ,Měnínská,66456,Blučina,Blučina,Blučina,605808,"[49.05491824006115, 16.649508423857345]"
187, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.05345850555671, 16.651295611128965]"
537, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05530759972037, 16.637400224820716]"
192, ,Nová,66456,Blučina,Blučina,Blučina,605808,"[49.056593632219155, 16.653590211701722]"
708, ,Fialky,66456,Blučina,Blučina,Blučina,605808,"[49.05051732789243, 16.652152354383883]"
24, ,nám. Svobody,66456,Blučina,Blučina,Blučina,605808,"[49.05478667749885, 16.645845662977976]"
569, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.05571298131201, 16.641221999814945]"
366, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.05231585225443, 16.650523431700037]"
165, ,Nová,66456,Blučina,Blučina,Blučina,605808,"[49.0563543288146, 16.653402284735122]"
232, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.05357504757594, 16.647779365195106]"
283, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.05216725683798, 16.650793517943313]"
548, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05436296171541, 16.64065586705978]"
796, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.053161764522734, 16.648160086803145]"
449, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05558465646463, 16.63315899099752]"
616, ,Nová,66456,Blučina,Blučina,Blučina,605808,"[49.051140787774976, 16.650096342267734]"
514, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.056750000084314, 16.644293134922947]"
543, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05478019391314, 16.630691133632652]"
616, ,Osvobození,66456,Blučina,Blučina,Blučina,605808,"[49.05115165239424, 16.650122085742947]"
706, ,Zahradní,66456,Blučina,Blučina,Blučina,605808,"[49.05454646981491, 16.655706245087938]"
504, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.05376684322256, 16.65167575294753]"
354, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.0572231057142, 16.646721242958]"
352, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.057189352369285, 16.64635394522953]"
760, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.05318878955517, 16.649128172766638]"
433, ,Na Příkopech,66456,Blučina,Blučina,Blučina,605808,"[49.056046371772425, 16.654932212149173]"
194, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.05375324577885, 16.650913945675676]"
50, ,Měnínská,66456,Blučina,Blučina,Blučina,605808,"[49.05450342038031, 16.651106055667963]"
38, ,Měnínská,66456,Blučina,Blučina,Blučina,605808,"[49.05473850951124, 16.648241762234374]"
387, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.052040451583814, 16.650121817275647]"
335, ,Nová,66456,Blučina,Blučina,Blučina,605808,"[49.05593086141969, 16.65306310508354]"
515, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.056719471866344, 16.64415693313622]"
415, ,Na Příkopech,66456,Blučina,Blučina,Blučina,605808,"[49.0558570827031, 16.654799267795777]"
364, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.05235940659146, 16.650760837788525]"
540, ,Hřbitovní,66456,Blučina,Blučina,Blučina,605808,"[49.05282266942432, 16.65579851564811]"
735, ,U Hájičku,66456,Blučina,Blučina,Blučina,605808,"[49.049392232609144, 16.649543095261077]"
140, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05483870023758, 16.639520867649217]"
587, ,Dukelská,66456,Blučina,Blučina,Blučina,605808,"[49.052177841916446, 16.64748543282758]"
431, ,Příční,66456,Blučina,Blučina,Blučina,605808,"[49.055938978215224, 16.65396263421029]"
383, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.055132843021795, 16.635358918958897]"
111, ,nám. Svobody,66456,Blučina,Blučina,Blučina,605808,"[49.05555332629288, 16.64705834479029]"
685, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.05274658601432, 16.651351685671127]"
489, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.05677216878079, 16.64595433440625]"
228, ,Nová,66456,Blučina,Blučina,Blučina,605808,"[49.054874674305275, 16.652245875896092]"
25, ,nám. Svobody,66456,Blučina,Blučina,Blučina,605808,"[49.054777033305236, 16.64601238337643]"
450, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05530745211295, 16.632750713684974]"
119, ,nám. Svobody,66456,Blučina,Blučina,Blučina,605808,"[49.05506125721888, 16.645408077321736]"
486, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05533862644288, 16.633361871129754]"
128, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05485337523494, 16.642764891711842]"
254, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.054355307656, 16.640748361575728]"
113, ,nám. Svobody,66456,Blučina,Blučina,Blučina,605808,"[49.05541155058788, 16.64661901746694]"
102, ,Havlíčkova,66456,Blučina,Blučina,Blučina,605808,"[49.05621389921971, 16.649408799625665]"
155, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.05352436781908, 16.648932745530125]"
171, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.05335938389233, 16.650768534486108]"
10, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05456457668288, 16.64217433894126]"
87, ,Havlíčkova,66456,Blučina,Blučina,Blučina,605808,"[49.055827040752916, 16.650467934226313]"
249, ,Měnínská,66456,Blučina,Blučina,Blučina,605808,"[49.054179199746486, 16.652007366790137]"
69, ,Měnínská,66456,Blučina,Blučina,Blučina,605808,"[49.054926789331084, 16.649267295017275]"
522, ,Hřbitovní,66456,Blučina,Blučina,Blučina,605808,"[49.05296630933703, 16.655166235607528]"
462, ,Zahradní,66456,Blučina,Blučina,Blučina,605808,"[49.05480786924378, 16.65470651429181]"
424, ,Zahradní,66456,Blučina,Blučina,Blučina,605808,"[49.05484834394666, 16.653796993702368]"
553, ,Osvobození,66456,Blučina,Blučina,Blučina,605808,"[49.05122820730498, 16.649671004315497]"
101, ,Havlíčkova,66456,Blučina,Blučina,Blučina,605808,"[49.056191666557545, 16.64960607115146]"
565, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.055825405541356, 16.641655254261963]"
205, ,Nová,66456,Blučina,Blučina,Blučina,605808,"[49.05500446764474, 16.65235854181581]"
689, ,Fialky,66456,Blučina,Blučina,Blučina,605808,"[49.050845236981935, 16.653558152904896]"
166, ,Na Lázních,66456,Blučina,Blučina,Blučina,605808,"[49.05715571774637, 16.644983208956244]"
261, ,Hřbitovní,66456,Blučina,Blučina,Blučina,605808,"[49.05416146333098, 16.65246412226558]"
631, , ,66456,Blučina,Blučina,Blučina,605808,"[49.05805430298482, 16.64950599324166]"
740, ,U Hájičku,66456,Blučina,Blučina,Blučina,605808,"[49.04905467542686, 16.64950201412955]"
533, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.057008835462284, 16.64712667067955]"
618, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.05599758409985, 16.64242043638337]"
11, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05444023055757, 16.64002750465509]"
776, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.05288213138046, 16.65145101842216]"
584, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.05581518067167, 16.640115154948468]"
568, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.05573682396211, 16.641333970619808]"
766, ,Hřbitovní,66456,Blučina,Blučina,Blučina,605808,"[49.05266555128179, 16.65673683785175]"
624, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.0528259916006, 16.651416856426135]"
679, ,U Hájičku,66456,Blučina,Blučina,Blučina,605808,"[49.05042247558383, 16.64870601061335]"
737, ,U Hájičku,66456,Blučina,Blučina,Blučina,605808,"[49.04924215638886, 16.64955169284693]"
279, ,Nová,66456,Blučina,Blučina,Blučina,605808,"[49.05528131998413, 16.65221003287723]"
157, ,Hřbitovní,66456,Blučina,Blučina,Blučina,605808,"[49.05365125092037, 16.65260098768272]"
692, ,Zahradní,66456,Blučina,Blučina,Blučina,605808,"[49.054568054100855, 16.655590558793698]"
643, ,V Humnech,66456,Blučina,Blučina,Blučina,605808,"[49.05715302686558, 16.650219003079183]"
693, ,Hřbitovní,66456,Blučina,Blučina,Blučina,605808,"[49.05265603948464, 16.656563766340156]"
532, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.05701189548915, 16.646999831146523]"
617, ,Nová,66456,Blučina,Blučina,Blučina,605808,"[49.055775582397466, 16.65258977638508]"
648, ,V Humnech,66456,Blučina,Blučina,Blučina,605808,"[49.05709094436275, 16.650882598485836]"
319, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.05267025956619, 16.649696191407088]"
9, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.054572947968566, 16.639543635509245]"
526, ,Osvobození,66456,Blučina,Blučina,Blučina,605808,"[49.050665373892876, 16.650388940963097]"
244, ,nám. Svobody,66456,Blučina,Blučina,Blučina,605808,"[49.05478486563935, 16.645655083799898]"
600, ,Na Lázních,66456,Blučina,Blučina,Blučina,605808,"[49.05649060976867, 16.645239522894094]"
500, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05516635225335, 16.63233195283851]"
705, ,Hřbitovní,66456,Blučina,Blučina,Blučina,605808,"[49.053198145372946, 16.654507278750724]"
724, ,Zahradní,66456,Blučina,Blučina,Blučina,605808,"[49.05488714240119, 16.655882414804434]"
145, ,Na Cézavě,66456,Blučina,Blučina,Blučina,605808,"[49.05524494285441, 16.63838044489082]"
197, ,Komenského,66456,Blučina,Blučina,Blučina,605808,"[49.05438773085253, 16.64111447921556]"
39, ,Měnínská,66456,Blučina,Blučina,Blučina,605808,"[49.05472521305116, 16.648457933340154]"
172, ,Hřbitovní,66456,Blučina,Blučina,Blučina,605808,"[49.05326464617269, 16.65325830690271]"
274, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.052619899432486, 16.648629552610934]"
425, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.05228381186342, 16.64881776842156]"
304, ,Sokolská,66456,Blučina,Blučina,Blučina,605808,"[49.053230528715396, 16.648994462379825]"
479, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.05633135509738, 16.642468013463127]"
465, ,Zahradní,66456,Blučina,Blučina,Blučina,605808,"[49.055001585589984, 16.653589997166243]"
721, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.052656395478564, 16.651320755923066]"
524, ,Návrší,66456,Blučina,Blučina,Blučina,605808,"[49.05378487923202, 16.649966800896188]"
645, ,V Humnech,66456,Blučina,Blučina,Blučina,605808,"[49.05684576136502, 16.650409389247653]"
623, ,ul. 9. května,66456,Blučina,Blučina,Blučina,605808,"[49.056113147940046, 16.642926258287755]"
