cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
20, , ,Bohdalovice,Bohdalovice,0,"[48.74256130849361, 14.287366806076506]"
43, , ,Bohdalovice,Bohdalovice,61180887010,"[48.74327054142579, 14.285501352968861]"
54, , ,Bohdalovice,Bohdalovice,97918302,"[48.75070323963102, 14.269256864343145]"
3, , ,Bohdalovice,Slubice,97979302,"[48.72664481710857, 14.309700758574667]"
2, , ,Bohdalovice,Slubice,97982302,"[48.726611040008116, 14.309624702726138]"
9, , ,Bohdalovice,Slubice,0,"[48.72706036479337, 14.307620023316359]"
19, , ,Bohdalovice,Bohdalovice,0,"[48.742306675957266, 14.28938269314629]"
4, , ,Bohdalovice,Suš,107240302,"[48.72322358530118, 14.284123091294534]"
3, , ,Bohdalovice,Suš,107221302,"[48.72325553817335, 14.28406792242543]"
13, , ,Bohdalovice,Suš,97805302,"[48.72792623336271, 14.272369019436132]"
38, , ,Bohdalovice,Bohdalovice,29093107010,"[48.74205292936342, 14.285558628800178]"
52, , ,Bohdalovice,Bohdalovice,27159328010,"[48.74266769488212, 14.284742731948056]"
41, , ,Bohdalovice,Bohdalovice,25841019010,"[48.7426728174675, 14.285290729358678]"
2, , ,Bohdalovice,Slubice,97987302,"[48.72809089955261, 14.315149055420768]"
10, , ,Bohdalovice,Suš,97817302,"[48.72690145615159, 14.270513021977374]"
47, , ,Bohdalovice,Suš,0,"[48.72815153063366, 14.241910025603525]"
6, , ,Bohdalovice,Suš,97823302,"[48.727243877309604, 14.267339371090129]"
11, , ,Bohdalovice,Suš,97834302,"[48.726871435091105, 14.270876151047691]"
35, , ,Bohdalovice,Suš,97769302,"[48.72769857996318, 14.270001770655977]"
46, , ,Bohdalovice,Suš,97770302,"[48.71551362884708, 14.236035164743392]"
17, , ,Bohdalovice,Suš,97772302,"[48.72655160203512, 14.268789138410328]"
26, , ,Bohdalovice,Suš,97774302,"[48.72644622724944, 14.26990919845269]"
34, , ,Bohdalovice,Suš,97775302,"[48.72764288773133, 14.248577579445628]"
16, , ,Bohdalovice,Suš,97778302,"[48.724878560999066, 14.267385676857447]"
28, , ,Bohdalovice,Suš,97779302,"[48.7261424373427, 14.271043663179553]"
15, , ,Bohdalovice,Suš,97780302,"[48.727593931970084, 14.268377072950829]"
32, , ,Bohdalovice,Suš,97782302,"[48.726452663550354, 14.270470475340343]"
8, , ,Bohdalovice,Suš,97783302,"[48.72725213855942, 14.263989183598245]"
5, , ,Bohdalovice,Suš,97785302,"[48.72054828810509, 14.233048494388617]"
8, , ,Bohdalovice,Suš,97787302,"[48.70668877410348, 14.267628798875828]"
6, , ,Bohdalovice,Suš,97790302,"[48.72094790169563, 14.237066809074932]"
4, , ,Bohdalovice,Suš,97791302,"[48.72864160637593, 14.264189897874397]"
43, , ,Bohdalovice,Suš,97792302,"[48.727695390038, 14.267902798048919]"
3, , ,Bohdalovice,Suš,97794302,"[48.726930641464634, 14.26994422451675]"
2, , ,Bohdalovice,Suš,97796302,"[48.72694657805741, 14.269625234389999]"
1, , ,Bohdalovice,Suš,97798302,"[48.726962106409346, 14.269498451462944]"
5, , ,Bohdalovice,Suš,97811302,"[48.7269240179729, 14.27006912837634]"
40, , ,Bohdalovice,Suš,97812302,"[48.727427485907604, 14.270113859373653]"
36, , ,Bohdalovice,Suš,97815302,"[48.72743410944323, 14.269988954253675]"
39, , ,Bohdalovice,Suš,97816302,"[48.72663119494175, 14.270830772814787]"
2, , ,Bohdalovice,Suš,97781302,"[48.72875451620715, 14.267967481312974]"
37, , ,Bohdalovice,Suš,97814302,"[48.727446113043925, 14.269725683103527]"
12, , ,Bohdalovice,Suš,97821302,"[48.726864810573204, 14.271001054644719]"
30, , ,Bohdalovice,Suš,97788302,"[48.72635098967392, 14.271040835750096]"
7, , ,Bohdalovice,Suš,97776302,"[48.70667284257261, 14.267947659566921]"
38, , ,Bohdalovice,Suš,97813302,"[48.72744383080107, 14.26960265684709]"
2, , ,Bohdalovice,Bohdalovice,108080302,"[48.75096444908604, 14.268097449224028]"
39, , ,Bohdalovice,Bohdalovice,16493090010,"[48.74222899389701, 14.285301898026946]"
37, , ,Bohdalovice,Bohdalovice,23053376010,"[48.741894675533906, 14.285811604499257]"
48, , ,Bohdalovice,Bohdalovice,233294302,"[48.74370397910786, 14.28534796432745]"
47, , ,Bohdalovice,Bohdalovice,15073801010,"[48.74381413621647, 14.285558112571644]"
1, , ,Bohdalovice,Slavkov,0,"[48.7640187796401, 14.243325657476968]"
9, , ,Bohdalovice,Kaliště,97911302,"[48.76516868822043, 14.263133752514278]"
16, , ,Bohdalovice,Svéraz,97853302,"[48.72145501179816, 14.293355025876293]"
51, , ,Bohdalovice,Bohdalovice,14549409010,"[48.74289654205128, 14.284763137426104]"
50, , ,Bohdalovice,Bohdalovice,231963302,"[48.74312393134638, 14.284866212653718]"
21, , ,Bohdalovice,Bohdalovice,97968302,"[48.7428269070267, 14.285682007939833]"
28, , ,Bohdalovice,Bohdalovice,97960302,"[48.74263918876083, 14.286120606489133]"
33, , ,Bohdalovice,Bohdalovice,97973302,"[48.74205000362382, 14.286536451070592]"
22, , ,Bohdalovice,Bohdalovice,97967302,"[48.74283109711493, 14.285814139114487]"
23, , ,Bohdalovice,Bohdalovice,97963302,"[48.745320051453064, 14.265005006804028]"
36, , ,Bohdalovice,Bohdalovice,97920302,"[48.74220208055554, 14.286007635346559]"
25, , ,Bohdalovice,Bohdalovice,97926302,"[48.74177437405869, 14.285110265118364]"
26, , ,Bohdalovice,Bohdalovice,97965302,"[48.74242522458956, 14.286002618155763]"
30, , ,Bohdalovice,Bohdalovice,97912302,"[48.742939282809964, 14.286052153913028]"
24, , ,Bohdalovice,Bohdalovice,97930302,"[48.74534207288688, 14.26623932069777]"
27, , ,Bohdalovice,Bohdalovice,97964302,"[48.74243837437246, 14.286108838276181]"
32, , ,Bohdalovice,Bohdalovice,97961302,"[48.74205286761375, 14.286826579381588]"
34, , ,Bohdalovice,Bohdalovice,97962302,"[48.74290911241514, 14.286549250287457]"
35, , ,Bohdalovice,Bohdalovice,97966302,"[48.74292057545591, 14.28706763535371]"
16, , ,Bohdalovice,Kaliště,97901302,"[48.75779617307134, 14.250959498554915]"
17, , ,Bohdalovice,Kaliště,97903302,"[48.75660204268203, 14.2530066416191]"
18, , ,Bohdalovice,Kaliště,97906302,"[48.75624150202285, 14.252875948584398]"
2, , ,Bohdalovice,Kaliště,97908302,"[48.76571406730288, 14.264259642187373]"
22, , ,Bohdalovice,Svéraz,97844302,"[48.726852095312104, 14.305839048609169]"
3, , ,Bohdalovice,Svéraz,97851302,"[48.72073378136835, 14.293121139228019]"
6, , ,Bohdalovice,Svéraz,97838302,"[48.72123501415994, 14.294256272601285]"
31, , ,Bohdalovice,Bohdalovice,97932302,"[48.74222046689902, 14.287118236783819]"
29, , ,Bohdalovice,Bohdalovice,97969302,"[48.742624946773866, 14.286002536429667]"
19, , ,Bohdalovice,Svéraz,97855302,"[48.720726927124, 14.294172897695738]"
1, , ,Bohdalovice,Kaliště,97907302,"[48.76556719067649, 14.263516500201774]"
42, , ,Bohdalovice,Bohdalovice,182147302,"[48.74310232572916, 14.28532320928705]"
1, , ,Bohdalovice,Svéraz,97850302,"[48.72050244913208, 14.292737767935657]"
