cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
65, , ,Bohutín,Tisová,29967486010,"[49.66186222172477, 13.971305233311144]"
8, , ,Bohutín,Vysoká Pec,0,"[49.66255766446964, 13.95279061690323]"
15, , ,Bohutín,Vysoká Pec,0,"[49.66183723268515, 13.952194420422247]"
216, , ,Bohutín,Vysoká Pec,0,"[49.66542398514113, 13.96409438507493]"
266, , ,Bohutín,Bohutín,62315787010,"[49.64634115902729, 13.954214010202588]"
43, , ,Bohutín,Vysoká Pec,266864211,"[49.66875370512478, 13.965847996203049]"
180, , ,Bohutín,Bohutín,62549194010,"[49.95359903329841, 16.875528132285826]"
249, , ,Bohutín,Bohutín,62610204010,"[49.65069554455531, 13.935963098686006]"
19, , ,Bohutín,Vysoká Pec,423062211,"[49.662315344809834, 13.952736747033553]"
190, , ,Bohutín,Bohutín,14789011010,"[49.65658645828353, 13.936169133963205]"
25, , ,Bohutín,Bohutín,266425211,"[49.65573449205434, 13.945166813726816]"
287, , ,Bohutín,Vysoká Pec,62233789010,"[49.660869694033636, 13.960092289166452]"
291, , ,Bohutín,Bohutín,61253717010,"[49.64439437601323, 13.952679780711934]"
27, , ,Bohutín,Havírna,266330211,"[49.65780203967586, 13.951861249495304]"
352, , ,Bohutín,Vysoká Pec,61249737010,"[49.66395521048106, 13.969972535197565]"
81, , ,Bohutín,Bohutín,266532211,"[49.65095891695875, 13.935825402489147]"
207, , ,Bohutín,Bohutín,539745211,"[49.65252245373167, 13.935512653510987]"
354, , ,Bohutín,Vysoká Pec,60730039010,"[49.6643245392299, 13.970286661696333]"
355, , ,Bohutín,Vysoká Pec,60772362010,"[49.66408195541359, 13.970470258376757]"
65, , ,Bohutín,Vysoká Pec,266681211,"[49.66262453525898, 13.959434174261661]"
359, , ,Bohutín,Vysoká Pec,60859475010,"[49.66361102121856, 13.971345386578971]"
284, , ,Bohutín,Bohutín,60877405010,"[49.64303304872565, 13.953571425423227]"
350, , ,Bohutín,Vysoká Pec,60955440010,"[49.66348901205751, 13.9701312014695]"
171, , ,Bohutín,Bohutín,21117001010,"[49.65616695469533, 13.939451604454966]"
208, , ,Bohutín,Vysoká Pec,60743366010,"[49.66730036529697, 13.964069479068467]"
217, , ,Bohutín,Vysoká Pec,0,"[49.66556526158969, 13.964546066930232]"
34, , ,Bohutín,Vysoká Pec,0,"[49.66160521460559, 13.951723043476463]"
1, , ,Bohutín,Vysoká Pec,0,"[49.66605243631974, 13.962846094915976]"
24, , ,Bohutín,Bohutín,291929211,"[49.670075709440056, 13.921658895758474]"
309, , ,Bohutín,Bohutín,57311602010,"[49.644798829733425, 13.95335814347733]"
289, , ,Bohutín,Bohutín,57590785010,"[49.644131126528144, 13.953212405095176]"
293, , ,Bohutín,Bohutín,57630674010,"[49.64491289639981, 13.952829213387798]"
220, , ,Bohutín,Vysoká Pec,266913211,"[49.663821189068756, 13.967360522073358]"
65, , ,Bohutín,Tisová,57582706010,"[49.6565169106203, 13.959085271278814]"
