cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
316, ,Loděnická,78314,Bohuňovice,Bohuňovice,Bohuňovice,606448,"[49.65936265287997, 17.27483532182463]"
45, , ,57001,Bohuňovice,Bohuňovice,Bohuňovice,606421,"[49.905100909848585, 16.26452975896142]"
433, ,Lhotka,78314,Bohuňovice,Bohuňovice,Bohuňovice,606448,"[49.65740035470398, 17.276647819843475]"
725, ,Lhotka,78314,Bohuňovice,Bohuňovice,Bohuňovice,606448,"[49.65744907621761, 17.27710706017836]"
2, ,Za pilou,78314,Bohuňovice,Bohuňovice,Bohuňovice,606430,"[49.662624342314075, 17.28950814734947]"
228, ,6. května,78314,Bohuňovice,Bohuňovice,Bohuňovice,606430,"[49.6606128849784, 17.281952432595435]"
317, ,Loděnická,78314,Bohuňovice,Bohuňovice,Bohuňovice,606448,"[49.659295644600675, 17.274549644567447]"
860, ,6. května,78314,Bohuňovice,Bohuňovice,Bohuňovice,606430,"[49.662255943594594, 17.286056889277177]"
465, ,Trusovická,78314,Bohuňovice,Bohuňovice,Bohuňovice,606456,"[49.65813055484766, 17.288234326518364]"
472, ,Na zahrádkách,78314,Bohuňovice,Bohuňovice,Bohuňovice,606456,"[49.65749927165929, 17.28585540201315]"
79, ,V drahách,78314,Bohuňovice,Bohuňovice,Bohuňovice,606430,"[49.66494406717948, 17.28777983932506]"
595, ,U stavu,78314,Bohuňovice,Bohuňovice,Bohuňovice,606430,"[49.661914265737956, 17.291356091612002]"
390, ,Loděnická,78314,Bohuňovice,Bohuňovice,Bohuňovice,606448,"[49.6572837530507, 17.270693388050365]"
4, , ,57001,Bohuňovice,Bohuňovice,Bohuňovice,606421,"[49.910624100017884, 16.259877733278977]"
345, ,Výmol,78314,Bohuňovice,Bohuňovice,Bohuňovice,606448,"[49.65922451321798, 17.27206345449505]"
206, ,U stavu,78314,Bohuňovice,Bohuňovice,Bohuňovice,606430,"[49.65980691364781, 17.291601825580024]"
51, ,V drahách,78314,Bohuňovice,Bohuňovice,Bohuňovice,606430,"[49.66445059253158, 17.28855085311023]"
