cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
173, , ,Bolehošť,Bolehošť,62401076010,"[50.21459673630755, 16.07445950582024]"
66, , ,Bolehošť,Bolehošťská Lhota,61539754010,"[50.20707905138724, 16.083138937758736]"
52, , ,Bolehošť,Bolehošť,195018607,"[50.215613882280074, 16.07650067654191]"
176, , ,Bolehošť,Bolehošť,62255857010,"[50.21477776123142, 16.07375497859164]"
32, , ,Bolehošť,Lipiny,195191607,"[50.20749664099737, 16.06415048428685]"
12, , ,Bolehošť,Bolehošťská Lhota,195205607,"[50.203098282407126, 16.090532417543596]"
181, , ,Bolehošť,Bolehošť,62128804010,"[50.21403290899927, 16.07432692773759]"
172, , ,Bolehošť,Bolehošť,62213923010,"[50.21461735352934, 16.07490724596667]"
36, , ,Bolehošť,Lipiny,195173607,"[50.20711175863264, 16.066040420055206]"
30, , ,Bolehošť,Bolehošť,195069607,"[50.213513959678636, 16.076794048313527]"
140, , ,Bolehošť,Bolehošť,195297607,"[50.21448018388691, 16.079917453820542]"
58, , ,Bolehošť,Bolehošť,195071607,"[50.21372400132682, 16.077408597587617]"
14, , ,Bolehošť,Bolehošť,195032607,"[50.20786365244835, 16.079085299369204]"
10, , ,Bolehošť,Lipiny,195126607,"[50.20899544891718, 16.065190245344663]"
32, , ,Bolehošť,Bolehošť,195045607,"[50.21204340916693, 16.073071288820362]"
34, , ,Bolehošť,Bolehošť,195030607,"[50.212670449519045, 16.074893269931966]"
20, , ,Bolehošť,Bolehošť,195036607,"[50.207065353153624, 16.07894780867581]"
166, , ,Bolehošť,Bolehošť,61077521010,"[50.207837215610326, 16.07855377870497]"
177, , ,Bolehošť,Bolehošť,60892384010,"[50.21454397287608, 16.073898931146868]"
118, , ,Bolehošť,Bolehošť,195100607,"[50.21304037771628, 16.07719665921486]"
27, , ,Bolehošť,Bolehošť,195039607,"[50.21050526280034, 16.07767499452895]"
28, , ,Bolehošť,Bolehošť,195044607,"[50.211273335019726, 16.078294833859857]"
28, , ,Bolehošť,Lipiny,195058607,"[50.208194828951434, 16.064175997915477]"
60, , ,Bolehošť,Bolehošť,195084607,"[50.2155915110523, 16.075814894611923]"
76, , ,Bolehošť,Bolehošť,195239607,"[50.2101554990968, 16.07707033647565]"
106, , ,Bolehošť,Bolehošť,195105607,"[50.206498450788224, 16.07861439383421]"
61, , ,Bolehošť,Bolehošť,195074607,"[50.21144381197215, 16.07572993016688]"
104, , ,Bolehošť,Bolehošť,195094607,"[50.20615538103293, 16.078736875843507]"
164, , ,Bolehošť,Bolehošť,49990245010,"[50.211315314445315, 16.075086248856987]"
152, , ,Bolehošť,Bolehošť,38470089010,"[50.209236439437525, 16.082834586994274]"
153, , ,Bolehošť,Bolehošť,45675116010,"[50.20935421809453, 16.083081387056964]"
158, , ,Bolehošť,Bolehošť,26418366010,"[50.2094423106354, 16.084151397809528]"
154, , ,Bolehošť,Bolehošť,26275466010,"[50.20915869536173, 16.083497196879275]"
150, , ,Bolehošť,Bolehošť,14948390010,"[50.21615003718181, 16.075360466932114]"
65, , ,Bolehošť,Bolehošťská Lhota,25948185010,"[50.20250817240849, 16.090371969014594]"
162, , ,Bolehošť,Bolehošť,26324427010,"[50.20981311099529, 16.0851284066261]"
160, , ,Bolehošť,Bolehošť,25593842010,"[50.20983830457128, 16.084489318657486]"
157, , ,Bolehošť,Bolehošť,25476077010,"[50.20973293066021, 16.084042866885135]"
156, , ,Bolehošť,Bolehošť,24765540010,"[50.20956812036325, 16.083649382234743]"
134, , ,Bolehošť,Bolehošť,195290607,"[50.21615319903869, 16.07466882214684]"
136, , ,Bolehošť,Bolehošť,195070607,"[50.216024046733395, 16.074635600823374]"
1, , ,Bolehošť,Bolehošť,195292607,"[50.21595156857196, 16.074634512829746]"
41, , ,Bolehošť,Lipiny,24253420010,"[50.207398523169346, 16.068626092904985]"
143, , ,Bolehošť,Bolehošť,14425048010,"[50.20496222853068, 16.078511062577444]"
149, , ,Bolehošť,Bolehošť,405727607,"[50.21180288230044, 16.073602570111014]"
40, , ,Bolehošť,Lipiny,15392943010,"[50.208605023615036, 16.063530152028363]"
64, , ,Bolehošť,Bolehošťská Lhota,14751129010,"[50.20673528662368, 16.085482930378785]"
13, , ,Bolehošť,Lipiny,195146607,"[50.2088880582867, 16.064663812397445]"
99, , ,Bolehošť,Bolehošť,195031607,"[50.206309340172716, 16.079228150670822]"
57, , ,Bolehošť,Bolehošťská Lhota,195073607,"[50.2082134568148, 16.083074493200836]"
39, , ,Bolehošť,Lipiny,15069658010,"[50.208712539752426, 16.063271093201056]"
148, , ,Bolehošť,Bolehošť,373507607,"[50.208471234461356, 16.08215397973084]"
15, , ,Bolehošť,Lipiny,0,"[50.20844597727741, 16.065305652669704]"
68, , ,Bolehošť,Bolehošť,0,"[50.2144531881287, 16.08020365348531]"
74, , ,Bolehošť,Bolehošť,195252607,"[50.21215241856744, 16.065173305474644]"
9, , ,Bolehošť,Bolehošť,195220607,"[50.20882891508146, 16.08091996690323]"
56, , ,Bolehošť,Bolehošť,195254607,"[50.214798551581566, 16.07721626175373]"
109, , ,Bolehošť,Bolehošť,195096607,"[50.20695780081994, 16.080025940990563]"
110, , ,Bolehošť,Bolehošť,195034607,"[50.20964012564922, 16.07707288004578]"
132, , ,Bolehošť,Bolehošť,195206607,"[50.20551925732409, 16.079289977700242]"
