cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
2, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.533520019298265, 13.224799185777865]"
24, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.532842422469365, 13.225003195656981]"
32, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53209826276554, 13.224364877400928]"
16, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53472469111241, 13.22387671561795]"
40, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53360179876939, 13.225170520148836]"
4, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53619769154856, 13.222879397049462]"
92, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.534902461588814, 13.225523077350585]"
14, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53443733444649, 13.225069213036528]"
35, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53255211946963, 13.224232231844788]"
15, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.534031826027245, 13.225559155526195]"
93, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53434714388228, 13.225959689908]"
6, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.5346911676281, 13.223473131671156]"
10, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53410980884621, 13.223345629787742]"
18, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.532991410596665, 13.22360738496624]"
11, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53410847916145, 13.224569007902547]"
27, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53214630172883, 13.224870674888702]"
33, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53386023435384, 13.225830509929553]"
12, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53448209926848, 13.225372570041307]"
34, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53383305154555, 13.22606407674392]"
9, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.534477423323445, 13.223055010527245]"
36, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.535042414273214, 13.22333874379889]"
22, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.534353532625374, 13.224153770678823]"
21, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53320386383268, 13.224754452836873]"
1, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53323809959447, 13.224196336800242]"
17, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.5326867998279, 13.224291649466046]"
28, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53233634799167, 13.224951523271452]"
29, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53268751333333, 13.224562084084734]"
25, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53252092237045, 13.224977756871368]"
26, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.532011622544864, 13.2247068460945]"
5, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.534293028476206, 13.225787281205818]"
37, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.534642785721196, 13.225614405294861]"
31, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.531860411041386, 13.224854706243821]"
30, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53637291563823, 13.22273422323111]"
39, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.533558773504566, 13.22330013579396]"
23, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53303686242509, 13.224805552495777]"
3, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53299218069266, 13.21659083890535]"
8, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.534693130242296, 13.222811784711311]"
7, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53469947387321, 13.223185595119421]"
20, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.532654239986236, 13.223653452628566]"
19, , ,33401,Bolkov,Bolkov,Bolkov,741884,"[49.53300544330023, 13.224328522189438]"
