cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
587, ,K Višnici,Borovany,Borovany,686521301,"[48.89323186016759, 14.636166166475306]"
587, ,U Trati,Borovany,Borovany,686521301,"[48.89324848365154, 14.636149011891458]"
110, , ,Borovany,Borovany,62371220010,"[49.34805011442888, 14.396880733422853]"
751, ,U Haltýře,Borovany,Borovany,62331687010,"[48.900934614975654, 14.63948313070533]"
750, ,Krčínova,Borovany,Borovany,62341150010,"[48.90030970742801, 14.64710413134445]"
749, ,Krčínova,Borovany,Borovany,62341149010,"[48.90034848948587, 14.646966444769147]"
113, , ,Borovany,Radostice,60820373010,"[48.90500414954164, 14.611064004915114]"
27, , ,Borovany,Hluboká u Borovan,0,"[48.90346801059508, 14.698010345843668]"
1, , ,Borovany,Vrcov,748786301,"[48.909394061687145, 14.696471190005253]"
59, , ,Borovany,Třebeč,0,"[48.87447691318458, 14.679399563273835]"
55, , ,Borovany,Hluboká u Borovan,62337990010,"[48.901044324632934, 14.695435058744591]"
9, , ,Borovany,Vrcov,0,"[48.910035598968136, 14.695832933122624]"
18, , ,Borovany,Vrcov,0,"[48.920459994549994, 14.652905153528758]"
10, , ,Borovany,Vrcov,0,"[48.910016689066104, 14.695588754450135]"
7, , ,Borovany,Dvorec,0,"[48.87773124971925, 14.651138808647877]"
89, ,V Zahrádkách,Borovany,Borovany,686351301,"[48.891250804643704, 14.637297446572113]"
188, , ,Borovany,Hluboká u Borovan,62132907010,"[48.901404890991024, 14.684007326075298]"
62, , ,Borovany,Trocnov,62115848010,"[48.90456050921153, 14.59625914013179]"
745, ,Tovární,Borovany,Borovany,61143516010,"[48.89435668218401, 14.648565092111648]"
733, ,Vodárenská,Borovany,Borovany,60685386010,"[48.90582109328609, 14.640792495811988]"
187, , ,Borovany,Hluboká u Borovan,61180509010,"[48.895963465516225, 14.673481411299063]"
109, , ,Borovany,Borovany,62165787010,"[49.34136115653802, 14.39655505894589]"
186, , ,Borovany,Hluboká u Borovan,56731536010,"[48.90000955965727, 14.68148035910234]"
728, ,U Stropnice,Borovany,Borovany,60512348010,"[48.88877973986681, 14.645213398915882]"
98, , ,Borovany,Vrcov,60500483010,"[48.917822948508984, 14.665954810910135]"
42, , ,Borovany,Trocnov,743577301,"[48.90456386355246, 14.5911265370594]"
20, , ,Borovany,Třebeč,29272157010,"[48.87496842442703, 14.67529376825937]"
17, , ,Borovany,Borovany,321963305,"[49.342578010171025, 14.393286915440205]"
39, , ,Borovany,Borovany,322000305,"[49.33997246538614, 14.388752766129706]"
78, , ,Borovany,Třebeč,56918574010,"[48.874628813586234, 14.679851322948387]"
50, , ,Borovany,Dvorec,1023126301,"[48.88206284165815, 14.65815979530383]"
160, ,Vodárenská,Borovany,Borovany,686325301,"[48.90339356262282, 14.641275110387491]"
472, ,Vodárenská,Borovany,Borovany,685628301,"[48.903732022386, 14.641715252629371]"
77, , ,Borovany,Třebeč,36488086010,"[48.871320455562206, 14.67906574982482]"
644, ,U Řeky,Borovany,Borovany,35200044010,"[48.88386239021952, 14.64059657748502]"
111, , ,Borovany,Radostice,47007173010,"[48.91038411277788, 14.609867183242212]"
103, , ,Borovany,Borovany,50277279010,"[49.344976815498526, 14.390293515290452]"
107, , ,Borovany,Radostice,41608052010,"[48.9021576540116, 14.613065663105269]"
108, , ,Borovany,Borovany,49382256010,"[49.34829123662717, 14.396248513958566]"
732, ,Vodárenská,Borovany,Borovany,43062125010,"[48.90821190477588, 14.640360274165353]"
184, , ,Borovany,Hluboká u Borovan,38729041010,"[48.90193012745619, 14.684084703869964]"
108, , ,Borovany,Radostice,1042328301,"[48.90347127923923, 14.61232878982952]"
182, , ,Borovany,Hluboká u Borovan,33123945010,"[48.8997781120385, 14.680572671943157]"
691, ,U Cihelny,Borovany,Borovany,1060834301,"[48.895000154124965, 14.636768336219548]"
686, ,K Višnici,Borovany,Borovany,33312960010,"[48.89390042154881, 14.637667139078612]"
523, ,U Dubu,Borovany,Borovany,29127134010,"[48.90340389165446, 14.638630511878208]"
619, ,Vodárenská,Borovany,Borovany,31005894010,"[48.906306322135045, 14.641175993246778]"
95, , ,Borovany,Vrcov,36448030010,"[48.91547071260731, 14.663711999927578]"
94, , ,Borovany,Vrcov,1053691301,"[48.91436044609995, 14.663263669588032]"
60, , ,Borovany,Trocnov,28580321010,"[48.907807023412175, 14.595294665545039]"
714, ,Slunečná,Borovany,Borovany,29475288010,"[48.893297849734644, 14.63690950539914]"
726, ,U Stropnice,Borovany,Borovany,25761844010,"[48.889269187443034, 14.645189369605356]"
27, ,U Řeky,Borovany,Borovany,1081604301,"[48.88249928058265, 14.621270467579542]"
93, , ,Borovany,Vrcov,28689432010,"[48.91993809031325, 14.652889485470576]"
165, , ,Borovany,Hluboká u Borovan,1036456301,"[48.895893795461944, 14.669923454507796]"
711, ,Slunečná,Borovany,Borovany,28924854010,"[48.89354121028481, 14.637300146571079]"
710, ,Slunečná,Borovany,Borovany,28629320010,"[48.893780626142394, 14.637237504964306]"
8, , ,Borovany,Hluboká u Borovan,28846518010,"[48.90035663228059, 14.703160533643668]"
110, , ,Borovany,Radostice,734882301,"[48.88821478154688, 14.619221205421724]"
719, ,Slunečná,Borovany,Borovany,26667502010,"[48.8944433344953, 14.636015113642385]"
180, , ,Borovany,Hluboká u Borovan,21884463010,"[48.89705842419198, 14.679364256420929]"
614, ,Hlubocká,Borovany,Borovany,941206301,"[48.90055427238099, 14.64803381996738]"
713, ,Slunečná,Borovany,Borovany,25686878010,"[48.893078143514984, 14.637091965358614]"
724, ,Nádražní,Borovany,Borovany,25294885010,"[48.89675030904403, 14.64360803327794]"
59, , ,Borovany,Trocnov,15289838010,"[48.9077313735028, 14.594649449173973]"
684, , ,Borovany,Borovany,685626301,"[48.897142653136605, 14.64230323088591]"
4, , ,Borovany,Vrcov,748745301,"[48.91871299506356, 14.663134041836534]"
80, , ,Borovany,Radostice,21735400010,"[48.90976274163962, 14.606759551297321]"
75, , ,Borovany,Třebeč,24761664010,"[48.87073065039106, 14.675884883907408]"
49, , ,Borovany,Vrcov,748767301,"[48.91809648265709, 14.662626391825953]"
92, , ,Borovany,Vrcov,1052320301,"[48.92090757553764, 14.654206171762551]"
3, , ,Borovany,Vrcov,748854301,"[48.919143011258534, 14.66378983419907]"
685, , ,Borovany,Borovany,685624301,"[48.89714300716553, 14.64200041273201]"
26, , ,Borovany,Vrcov,852421301,"[48.918454978011546, 14.661961382208386]"
81, , ,Borovany,Vrcov,748788301,"[48.91888505531644, 14.664668389793635]"
14, , ,Borovany,Vrcov,748792301,"[48.91723342063638, 14.664151332568478]"
30, , ,Borovany,Vrcov,748794301,"[48.91835439909216, 14.662670206605211]"
