cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
85, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92201018818295, 14.442882201174315]"
257, ,Včelenská,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92684708146698, 14.448998898970714]"
37, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.924617042659804, 14.44430881779938]"
82, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92180249514973, 14.442291911622833]"
449, ,Sokolů,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.9212715933518, 14.428652251137667]"
81, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92178939198794, 14.442046730298859]"
80, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92177506538868, 14.441788031030466]"
23, , ,37001,Boršov nad Vltavou,Jamné,Jamné,785121,"[48.904828672283784, 14.404534539861954]"
218, ,Rybářská,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92545571524235, 14.448665703596124]"
84, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92183603662615, 14.44286338339544]"
833, ,Příčná,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.930450338674945, 14.454320454690864]"
39, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92474525030343, 14.44472287063521]"
48, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92364235681279, 14.443065615299416]"
363, ,Na křižovatkách,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.922935692449954, 14.429507155600696]"
125, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92145787537397, 14.439808023431983]"
775, ,Rožnovská,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.93028165312686, 14.45602396799124]"
745, ,Letní,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92958624464404, 14.45622595037507]"
19, ,Nábřežní,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.92425735872024, 14.435501161275214]"
63, , ,37001,Boršov nad Vltavou,Jamné,Jamné,785121,"[48.91010408435232, 14.414578135254956]"
413, ,Sportovní,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.92136644310286, 14.43029968997333]"
89, ,Šumavská,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.92281640261443, 14.431470226121352]"
243, ,Včelenská,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92598644703002, 14.448940328922207]"
215, ,Rybářská,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92536801200077, 14.449000755921503]"
168, ,Na Planýrce,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.919274267478805, 14.440024420108516]"
117, ,Sadová,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.92505898796742, 14.432892356388638]"
41, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.924881501333765, 14.444322606935055]"
115, , ,37001,Boršov nad Vltavou,Jamné,Jamné,785121,"[48.91064223041194, 14.412800366778347]"
207, ,U Sila,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92355587002776, 14.44325538252956]"
322, ,Vltavská,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.918905555032026, 14.431630802007941]"
11, ,Nábřežní,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.92317309576488, 14.435127202228704]"
7, , ,37001,Boršov nad Vltavou,Jamné,Jamné,785121,"[48.90556648627059, 14.403376831933926]"
559, ,Jarní,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.925128492982054, 14.430703914154904]"
612, ,U Zámečku,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.9281241541026, 14.440837198739425]"
15, ,Na Planýrce,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92320705482106, 14.441765190305786]"
451, ,Sportovní,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.92109856324327, 14.428814225888813]"
837, ,Na Výsluní,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.928007354024565, 14.454002331928741]"
838, ,Na Výsluní,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92796245246639, 14.454108094989744]"
852, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.93263731599625, 14.459843907485851]"
219, ,Poříčská,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92556929332807, 14.44818215400661]"
18, , ,37001,Boršov nad Vltavou,Zahorčice,Zahorčice,785121,"[48.91580611579818, 14.403098676497883]"
90, , ,37001,Boršov nad Vltavou,Jamné,Jamné,785121,"[48.90778839890617, 14.415441158063798]"
839, ,Na Výsluní,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92796087254914, 14.454191069214673]"
37, , ,37001,Boršov nad Vltavou,Jamné,Jamné,785121,"[48.913006413816895, 14.413290097227131]"
162, ,Hluboká,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92363371742078, 14.438788582802616]"
119, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.922310764828254, 14.440285366729736]"
204, ,Na Planýrce,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.923882532148454, 14.442409559726473]"
334, ,Obecní,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.92230219650467, 14.433444682025947]"
371, ,Na křižovatkách,37382,Boršov nad Vltavou,Boršov nad Vltavou,Boršov nad Vltavou,608025,"[48.92229465265373, 14.428583617041566]"
821, ,Příčná,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.931471452001546, 14.456380875190554]"
90, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.9221342044137, 14.442346772696636]"
105, , ,37382,Boršov nad Vltavou,Poříčí,Poříčí,608025,"[48.92336107921274, 14.439956350593926]"
