cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
70, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63663402749864, 15.341720170798908]"
185, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63978323855306, 15.338429661792961]"
113, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63582668748423, 15.339770716401647]"
201, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.64493046957588, 15.329744461563623]"
5, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63173357280766, 15.344410852311569]"
3, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63304840717392, 15.346983325591395]"
136, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.643272950715385, 15.333048579705073]"
1, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.631042464989655, 15.352177494616061]"
157, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.636813143704615, 15.336001137228914]"
25, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.62699604708922, 15.338658992586986]"
245, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.64034637609684, 15.334978120358361]"
272, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63794251425623, 15.335052361046825]"
271, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63937340265401, 15.339828040516734]"
223, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63647765718963, 15.337363459476071]"
75, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.63453227965183, 15.341036678824214]"
12, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.638413170278675, 15.336526753995082]"
210, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.638007548577036, 15.33951265668612]"
134, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.640292130957654, 15.339761276035496]"
82, , ,51213,Bozkov,Bozkov,Bozkov,608742,"[50.636056431347356, 15.340836624268078]"
