cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
79, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.144379539615336, 14.650036069662201]"
98, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14756810328713, 14.656757745386226]"
87, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148684701631396, 14.643939532101378]"
46, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14857735068688, 14.647860599020714]"
53, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.1479875990745, 14.646350140548476]"
8, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.150444555645606, 14.643542985578677]"
39, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14212856205942, 14.669005993727849]"
92, , ,37365,Bošilec,Bošilec,Bošilec, ,"[49.147466590323106, 14.656028222476808]"
91, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14775283072795, 14.655775949027642]"
6, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14981905948237, 14.644464130325124]"
68, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148680544282584, 14.653304296963219]"
82, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.147025587113205, 14.656922957762463]"
71, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.149601305267204, 14.653014495122827]"
17, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14929958950781, 14.64665979405562]"
18, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148825780459056, 14.647278675258658]"
15, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14759763838863, 14.655351465532078]"
32, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14776796099202, 14.648978681787563]"
25, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14836632755792, 14.65539908662729]"
86, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.15067727711038, 14.645971160816627]"
3, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.149487854349964, 14.644251975458864]"
14, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.150205662647444, 14.646262219033451]"
52, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14904421572954, 14.644803423288765]"
44, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14694451283095, 14.657880598030838]"
41, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14708196340029, 14.650740703269467]"
97, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14799454947044, 14.656459464827934]"
5, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.15000267367167, 14.645333553233115]"
94, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14753390672605, 14.656277216209304]"
80, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14425299814437, 14.65008883800157]"
76, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14713739980273, 14.656561064038382]"
4, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.149523641518186, 14.645597088826868]"
22, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14751015754051, 14.650238144614676]"
55, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14851505504868, 14.646348475103665]"
54, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14953094929263, 14.652454356764988]"
81, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14412077419271, 14.650098791556012]"
60, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14579248413312, 14.649482692173724]"
58, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14985994189813, 14.646713213184388]"
77, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14707341209553, 14.65677692927202]"
64, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14973956554117, 14.65275199334269]"
95, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14801824963699, 14.656105655838394]"
90, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.147910181459785, 14.655605402975196]"
35, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14853875351366, 14.646800047631784]"
67, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14706781348717, 14.650000199168709]"
23, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.147317534970476, 14.657235613247144]"
101, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148112553409874, 14.656974696354492]"
105, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148442187966126, 14.657626382111719]"
10, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.15070597476738, 14.64461334290806]"
27, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.145294051899825, 14.64925487634987]"
9, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.15088587503991, 14.64336309848831]"
28, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14679268288312, 14.650524352391944]"
106, , ,37364,Bošilec,Bošilec,Bošilec,608572,"[49.14789701712215, 14.628222289752594]"
88, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14763721603361, 14.64929953272775]"
73, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148933774651894, 14.65335267892999]"
30, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14728089803672, 14.649602725457504]"
11, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.15055522371227, 14.645034323818532]"
66, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14852630226604, 14.647972034143113]"
57, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.151204597505206, 14.643014432417997]"
40, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14723319814154, 14.657626178372382]"
89, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14801795248348, 14.655429246514329]"
65, , ,37364,Bošilec,Bošilec,Bošilec,608572,"[49.14760922962473, 14.628934811542399]"
38, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.1482926802863, 14.644850649717837]"
61, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14774721673704, 14.650443625253576]"
50, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.15067352614219, 14.646751218777062]"
78, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14451043919154, 14.650002876228998]"
34, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14827057857842, 14.647090308698164]"
75, , ,37364,Bošilec,Bošilec,Bošilec,608572,"[49.14789041894021, 14.627407721879448]"
20, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14783866610716, 14.648452437821199]"
74, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.151743134663086, 14.6435052376915]"
31, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14752740714768, 14.649527571941023]"
7, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14994368964601, 14.644273553996516]"
42, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14895018432758, 14.653222898582799]"
48, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14676059830906, 14.649310092644106]"
59, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14748132209037, 14.650484159885549]"
83, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.146991741172776, 14.6571267004302]"
19, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148513537734736, 14.64834256234883]"
84, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14720847006219, 14.657862353553774]"
93, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148024861570526, 14.655877059336476]"
51, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148557491601395, 14.646028429991212]"
70, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14606774721709, 14.649954589909163]"
72, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14968398244207, 14.653145409541532]"
43, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14904729021633, 14.653364132726546]"
62, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14771427939289, 14.650728517426604]"
21, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148330436459524, 14.64887622791249]"
103, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148275644461705, 14.657383877560083]"
63, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.1514627563352, 14.644831164810881]"
36, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.146966594097634, 14.657463094158134]"
45, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.148879390321916, 14.652605319361719]"
69, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14619620006754, 14.650028391842875]"
85, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14893228549012, 14.647001923553182]"
56, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14996055573077, 14.64668331302911]"
33, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14801335749486, 14.647942768047244]"
26, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.1488583244118, 14.654092895879215]"
29, , ,37365,Bošilec,Bošilec,Bošilec,608572,"[49.14477995705928, 14.649630090057713]"
