cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
50, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.518142111605435, 15.00170747061054]"
25, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51998749377491, 15.019278501414242]"
41, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51577708973996, 15.000437883737082]"
15, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517387381309504, 14.998891385136648]"
13, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51682300446292, 14.999616662106428]"
14, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52105554376698, 15.017965764348867]"
9, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517018640675296, 14.999812619993211]"
2, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.516344913207675, 15.001578137734516]"
8, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.5169757641428, 15.000097198395665]"
6, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.511342868801286, 15.01211351643997]"
70, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51603516814216, 15.00241975131451]"
20, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.5204961790041, 15.018536651938163]"
54, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.516843693984065, 15.003352614823225]"
5, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51114003006352, 15.011093770302224]"
23, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52167308189311, 15.01668689278855]"
40, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.516037858648744, 15.001606732468796]"
10, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517312774755986, 14.999296214957049]"
16, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.516666103120656, 14.999369394354911]"
33, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51687792546988, 14.999357676616007]"
15, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52093332964828, 15.01812935434829]"
2, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.511764939877075, 15.01346422977263]"
7, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51720932988801, 15.00048670638213]"
51, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517788435766604, 15.001588813845833]"
14, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51690210881528, 15.003051158280245]"
60, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51664354340945, 15.003114927950572]"
58, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517429861080664, 14.995305856465572]"
21, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51555642240944, 15.001032933019808]"
6, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51695908000443, 15.000878623984601]"
65, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51652097427324, 15.002884347529674]"
42, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52124935361109, 15.01635977240415]"
39, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51672028550889, 14.99838370864702]"
64, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51623331244004, 15.002605746446926]"
24, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.521996931744454, 15.01644139224667]"
53, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.514586000818554, 14.999004080496297]"
61, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.515170338321845, 14.999293157071712]"
9, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.50827854040554, 15.017808165378435]"
67, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517726354158, 14.99667902153192]"
4, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51062032493012, 15.011421820481445]"
21, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52011336614624, 15.018835641286344]"
68, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.5169590297893, 15.00401832258208]"
55, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.515893092973194, 15.003020024957681]"
13, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51004335160121, 15.010172027690132]"
36, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51728885487677, 14.996223084024724]"
71, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51726107430858, 14.995894370572842]"
11, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.516211725518154, 14.99932528196821]"
62, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51772413224184, 14.997135583142327]"
69, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51635608225863, 14.997189793834181]"
52, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.5166768717967, 15.002329637791727]"
7, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.511586534082134, 15.011911844938817]"
56, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517704994148296, 14.997713898300574]"
27, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51407948696012, 14.9985897611331]"
44, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.515884632701336, 15.000959592652642]"
4, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517207480198145, 15.002450786326996]"
43, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51796281517306, 15.001528857624045]"
59, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51551447953339, 14.999905300363856]"
31, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51625742701238, 15.002152640194549]"
46, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51783627755937, 14.99615572246642]"
3, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.5103328257103, 15.011130920535226]"
8, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51188063755043, 15.012173591620208]"
24, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51755360834399, 14.998175819899794]"
66, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51681719230385, 15.001372615272897]"
72, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.5184927297328, 15.002208627206784]"
22, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52144861496273, 15.017358308270357]"
18, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51157659248182, 15.0130835374347]"
35, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517347989407234, 15.002074614171772]"
32, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.515822494365295, 15.000331348812502]"
11, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51242950395596, 15.013735402221647]"
17, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51138703712945, 15.012341453049883]"
47, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51669284980268, 14.997539632309019]"
30, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517064522217915, 14.998718977025016]"
35, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.518966958336996, 15.016960677546717]"
36, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.518417359864955, 15.019367970448364]"
34, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.515557334782486, 15.002117212312143]"
1, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.50938411906466, 15.010526042891431]"
30, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52182865386136, 15.016488803057374]"
10, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51214463814801, 15.013439081209572]"
42, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51753645549564, 14.998402074269775]"
28, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51675096261191, 15.001232616623485]"
5, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.5169154254197, 15.00103272077911]"
16, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51922340574589, 15.019249428001022]"
37, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.515880144718096, 15.017881140038]"
28, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51685492200901, 15.018258222500275]"
27, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517007675401004, 15.018241764021312]"
26, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52173309929093, 15.015463217722644]"
19, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.51155315523404, 15.012698297292097]"
34, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.516045469223, 15.017583653804996]"
33, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51625057285328, 15.017542853230664]"
45, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.516936954124425, 14.99785307422393]"
37, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51696242243234, 15.002555320378793]"
25, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51718259848902, 15.003444560053401]"
22, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.50026258459812, 15.015362349557611]"
20, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51588593144376, 15.00065294710653]"
19, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51589247630252, 14.999871748503308]"
18, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51584489694561, 14.999630550434896]"
12, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51730338036545, 14.99801846311999]"
73, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51636414203404, 15.002772008750517]"
38, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517087215573454, 14.998364048749064]"
57, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51771735275233, 14.995928741973419]"
49, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51627965895079, 14.99737131564874]"
39, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.52145387948248, 15.017635818042105]"
38, , ,39501,Bratřice,Cetule,Cetule,609692,"[49.521440342071145, 15.017582799862803]"
48, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.517039608222845, 14.998960702704757]"
29, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51677976643316, 15.018129311202276]"
23, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51433577293291, 14.998510827320926]"
1, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51602138223385, 15.001183023061774]"
41, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.51914904726058, 15.015141764377848]"
3, , ,39501,Bratřice,Bratřice,Bratřice,609692,"[49.516545383609234, 15.001482484538467]"
