cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
101, , ,Brloh,Brloh,62364971010,"[50.00350254060261, 15.555286216310593]"
78, , ,Brloh,Brloh,85484302,"[48.92837996026719, 14.220125525918435]"
45, , ,Brloh,Rojšín,62155853010,"[48.91640553429931, 14.24938469663805]"
17, , ,Brloh,Rychtářov,86308302,"[48.91037300271956, 14.216955843230833]"
14, , ,Brloh,Jaronín,202934302,"[48.955774616912684, 14.207099634108992]"
406, , ,Brloh,Brloh,85745302,"[48.92460306083175, 14.218118655076132]"
36, , ,Brloh,Brloh,504720606,"[49.999662880293116, 15.557609077728808]"
73, , ,Brloh,Brloh,504717606,"[50.003734802756945, 15.554911620586111]"
90, , ,Brloh,Brloh,675356606,"[49.99918291105391, 15.559105313492202]"
78, , ,Brloh,Brloh,504708606,"[50.00265987349947, 15.554834430136957]"
62, , ,Brloh,Brloh,504738606,"[49.99927681786664, 15.554548581749252]"
30, , ,Brloh,Brloh,504770606,"[49.998107381547584, 15.559365400291236]"
143, , ,Brloh,Brloh,85475302,"[48.926641821768754, 14.2075701714282]"
268, , ,Brloh,Brloh,40091095010,"[48.918119131475244, 14.238552665511248]"
94, , ,Brloh,Brloh,36964051010,"[50.002848892292384, 15.557693592714003]"
55, , ,Brloh,Janské Údolí,209196302,"[48.90093278688482, 14.227163982815508]"
265, , ,Brloh,Brloh,29689177010,"[48.92626199489241, 14.216125640983742]"
238, , ,Brloh,Brloh,29551197010,"[48.92453289140468, 14.219029233770144]"
405, , ,Brloh,Brloh,85788302,"[48.930257679830696, 14.186224070661442]"
91, , ,Brloh,Brloh,15138103010,"[50.00295617606567, 15.55503119403394]"
263, , ,Brloh,Brloh,25994966010,"[48.92893695448942, 14.215693708598947]"
259, , ,Brloh,Brloh,23188853010,"[48.93063803239755, 14.21435293097582]"
20, , ,Brloh,Kovářov,85817302,"[48.920786308558185, 14.197189196224898]"
1, , ,Brloh,Brloh,24869654010,"[50.002170548781365, 15.552763026814363]"
24, , ,Brloh,Rojšín,86187302,"[48.91435598970139, 14.248939988308976]"
235, , ,Brloh,Brloh,201779302,"[48.928242521806034, 14.218101557796183]"
403, , ,Brloh,Kovářov,85827302,"[48.91422451361116, 14.207419685145334]"
260, , ,Brloh,Brloh,16383730010,"[48.927403008685296, 14.21746731299718]"
12, , ,Brloh,Benešovice,502941606,"[50.01611864249896, 15.559647049852426]"
57, , ,Brloh,Brloh,504749606,"[49.999378452148775, 15.559517921893779]"
406, , ,Brloh,Jaronín,86140302,"[48.95839536281064, 14.2046305858248]"
405, , ,Brloh,Jaronín,86139302,"[48.95844584575634, 14.20488180292721]"
320, , ,Brloh,Brloh,86152302,"[48.9323525711715, 14.181104430556967]"
23, , ,Brloh,Benešovice,502942606,"[50.01538824566845, 15.5519838505844]"
236, , ,Brloh,Brloh,212451302,"[48.928369843572426, 14.218005544591323]"
95, , ,Brloh,Brloh,23418062010,"[50.00038170716958, 15.555350822553299]"
257, , ,Brloh,Brloh,22500932010,"[48.92575537651447, 14.2068221010648]"
26, , ,Brloh,Benešovice,639567606,"[50.01529482804624, 15.551832893035677]"
93, , ,Brloh,Brloh,20123913010,"[50.00560791690715, 15.561442900689215]"
258, , ,Brloh,Brloh,85645302,"[48.91763789682793, 14.238158957605533]"
53, , ,Brloh,Janské Údolí,0,"[48.898754446797355, 14.225699123039224]"
34, , ,Brloh,Kovářov,85816302,"[48.917254957617004, 14.206512081052947]"
253, , ,Brloh,Brloh,19937038010,"[48.926812662663664, 14.216876483180675]"
254, , ,Brloh,Brloh,16383736010,"[48.927842807087515, 14.209656805490598]"
56, , ,Brloh,Jaronín,16180518010,"[48.953359892048084, 14.206146026080491]"
31, , ,Brloh,Sedm Chalup,86095302,"[48.96513003036958, 14.21903883677916]"
255, , ,Brloh,Brloh,14658638010,"[48.92984232600326, 14.219593685431155]"
249, , ,Brloh,Brloh,226290302,"[48.92870805963402, 14.218029983397699]"
12, , ,Brloh,Rojšín,86178302,"[48.91496749108781, 14.250550194353313]"
14, , ,Brloh,Rojšín,86185302,"[48.91490506928711, 14.251042142150457]"
3, , ,Brloh,Rojšín,86200302,"[48.91508168998739, 14.248348993867797]"
4, , ,Brloh,Rojšín,86214302,"[48.91505384349669, 14.248467451814479]"
20, , ,Brloh,Rojšín,86221302,"[48.91413253863177, 14.2503018614912]"
22, , ,Brloh,Rojšín,86216302,"[48.91430622910612, 14.249523883491328]"
25, , ,Brloh,Rojšín,86188302,"[48.91444183905135, 14.248786905005668]"
26, , ,Brloh,Rojšín,86174302,"[48.91451119019119, 14.248589797439735]"
33, , ,Brloh,Rojšín,86197302,"[48.91662356370753, 14.241673908495782]"
6, , ,Brloh,Rojšín,86229302,"[48.915055217478404, 14.249131284517027]"
7, , ,Brloh,Rojšín,86198302,"[48.91509255205843, 14.24931070929291]"
9, , ,Brloh,Rojšín,86206302,"[48.91510002913049, 14.249569068892018]"
23, , ,Brloh,Rojšín,86205302,"[48.91432893698016, 14.249280749001397]"
35, , ,Brloh,Rojšín,86190302,"[48.91465310630713, 14.247816896813287]"
29, , ,Brloh,Rojšín,86228302,"[48.914690706604254, 14.246928930703469]"
31, , ,Brloh,Rojšín,86211302,"[48.91691097478949, 14.241821020571871]"
40, , ,Brloh,Rojšín,86202302,"[48.915514957066776, 14.247712882364876]"
5, , ,Brloh,Rojšín,86231302,"[48.915110421966304, 14.24873839482594]"
10, , ,Brloh,Rojšín,86223302,"[48.91511558252418, 14.249826403175438]"
28, , ,Brloh,Rojšín,86227302,"[48.91461749697759, 14.247324402706868]"
30, , ,Brloh,Rojšín,86210302,"[48.91691825866344, 14.24159588329528]"
39, , ,Brloh,Rojšín,86181302,"[48.91580710348207, 14.24776672105841]"
11, , ,Brloh,Rojšín,86213302,"[48.9149851484742, 14.25026308314056]"
34, , ,Brloh,Rojšín,86189302,"[48.916599603005864, 14.241819653521759]"
36, , ,Brloh,Rojšín,86191302,"[48.91461097313923, 14.24796552460204]"
38, , ,Brloh,Rojšín,86180302,"[48.915818104625814, 14.24758571239271]"
2, , ,Brloh,Rojšín,86224302,"[48.91504176879579, 14.248098209612943]"
17, , ,Brloh,Rojšín,86209302,"[48.91419037699556, 14.250701746272002]"
32, , ,Brloh,Rojšín,86212302,"[48.916828913610175, 14.242034763312963]"
2, , ,Brloh,Brloh,85508302,"[48.93012661182544, 14.215959839515126]"
8, , ,Brloh,Brloh,85740302,"[48.92740520941335, 14.218689255209258]"
12, , ,Brloh,Brloh,85536302,"[48.93047341341879, 14.219110798362708]"
26, , ,Brloh,Brloh,85520302,"[48.92880111060893, 14.22116611111241]"
42, , ,Brloh,Brloh,85613302,"[48.928644480069764, 14.21953936131514]"
46, , ,Brloh,Brloh,85555302,"[48.929213621379255, 14.218434539534135]"
54, , ,Brloh,Brloh,85500302,"[48.92906160417467, 14.220075620982922]"
58, , ,Brloh,Brloh,85775302,"[48.92879377229939, 14.22064071955959]"
80, , ,Brloh,Brloh,85526302,"[48.92588806429466, 14.22001239771566]"
105, , ,Brloh,Brloh,85628302,"[48.930325225244005, 14.214382360686223]"
7, , ,Brloh,Brloh,85585302,"[48.93084543385574, 14.218052180350018]"
13, , ,Brloh,Brloh,85589302,"[48.93019441803055, 14.219639572831012]"
23, , ,Brloh,Brloh,85773302,"[48.929374099961684, 14.221515416387573]"
31, , ,Brloh,Brloh,85609302,"[48.92779615684797, 14.221881357246751]"
39, , ,Brloh,Brloh,85556302,"[48.92749243238853, 14.220385170910797]"
44, , ,Brloh,Brloh,85579302,"[48.929010928577995, 14.218816282899025]"
59, , ,Brloh,Brloh,85509302,"[48.926581319714714, 14.205962964445087]"
70, , ,Brloh,Brloh,85619302,"[48.92703148559289, 14.248071491975573]"
75, , ,Brloh,Brloh,85516302,"[48.92592516005931, 14.219505134746829]"
77, , ,Brloh,Brloh,85623302,"[48.927513464875304, 14.220934917599703]"
92, , ,Brloh,Brloh,85629302,"[48.930281013434524, 14.241409520581984]"
98, , ,Brloh,Brloh,85496302,"[48.92824234910761, 14.220160335777754]"
15, , ,Brloh,Brloh,85743302,"[48.930473682230115, 14.220099917765019]"
16, , ,Brloh,Brloh,85607302,"[48.929983797692245, 14.219907111685782]"
20, , ,Brloh,Brloh,85529302,"[48.92942247375079, 14.220814723524231]"
21, , ,Brloh,Brloh,85522302,"[48.929314697253865, 14.221008268778785]"
35, , ,Brloh,Brloh,85568302,"[48.927979347602154, 14.220939776632147]"
53, , ,Brloh,Brloh,85544302,"[48.9291286648945, 14.219726482167452]"
57, , ,Brloh,Brloh,85715302,"[48.930061437719495, 14.219004490828056]"
61, , ,Brloh,Brloh,85618302,"[48.94093825841898, 14.22075642657261]"
62, , ,Brloh,Brloh,85665302,"[48.929487202146774, 14.217326763947979]"
64, , ,Brloh,Brloh,85565302,"[48.92976564356717, 14.218339864941676]"
66, , ,Brloh,Brloh,85698302,"[48.92607224740621, 14.219714270258464]"
68, , ,Brloh,Brloh,85776302,"[48.92941438236512, 14.221858928396605]"
71, , ,Brloh,Brloh,85621302,"[48.92665053994968, 14.218975613844771]"
99, , ,Brloh,Brloh,85502302,"[48.92868453038828, 14.223283438574454]"
101, , ,Brloh,Brloh,85680302,"[48.92854592676065, 14.221426999004256]"
107, , ,Brloh,Brloh,85549302,"[48.93001114612259, 14.218895584372346]"
108, , ,Brloh,Brloh,85524302,"[48.92995506023731, 14.21898428471221]"
118, , ,Brloh,Brloh,85638302,"[48.9302986871687, 14.218279547122501]"
1, , ,Brloh,Brloh,85507302,"[48.93001251033171, 14.215934670306543]"
113, , ,Brloh,Brloh,85637302,"[48.93010714116374, 14.217434381172605]"
3, , ,Brloh,Brloh,85506302,"[48.93105634229161, 14.215915049410947]"
5, , ,Brloh,Brloh,85476302,"[48.93070025715033, 14.217459102982154]"
9, , ,Brloh,Brloh,85542302,"[48.930775230002844, 14.218475317737616]"
17, , ,Brloh,Brloh,85772302,"[48.9296696987707, 14.22040683116153]"
25, , ,Brloh,Brloh,85676302,"[48.928921949510986, 14.22108540335291]"
32, , ,Brloh,Brloh,85610302,"[48.927532759964485, 14.222019001273988]"
50, , ,Brloh,Brloh,85617302,"[48.92950565803046, 14.216826185519022]"
60, , ,Brloh,Brloh,85512302,"[48.928080815407306, 14.203644299423114]"
65, , ,Brloh,Brloh,85563302,"[48.92632127970671, 14.220093100306157]"
67, , ,Brloh,Brloh,85490302,"[48.92661617390359, 14.220367918121184]"
76, , ,Brloh,Brloh,85545302,"[48.93454950605097, 14.206377320520765]"
85, , ,Brloh,Brloh,85703302,"[48.930807883532154, 14.217764854271676]"
97, , ,Brloh,Brloh,85761302,"[48.92569736401665, 14.22045907336187]"
19, , ,Brloh,Brloh,85753302,"[48.92901535780052, 14.22263646190704]"
30, , ,Brloh,Brloh,85706302,"[48.928208587919244, 14.223572557811293]"
36, , ,Brloh,Brloh,225268302,"[48.925769212306484, 14.2216086820915]"
51, , ,Brloh,Brloh,85774302,"[48.929952983992564, 14.218523767489092]"
73, , ,Brloh,Brloh,85679302,"[48.918955512279865, 14.224500789055382]"
81, , ,Brloh,Brloh,85592302,"[48.92139666270589, 14.241940596231345]"
83, , ,Brloh,Brloh,85624302,"[48.91834281381214, 14.21475986292092]"
88, , ,Brloh,Brloh,85593302,"[48.92659371426618, 14.220040474006359]"
91, , ,Brloh,Sedm Chalup,86079302,"[48.94585719026959, 14.213297564011839]"
96, , ,Brloh,Brloh,85634302,"[48.93035019293145, 14.216138910038445]"
38, , ,Brloh,Brloh,85548302,"[48.92757286200832, 14.220179677360834]"
48, , ,Brloh,Brloh,85681302,"[48.92929316807887, 14.21728457729439]"
49, , ,Brloh,Brloh,85616302,"[48.92952971005583, 14.217118721229971]"
9, , ,Brloh,Jaronín,86153302,"[48.95334109487757, 14.208065927218797]"
10, , ,Brloh,Jaronín,86144302,"[48.95355590532164, 14.20865957480297]"
2, , ,Brloh,Jaronín,86088302,"[48.95506748323, 14.204092760110992]"
18, , ,Brloh,Jaronín,86161302,"[48.95747452851359, 14.202977860783049]"
20, , ,Brloh,Jaronín,86073302,"[48.95545150495415, 14.199663307380522]"
17, , ,Brloh,Jaronín,86167302,"[48.95693243667141, 14.206594276918656]"
19, , ,Brloh,Jaronín,86165302,"[48.955364437092776, 14.205677067230845]"
119, , ,Brloh,Brloh,85752302,"[48.92773182270816, 14.220817879712317]"
114, , ,Brloh,Brloh,85513302,"[48.92970692240381, 14.217664446961974]"
111, , ,Brloh,Brloh,85763302,"[48.92963156037653, 14.219941180013098]"
120, , ,Brloh,Brloh,85639302,"[48.92787604221683, 14.220846706470955]"
32, , ,Brloh,Jaronín,86074302,"[48.941464454581585, 14.196357495896086]"
50, , ,Brloh,Jaronín,86148302,"[48.95219883037468, 14.207483958585426]"
39, , ,Brloh,Jaronín,86071302,"[48.946783022904825, 14.198583082854224]"
47, , ,Brloh,Jaronín,86075302,"[48.941604224121065, 14.196495003672831]"
34, , ,Brloh,Jaronín,86070302,"[48.953983437521934, 14.20741038788411]"
46, , ,Brloh,Jaronín,86162302,"[48.957326837956714, 14.203021509968874]"
21, , ,Brloh,Jaronín,86109302,"[48.95286869584437, 14.207604981084298]"
1, , ,Brloh,Jaronín,86151302,"[48.954441793456965, 14.203760363782486]"
8, , ,Brloh,Jaronín,86114302,"[48.95310002643527, 14.207920731732468]"
13, , ,Brloh,Jaronín,86076302,"[48.95485150159917, 14.209491673924031]"
22, , ,Brloh,Jaronín,86136302,"[48.95710225991959, 14.187864081794839]"
3, , ,Brloh,Sedm Chalup,86131302,"[48.94002866556324, 14.204560702023212]"
21, , ,Brloh,Sedm Chalup,86091302,"[48.941154939685994, 14.207673856718019]"
2, , ,Brloh,Sedm Chalup,86094302,"[48.94000195904055, 14.204887282371221]"
4, , ,Brloh,Sedm Chalup,86080302,"[48.939016697988976, 14.201272907860991]"
8, , ,Brloh,Sedm Chalup,86113302,"[48.946999077417374, 14.215750760236038]"
29, , ,Brloh,Sedm Chalup,86093302,"[48.95030453808299, 14.2177832462615]"
9, , ,Brloh,Sedm Chalup,86150302,"[48.946791186317164, 14.215987913466689]"
122, , ,Brloh,Brloh,85495302,"[48.92775892700764, 14.221567935768435]"
123, , ,Brloh,Brloh,85485302,"[48.929612987323075, 14.218545868483249]"
131, , ,Brloh,Brloh,85684302,"[48.928714947261874, 14.21929781136477]"
135, , ,Brloh,Brloh,85689302,"[48.93040719416103, 14.216525583518541]"
