cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
235, ,Lesní,Brozany nad Ohří,Brozany nad Ohří,154700506,"[50.45575139533234, 14.149972565316027]"
235, ,Doksanská,Brozany nad Ohří,Brozany nad Ohří,154700506,"[50.45582532142861, 14.149785536315328]"
447, ,Školní,Brozany nad Ohří,Brozany nad Ohří,62057773010,"[50.45392618067074, 14.1470961125639]"
445, ,Rochovská,Brozany nad Ohří,Brozany nad Ohří,60048276010,"[50.45877955913761, 14.135639626361964]"
206, ,Nová,Brozany nad Ohří,Brozany nad Ohří,154449506,"[50.45706110515354, 14.140421796882205]"
55, , ,Brozany nad Ohří,Hostěnice,161280506,"[50.43205127510897, 14.146091366953199]"
440, ,Na Průhonu,Brozany nad Ohří,Brozany nad Ohří,54062312010,"[50.45788553959599, 14.147964136830874]"
441, ,Na Průhonu,Brozany nad Ohří,Brozany nad Ohří,52180459010,"[50.45686587808807, 14.147933849196484]"
442, ,Na Průhonu,Brozany nad Ohří,Brozany nad Ohří,50081292010,"[50.459126491104925, 14.14793121376443]"
437, ,Na Průhonu,Brozany nad Ohří,Brozany nad Ohří,34703012010,"[50.45705659288143, 14.147934298933563]"
432, ,Na Průhonu,Brozany nad Ohří,Brozany nad Ohří,25496410010,"[50.45822758723116, 14.147931085510406]"
138, ,Doksanská,Brozany nad Ohří,Brozany nad Ohří,154598506,"[50.455197152451944, 14.148559238510849]"
164, ,Na Strahově,Brozany nad Ohří,Brozany nad Ohří,154681506,"[50.45810493552586, 14.136010748221224]"
177, ,Mikulova,Brozany nad Ohří,Brozany nad Ohří,154458506,"[50.451150739155786, 14.141149740209174]"
186, ,Na Látkách,Brozany nad Ohří,Brozany nad Ohří,154827506,"[50.4568833391556, 14.141487072524502]"
225, ,Nová,Brozany nad Ohří,Brozany nad Ohří,154696506,"[50.45782324646742, 14.141136641308698]"
243, ,K Přívozu,Brozany nad Ohří,Brozany nad Ohří,154428506,"[50.454907452247355, 14.149675794339007]"
249, ,Doksanská,Brozany nad Ohří,Brozany nad Ohří,154809506,"[50.45573939970192, 14.149235661275322]"
268, ,K Přívozu,Brozany nad Ohří,Brozany nad Ohří,154475506,"[50.454971022054025, 14.148367516180445]"
24, , ,Brozany nad Ohří,Brozany nad Ohří,417457506,"[50.446198117857044, 14.164357644026262]"
37, , ,Brozany nad Ohří,Brozany nad Ohří,154535506,"[50.43928742879322, 14.112881013803078]"
431, ,Voborského,Brozany nad Ohří,Brozany nad Ohří,23404191010,"[50.457226177971684, 14.139149676097322]"
