cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
64, , ,Budíškovice,Ostojkovice,94982332,"[49.03297644114609, 15.503875246110587]"
5, , ,Budíškovice,Manešovice,94207332,"[49.061552082252156, 15.51898507915647]"
11, , ,Budíškovice,Ostojkovice,94978332,"[49.03248562297032, 15.504625927176658]"
148, , ,Budíškovice,Budíškovice,61102508010,"[49.075898510386416, 15.529829959069415]"
12, , ,Budíškovice,Ostojkovice,95022332,"[49.03241697930901, 15.503546903014652]"
47, , ,Budíškovice,Ostojkovice,95024332,"[49.031751916345, 15.502955705221348]"
147, , ,Budíškovice,Budíškovice,48613246010,"[49.074095607047575, 15.524671241901371]"
145, , ,Budíškovice,Budíškovice,29786370010,"[49.0736276627811, 15.535735449707548]"
13, , ,Budíškovice,Manešovice,94198332,"[49.062520825025054, 15.518986830453215]"
9, , ,Budíškovice,Manešovice,94202332,"[49.061396116057594, 15.520768581610033]"
14, , ,Budíškovice,Manešovice,94203332,"[49.061985739004044, 15.51954173660542]"
17, , ,Budíškovice,Manešovice,94209332,"[49.06229484667683, 15.519442648202565]"
3, , ,Budíškovice,Manešovice,94210332,"[49.06108430106321, 15.518924234708333]"
18, , ,Budíškovice,Manešovice,94211332,"[49.063254299171916, 15.518532730505818]"
20, , ,Budíškovice,Manešovice,94213332,"[49.06182969830059, 15.517944014669729]"
12, , ,Budíškovice,Manešovice,94214332,"[49.06238690003187, 15.519797708611534]"
16, , ,Budíškovice,Manešovice,94215332,"[49.06266310285966, 15.520077019976165]"
7, , ,Budíškovice,Manešovice,94218332,"[49.060926885852886, 15.519780836352512]"
10, , ,Budíškovice,Manešovice,94219332,"[49.061557103402485, 15.52051793135342]"
4, , ,Budíškovice,Manešovice,94222332,"[49.06180382051345, 15.518858788557898]"
15, , ,Budíškovice,Manešovice,94196332,"[49.060828493715036, 15.520695343501293]"
6, , ,Budíškovice,Manešovice,94200332,"[49.06137474612868, 15.519380103288483]"
11, , ,Budíškovice,Manešovice,94206332,"[49.061807508931494, 15.52014028615728]"
22, , ,Budíškovice,Manešovice,0,"[49.06360097565443, 15.518674790383328]"
1, , ,Budíškovice,Manešovice,94201332,"[49.06217447260658, 15.518624117876966]"
2, , ,Budíškovice,Manešovice,94212332,"[49.06201855156172, 15.517701933848462]"
8, , ,Budíškovice,Manešovice,94217332,"[49.06124668208793, 15.52149960936848]"
21, , ,Budíškovice,Ostojkovice,94945332,"[49.03214418346356, 15.502403813170005]"
37, , ,Budíškovice,Ostojkovice,95006332,"[49.03291117347024, 15.502701329501068]"
57, , ,Budíškovice,Ostojkovice,95010332,"[49.034857018372634, 15.500546089864836]"
20, , ,Budíškovice,Ostojkovice,94961332,"[49.03393875021836, 15.501627290416018]"
51, , ,Budíškovice,Ostojkovice,94958332,"[49.033189235235064, 15.500761560949105]"
4, , ,Budíškovice,Ostojkovice,94963332,"[49.03370537859972, 15.502663058180667]"
3, , ,Budíškovice,Ostojkovice,94965332,"[49.033852865625434, 15.502470125060226]"
39, , ,Budíškovice,Ostojkovice,94944332,"[49.03276573387248, 15.5030316676722]"
34, , ,Budíškovice,Ostojkovice,94948332,"[49.03328018255221, 15.50199847768987]"
27, , ,Budíškovice,Ostojkovice,94949332,"[49.033039782524696, 15.501602493941935]"
46, , ,Budíškovice,Ostojkovice,94950332,"[49.03286800743717, 15.503288129828775]"
49, , ,Budíškovice,Ostojkovice,94952332,"[49.05247926747431, 15.485986558473275]"
40, , ,Budíškovice,Ostojkovice,94954332,"[49.05253752983193, 15.486706250133665]"
44, , ,Budíškovice,Ostojkovice,94957332,"[49.03479104921643, 15.52868246912906]"
53, , ,Budíškovice,Ostojkovice,94975332,"[49.033023814360966, 15.500172427786817]"
52, , ,Budíškovice,Ostojkovice,94994332,"[49.0344013956018, 15.500962021127174]"
