cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
99, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54683329012868, 16.227130718027748]"
12, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.551910457111084, 16.22993371308716]"
1, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.548301319451355, 16.22705816442912]"
37, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.552441196569184, 16.22614195430064]"
10, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55084351825016, 16.22830883830406]"
2, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55090367273074, 16.22588796491068]"
1, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.411138780896835, 16.49699072901763]"
38, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40641095605996, 16.49071478431716]"
62, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.548016974045765, 16.225710186577132]"
36, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40801815265739, 16.4868817345052]"
30, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5490741270527, 16.22708066304286]"
101, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.548302212085616, 16.227728137815838]"
151, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55889065585969, 16.221737959590513]"
13, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40774703350977, 16.488022532031103]"
72, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54679137613662, 16.22554806422411]"
18, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40605126251354, 16.48883791828898]"
123, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54820646035511, 16.22910939183853]"
119, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5486149634936, 16.22696172312326]"
24, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55680076248423, 16.242392654306247]"
57, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55120884289932, 16.228921954468113]"
15, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.407848523523505, 16.487797516334812]"
138, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54804019035399, 16.2284240595656]"
115, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.547357394550126, 16.22728966073078]"
132, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55672771523832, 16.242281354928554]"
17, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40592910767802, 16.488785676133787]"
136, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54836693003279, 16.228477928218794]"
140, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54667067054795, 16.226398336839367]"
29, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54845471041542, 16.22651185655265]"
139, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54634578911856, 16.22540543756587]"
142, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.546554362947546, 16.227043667418556]"
100, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54848199212565, 16.227650784189333]"
121, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.551712520894924, 16.226535889387044]"
96, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54711888681912, 16.226797053165544]"
78, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54706724152935, 16.229138987303603]"
40, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.406533579932685, 16.49427148912832]"
64, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.548164784832615, 16.22576031959926]"
50, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40761292562648, 16.493479464442004]"
144, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5495282324186, 16.22872963438326]"
45, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54949492635534, 16.227302396487552]"
137, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54823835222414, 16.22843104513218]"
125, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5477732537438, 16.225992273460957]"
55, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40592440462057, 16.49079878581762]"
66, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.547930383569074, 16.225693619961245]"
14, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.550833678498456, 16.231286854697938]"
95, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.546934340817074, 16.22633021897798]"
63, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54809391626299, 16.225734713723647]"
1, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40761700464291, 16.490273884727003]"
80, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.545607298815966, 16.23050990420943]"
47, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54887676226148, 16.227832701889174]"
79, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54586382327438, 16.230170640182006]"
59, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.546604863284266, 16.225830633414244]"
51, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5504166103827, 16.226950604350996]"
54, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55008515465779, 16.227215337737206]"
133, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54884387608292, 16.228169634954778]"
134, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54885818225699, 16.228508695270975]"
127, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.547894386146055, 16.22932678635562]"
130, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54958007991685, 16.229487976012344]"
152, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55872707589902, 16.22238491233574]"
128, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54928431815115, 16.229526281823404]"
39, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40766232748752, 16.48835563085997]"
109, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55030166005335, 16.227073954699517]"
107, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54696424663501, 16.22620423095026]"
94, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.546688589245505, 16.22878028922844]"
88, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55373422896563, 16.224746250999875]"
86, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.546811729538, 16.229610262252006]"
143, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.546483325236615, 16.2273055834457]"
81, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54603109507096, 16.230075360321877]"
83, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54620291523694, 16.229854906456612]"
2, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40670556028312, 16.488890802017835]"
124, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54852681607659, 16.226783007844983]"
45, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40757701076743, 16.492598256972034]"
41, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.549874831377956, 16.229435650964017]"
4, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.406960975264454, 16.49000847505412]"
36, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55567620057804, 16.238409374049656]"
70, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54851704973817, 16.22588587957373]"
25, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55247880954578, 16.231474065193122]"
76, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54832439775567, 16.226374421047733]"
46, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54980181540237, 16.228704915758627]"
60, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5522234174095, 16.226078684130098]"
53, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.550570135869386, 16.226657121626005]"
33, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55040988290852, 16.22631642284887]"
11, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55123546817286, 16.228538268227744]"
43, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54576702407624, 16.224937645004438]"
84, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54631274664843, 16.229739580937487]"
28, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54889728647526, 16.22734561988206]"
105, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.558495717416434, 16.22303410497439]"
54, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40575138297798, 16.49104315590665]"
5, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54616686257991, 16.22292431838904]"
155, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54655190189655, 16.225127479475997]"
48, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.550409962882796, 16.228720895799228]"
9, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5504790951271, 16.227868932593772]"
87, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5502966170159, 16.23032270438624]"
26, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5504937393705, 16.23000644552641]"
150, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.547806371808704, 16.224151918150838]"
28, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40768778861499, 16.48984858344283]"
27, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40667478343899, 16.489977289156354]"
90, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.549291787581964, 16.22723013637704]"
6, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54765726029315, 16.224774986942617]"
97, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54710467109464, 16.226936156119415]"
51, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40787612193139, 16.484645886902598]"
25, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40824629896836, 16.48375180361873]"
98, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.5468607940173, 16.227035397652358]"
22, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.555919511622164, 16.239613097020264]"
16, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.407988709875845, 16.48760758264793]"
159, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.553970692187804, 16.223870454280785]"
16, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.551624932113775, 16.22541753429733]"
3, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54785472813003, 16.227122414708067]"
42, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40698243631686, 16.49339132680981]"
108, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54778353062613, 16.22803220020164]"
42, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.55294926387922, 16.23156904479758]"
32, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.54913178495713, 16.226656979893566]"
122, , ,54954,Bukovice,Bukovice,Bukovice,650129,"[50.549168250826106, 16.228779346154962]"
14, , ,67923,Bukovice,Bukovice,Bukovice,616010,"[49.40829752579046, 16.48762496956998]"
