cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
107, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4198006087464, 13.942396206761941]"
9, , ,38801,Buzice,Buzice,Buzice,616401,"[49.423021744009894, 13.93201940028759]"
87, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42418801472506, 13.952832978681881]"
60, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421574471418985, 13.928310357556338]"
100, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42121876496163, 13.938348471905877]"
5, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42316990560998, 13.929925444219501]"
35, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421833412828654, 13.929914663313754]"
38, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422111512601084, 13.929491058782645]"
63, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42157012344884, 13.937061457873503]"
11, , ,38801,Buzice,Václavov,Václavov,616401,"[49.435060569547666, 13.964529559237288]"
29, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4226181272036, 13.932074674423864]"
82, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422542458938494, 13.93358769651636]"
61, , ,38801,Buzice,Buzice,Buzice,616401,"[49.423130947290375, 13.93472492226964]"
34, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42212617118602, 13.930225931531126]"
65, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422801342254175, 13.934493074830403]"
59, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42443858193701, 13.922750733759365]"
10, , ,38801,Buzice,Václavov,Václavov,616401,"[49.43344928837323, 13.95461907916136]"
94, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42094075621959, 13.938676736320781]"
66, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4229141918747, 13.934062576354643]"
78, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42002892864232, 13.961462034306704]"
5, , ,38801,Buzice,Václavov,Václavov,616401,"[49.433717633751314, 13.95650995755484]"
79, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42197585299672, 13.927181380266758]"
6, , ,38801,Buzice,Václavov,Václavov,616401,"[49.43340734558825, 13.956494855820694]"
27, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42247368605638, 13.932663685060293]"
95, , ,38801,Buzice,Buzice,Buzice,616401,"[49.41961294024568, 13.94280711177133]"
74, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42264538299415, 13.936577426302073]"
62, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42306060538912, 13.934496754054718]"
70, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422413763648045, 13.929058625118454]"
28, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422506815856146, 13.932424896841217]"
57, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42162474654285, 13.937835388245897]"
68, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421658021906985, 13.936692059735018]"
40, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42274448975959, 13.929169999342214]"
4, , ,38801,Buzice,Václavov,Václavov,616401,"[49.43374589664441, 13.956073582964379]"
7, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42309574153862, 13.930874954649248]"
53, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422433123483586, 13.928046319396037]"
91, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42133010544095, 13.938952774701272]"
1, , ,38801,Buzice,Václavov,Václavov,616401,"[49.43392817286428, 13.954785003766625]"
77, , ,38801,Buzice,Buzice,Buzice,616401,"[49.420239073896774, 13.9614748772671]"
19, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42405600370198, 13.953168501153625]"
93, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42353917742915, 13.952405195792146]"
39, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42260869566608, 13.929464646982733]"
26, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42241845842953, 13.932849145491929]"
81, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42378443608682, 13.928901659132203]"
11, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422936181801305, 13.933041055530477]"
6, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4230903408976, 13.930527975269532]"
80, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421835501075506, 13.926812874490084]"
54, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42190245762528, 13.92842831955331]"
51, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421595149784956, 13.927396097712732]"
109, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4200336369754, 13.942541221105252]"
15, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42257945259918, 13.935973098984269]"
12, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42293798145381, 13.933639511720436]"
13, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42290349032026, 13.934914477264012]"
24, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422509598841906, 13.933817789411169]"
46, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421666935775114, 13.927917366374459]"
32, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422636106170984, 13.930238487315528]"
50, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42287708010073, 13.952996972263497]"
97, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42060260643433, 13.943486294357212]"
56, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42294048210682, 13.932241956351808]"
92, , ,38801,Buzice,Buzice,Buzice,616401,"[49.41989007544618, 13.942961323250165]"
64, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421696333733586, 13.937437426821676]"
44, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42175945887336, 13.928272917645353]"
90, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4214901040616, 13.943359882069956]"
105, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4218670033916, 13.943986865082294]"
503, , ,38801,Buzice,Buzice,Buzice,616401,"[49.41940412011631, 13.94272052904928]"
58, , ,38801,Buzice,Buzice,Buzice,616401,"[49.423193858279525, 13.929697314146953]"
507, , ,38801,Buzice,Buzice,Buzice,616401,"[49.41967841958491, 13.942256091296379]"
2, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42347300707335, 13.928742423755759]"
106, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422064979271816, 13.943483566318188]"
67, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42227337691835, 13.92850823597005]"
8, , ,38801,Buzice,Václavov,Václavov,616401,"[49.43343324315548, 13.955319084133837]"
49, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42154898510247, 13.936133621072045]"
45, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42188351506188, 13.927925996713565]"
30, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42260258588098, 13.931137217284698]"
21, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42146519986159, 13.936731198792408]"
73, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42154069346657, 13.926901634570543]"
108, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42185547625037, 13.927639739286853]"
69, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421763268309896, 13.936893429408174]"
1, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42368665266406, 13.929045152450755]"
83, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422397785622344, 13.929926455829525]"
33, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422239844961254, 13.930480995340911]"
504, , ,38801,Buzice,Buzice,Buzice,616401,"[49.419182750575246, 13.942588397652097]"
85, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42301610611398, 13.93282840646792]"
55, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42203806863941, 13.928240809694074]"
501, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42025915585973, 13.925834309070812]"
502, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42027190906677, 13.925873266153642]"
31, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42234204634884, 13.930649884172908]"
43, , ,38801,Buzice,Buzice,Buzice,616401,"[49.424429735302255, 13.952988529243198]"
22, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421424467971775, 13.935971747101345]"
2, , ,38801,Buzice,Václavov,Václavov,616401,"[49.433792953594555, 13.955086471511102]"
7, , ,38801,Buzice,Václavov,Václavov,616401,"[49.43345279394366, 13.956011232120279]"
89, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4217661543027, 13.943493870480596]"
48, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42156041514118, 13.927593601642682]"
3, , ,38801,Buzice,Buzice,Buzice,616401,"[49.423009852568974, 13.92886493277104]"
88, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4214198155354, 13.93826448883762]"
86, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42174983349572, 13.926517642127061]"
75, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422245286672194, 13.927836355040862]"
17, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42344633313399, 13.952383908640385]"
104, , ,38801,Buzice,Buzice,Buzice,616401,"[49.418711603365814, 13.943374817818459]"
103, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42124626989835, 13.943761896257346]"
102, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42325882835332, 13.932035491625566]"
76, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42217457651625, 13.927555218400553]"
101, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42256486012239, 13.931678538640579]"
18, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42352610598961, 13.952798023033154]"
23, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42242898501602, 13.934699066770433]"
16, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42330366511356, 13.952823581859368]"
47, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421940420957306, 13.928131917739377]"
14, , ,38801,Buzice,Buzice,Buzice,616401,"[49.422781799242166, 13.935359183106694]"
12, , ,38801,Buzice,Václavov,Václavov,616401,"[49.43339276673993, 13.957500975872707]"
98, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42193802551249, 13.938881934223774]"
84, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42263382574466, 13.936297130244013]"
96, , ,38801,Buzice,Buzice,Buzice,616401,"[49.421761808891716, 13.926230888161426]"
20, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42409826462495, 13.95297812746443]"
99, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42104633310069, 13.938592825792744]"
3, , ,38801,Buzice,Václavov,Václavov,616401,"[49.43376659030005, 13.95557981758332]"
72, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42207388010844, 13.930056450161826]"
8, , ,38801,Buzice,Buzice,Buzice,616401,"[49.423115264142474, 13.931372007078739]"
71, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42187680449695, 13.93008611208007]"
37, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4217384974513, 13.927651691462593]"
506, , ,38801,Buzice,Buzice,Buzice,616401,"[49.4201229094202, 13.943118777256618]"
4, , ,38801,Buzice,Buzice,Buzice,616401,"[49.42329451279695, 13.92935556395059]"
