cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
1222, ,K Zámečku,Bystřice nad Pernštejnem,Domanínek,69481745,"[49.526042006006534, 16.236642192868686]"
56, ,Masarykovo náměstí,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,67119745,"[49.52367679964391, 16.259496999022367]"
89, ,Bratrská,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,66594745,"[49.52100731823875, 16.25907904791464]"
41, , ,Bystřice nad Pernštejnem,Vítochov,62136886010,"[49.56846215539596, 16.255762915146764]"
209, ,Pod Kaštany,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,66625745,"[49.52250763182269, 16.26580179379189]"
113, ,Bratrská,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,26236281010,"[49.52143597244431, 16.25944138331332]"
1148, , ,Bystřice nad Pernštejnem,Bratrušín,62167775010,"[49.51544880270938, 16.276626409652]"
43, , ,Bystřice nad Pernštejnem,Karasín,62087984010,"[49.55890255368177, 16.272173933578937]"
1149, , ,Bystřice nad Pernštejnem,Bratrušín,62215013010,"[49.515175862718365, 16.277042166428245]"
1796, ,Dolinka,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,62196803010,"[49.526498229075266, 16.24707344711312]"
1809, ,Starý dvůr,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,62161811010,"[49.5246200998935, 16.246547180973]"
1808, ,Starý dvůr,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,62161776010,"[49.52467218178056, 16.24652938571446]"
1443, ,Výrobní,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,62068809010,"[49.510617106636346, 16.24398693217239]"
1052, , ,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,61144494010,"[49.51783007373311, 16.26450372015276]"
30, , ,Bystřice nad Pernštejnem,Rovné,74431745,"[49.54703668189917, 16.169000315663954]"
1787, ,K Domanínku,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,61269742010,"[49.52727122463197, 16.24521407570669]"
1084, ,Pod Horou,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,21358082010,"[49.517823354220944, 16.265317276667002]"
27, ,Malá branka,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,66979745,"[49.52639684665931, 16.25723422718965]"
35, , ,Bystřice nad Pernštejnem,Rovné,74436745,"[49.54556629535221, 16.168025602601023]"
79, , ,Bystřice nad Pernštejnem,Karasín,25266622010,"[49.5563802142388, 16.280279496421922]"
1536, ,Ant. Štourače,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,58843697010,"[49.524701652063385, 16.263199750957746]"
3, , ,Bystřice nad Pernštejnem,Karasín,71152745,"[49.55776400052432, 16.275164450126567]"
7, , ,Bystřice nad Pernštejnem,Karasín,71105745,"[49.559741467713685, 16.273842926537203]"
37, , ,Bystřice nad Pernštejnem,Karasín,71109745,"[49.55955103321512, 16.274232693724187]"
15, , ,Bystřice nad Pernštejnem,Karasín,71111745,"[49.559683179917826, 16.275708548058454]"
74, , ,Bystřice nad Pernštejnem,Rovné,106762745,"[49.54925578939201, 16.158589786152863]"
1535, ,Ant. Štourače,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,58841602010,"[49.52467652516227, 16.263053416507592]"
1014, , ,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,61067602010,"[49.51821888780046, 16.263939929568764]"
1706, ,Rovinky,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,104548745,"[49.526330853178145, 16.24287677031168]"
4, , ,Bystřice nad Pernštejnem,Domanín,30250409010,"[49.53944503881028, 16.237734907749946]"
122, , ,Bystřice nad Pernštejnem,Domanín,69290745,"[49.53935281508132, 16.237834365956125]"
751, ,Zahradní,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,107612745,"[49.52723566591739, 16.257650341179794]"
1060, , ,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,28303341010,"[49.51875237802954, 16.265110858122906]"
1732, ,Starý dvůr,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,114663745,"[49.52674867013193, 16.245973866717847]"
1721, ,K Domanínku,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,110829745,"[49.527302463786185, 16.244890714171518]"
1013, , ,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,15054565010,"[49.518349998167224, 16.26394349801435]"
1723, ,Za Rybníčkem,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,114857745,"[49.52522642811223, 16.244347436544956]"
1056, ,Pod Horou,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,14541640010,"[49.51910388263137, 16.265091702920003]"
1035, ,Pod Horou,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,57820628010,"[49.51775661765725, 16.264365912123743]"
622, ,Zahradní,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,66395745,"[49.52427240117658, 16.262153404907306]"
327, ,Novoměstská,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,66384745,"[49.52533280703938, 16.256506571909885]"
16, , ,Bystřice nad Pernštejnem,Pivonice,73704745,"[49.53196144201794, 16.320768598392675]"
668, ,Nádražní,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,67144745,"[49.510938511256064, 16.250634552981882]"
19, , ,Bystřice nad Pernštejnem,Rovné,74420745,"[49.54664210766463, 16.16990468756077]"
20, , ,Bystřice nad Pernštejnem,Rovné,74429745,"[49.54657891664668, 16.170639029285592]"
8, , ,Bystřice nad Pernštejnem,Karasín,71099745,"[49.5588714340713, 16.276048628812163]"
4, , ,Bystřice nad Pernštejnem,Karasín,107747745,"[49.55815612404426, 16.275671637320304]"
20, , ,Bystřice nad Pernštejnem,Domanín,57646609010,"[49.54236857422466, 16.23319400124124]"
1097, , ,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,0,"[49.519986993298915, 16.26541139875752]"
1176, , ,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,15902001010,"[49.51903518659469, 16.26884249173462]"
4, , ,Bystřice nad Pernštejnem,Lesoňovice,71563745,"[49.52037604081584, 16.30756985960721]"
1159, , ,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,57357669010,"[49.518601756170156, 16.2683615305074]"
181, ,Pod Kaštany,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,68112745,"[49.522592506172536, 16.265280018215385]"
178, ,Pod Kaštany,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,68200745,"[49.52266698780468, 16.264321901759505]"
241, ,Pod Kaštany,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,66586745,"[49.52303220457207, 16.264119659466278]"
55, , ,Bystřice nad Pernštejnem,Karasín,110332745,"[49.55878764880596, 16.273545357054466]"
182, ,Pod Kaštany,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,67011745,"[49.522479494555036, 16.265466386931674]"
235, ,Pod Kaštany,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,66906745,"[49.523001523285465, 16.26518140343148]"
240, ,Pod Kaštany,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,67116745,"[49.52312370297315, 16.26425672095251]"
