cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
109, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.436022095228324, 15.502816452807316]"
51, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.4368127244308, 15.507872354979835]"
65, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43846826291334, 15.50352708976942]"
41, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43660553809195, 15.506929759566093]"
82, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43647443692039, 15.509024431188433]"
283, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.45373085970616, 15.479677244796571]"
49, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43596332632456, 15.508412231263263]"
9, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43586465702808, 15.507972381137538]"
76, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43386189699852, 15.509236329119107]"
129, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.437016121887, 15.51092288296789]"
74, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43811159192287, 15.505058511670464]"
130, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43348499715269, 15.509254273358597]"
30, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.436951241658164, 15.505252236533904]"
23, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43744785287467, 15.506135419911535]"
99, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.435640773536335, 15.504221031887884]"
84, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.436674336346286, 15.505527546451994]"
89, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43590172622271, 15.505602325903443]"
2, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43601467954863, 15.509759685605017]"
3, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43575010710661, 15.509369290109271]"
54, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.4371333804135, 15.506818053368177]"
27, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.437744595304146, 15.505881516156844]"
102, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43488532853894, 15.504683932339617]"
282, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.45444428908004, 15.479887287747914]"
1, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43704633352344, 15.511554438852889]"
10, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43619509372782, 15.508675856067413]"
114, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43542169253498, 15.505610842702882]"
48, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43719529959816, 15.503406714809412]"
60, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.438089393699826, 15.502384973434328]"
101, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43543604144725, 15.504885746721735]"
61, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43820721270743, 15.502517663741674]"
26, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.436656347182605, 15.507521865540417]"
45, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43722008987424, 15.504424402955113]"
104, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43519388042038, 15.504176220454463]"
11, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43620385115743, 15.508206313690442]"
91, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43575615523592, 15.505088384196712]"
58, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.437758744779366, 15.50332548884154]"
33, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43686588705136, 15.505006868133698]"
64, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43879282434861, 15.503309459119587]"
56, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43745282030312, 15.503721318164617]"
280, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.45618550732926, 15.48010521053515]"
52, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43625487523033, 15.509641219296935]"
88, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43604928835649, 15.505374879419648]"
14, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43773427288752, 15.502560439283034]"
83, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.436486252057605, 15.50573095854533]"
113, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43553743021816, 15.50574587006356]"
4, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.43596039577294, 15.509082249149548]"
79, , ,58841,Bílý Kámen,Bílý Kámen,Bílý Kámen,604615,"[49.436826713543944, 15.505846137334311]"
