cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
92, , ,74301,Bítov,Bítov,Bítov,604879,"[49.79948871811807, 18.053203615466707]"
184, , ,74301,Bítov,Bítov,Bítov,604879,"[49.801288405719106, 18.051380804172616]"
26, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93566614501628, 15.728481812266804]"
27, , ,67107,Bítov,Bítov,Bítov,604861,"[48.935676508246445, 15.728383694215685]"
29, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93570048574813, 15.727540736493454]"
71, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93323378558195, 15.7313988835965]"
33, , ,67110,Bítov,Bítov,Bítov,604861,"[48.935438740746314, 15.72674978806713]"
34, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93573839335078, 15.726530271345608]"
35, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93584016692959, 15.726786694712576]"
36, , ,67110,Bítov,Bítov,Bítov,604861,"[48.936033730428136, 15.726943925268749]"
37, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93618265051395, 15.727109283384243]"
38, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93634514474661, 15.72721718107178]"
39, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93651870894901, 15.727350559788553]"
130, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93392434323193, 15.733032846732625]"
30, , ,67107,Bítov,Bítov,Bítov,604861,"[48.935669374919264, 15.727206562417328]"
765, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93227194793435, 15.714982144540013]"
25, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93564862996129, 15.728718705971758]"
189, , ,67110,Bítov,Bítov,Bítov,604861,"[48.937103311847906, 15.71458225880583]"
133, , ,74301,Bítov,Bítov,Bítov,604879,"[49.8016585158642, 18.04559117105377]"
351, , ,67110,Bítov,Bítov,Bítov,604861,"[48.94083278004153, 15.719938223896582]"
82, , ,74301,Bítov,Bítov,Bítov,604879,"[49.80008482431517, 18.045422229625963]"
345, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93728169579567, 15.71878416176141]"
17, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93608538268447, 15.729202867626045]"
18, , ,67110,Bítov,Bítov,Bítov,604861,"[48.934906354341436, 15.730558443910068]"
20, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93510317827701, 15.730068972614514]"
24, , ,74301,Bítov,Bítov,Bítov,604879,"[49.80094829681891, 18.046253817052815]"
21, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93526890708903, 15.729873848515478]"
23, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93556250808669, 15.729462990548065]"
24, , ,67110,Bítov,Bítov,Bítov,604861,"[48.935616104055676, 15.72910955255105]"
66, , ,74301,Bítov,Bítov,Bítov,604879,"[49.801641020011246, 18.052489861814816]"
72, , ,74301,Bítov,Bítov,Bítov,604879,"[49.79881467378847, 18.053254285905556]"
41, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93627262665393, 15.727560323922262]"
2, , ,74301,Bítov,Bítov,Bítov,604879,"[49.801897161036926, 18.0492080618317]"
42, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93612584862732, 15.727422069507389]"
106, , ,74301,Bítov,Bítov,Bítov,604879,"[49.802619984116845, 18.047070073473055]"
44, , ,67107,Bítov,Bítov,Bítov,604861,"[48.93591580463763, 15.72820266701944]"
342, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93745242261652, 15.71945420856931]"
127, , ,67110,Bítov,Bítov,Bítov,604861,"[48.933921798737806, 15.733459461449439]"
56, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93855716532729, 15.729192959346653]"
69, , ,74301,Bítov,Bítov,Bítov,604879,"[49.80073260111616, 18.048779638274635]"
126, , ,67110,Bítov,Bítov,Bítov,604861,"[48.933266754000165, 15.733881032285716]"
57, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93853898908407, 15.728618842733525]"
196, , ,67110,Bítov,Bítov,Bítov,604861,"[48.937192634876915, 15.71525338282781]"
123, , ,67110,Bítov,Bítov,Bítov,604861,"[48.933026472097396, 15.729003442622592]"
58, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93883609505978, 15.729169691858893]"
197, , ,67110,Bítov,Bítov,Bítov,604861,"[48.94144812095872, 15.719014908630838]"
59, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93879327384063, 15.728627554153164]"
60, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93911609528511, 15.729159977633236]"
331, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93828454205518, 15.718408959982005]"
61, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93906006308642, 15.728565247961155]"
62, , ,67110,Bítov,Bítov,Bítov,604861,"[48.939401106711514, 15.728984369980328]"
343, , ,67110,Bítov,Bítov,Bítov,604861,"[48.93736384785906, 15.719250376595037]"
43, , ,67107,Bítov,Bítov,Bítov,604861,"[48.935964425302046, 15.727327724252676]"
175, , ,74301,Bítov,Bítov,Bítov,604879,"[49.79955884702119, 18.0494010091843]"
195, , ,67110,Bítov,Bítov,Bítov,604861,"[48.940507401936244, 15.723957187220027]"
176, , ,67110,Bítov,Bítov,Bítov,604861,"[48.94145283191643, 15.719901561894037]"
