cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
102, , ,Bítovčice,Bítovčice,0,"[49.36305241483264, 15.735630995240454]"
55, , ,Bítovčice,Bítovčice,14098000707,"[49.36477559278032, 15.736224386598215]"
146, , ,Bítovčice,Bítovčice,0,"[49.36847306836833, 15.733587272440461]"
85, , ,Bítovčice,Bítovčice,14097796707,"[49.36840992891746, 15.73603354615079]"
109, , ,Bítovčice,Bítovčice,14097792707,"[49.36695849527852, 15.735106247426796]"
22, , ,Bítovčice,Bítovčice,14097774707,"[49.36711875953312, 15.735881169412247]"
66, , ,Bítovčice,Bítovčice,14097775707,"[49.36719804554436, 15.735852754823414]"
156, , ,Bítovčice,Bítovčice,24548039010,"[49.362610023387596, 15.735668338709235]"
17, , ,Bítovčice,Bítovčice,14097862707,"[49.35652503835295, 15.742164039781965]"
39, , ,Bítovčice,Bítovčice,14097844707,"[49.35548859792583, 15.740260504510125]"
155, , ,Bítovčice,Bítovčice,25453908010,"[49.36683617661996, 15.73666800015379]"
40, , ,Bítovčice,Bítovčice,14341526707,"[49.36661541256065, 15.733962716170078]"
154, , ,Bítovčice,Bítovčice,14411274707,"[49.358531411062486, 15.7372484553529]"
153, , ,Bítovčice,Bítovčice,14097937707,"[49.36471782143102, 15.73969147467772]"
2, , ,Bítovčice,Bítovčice,14097876707,"[49.36047301546787, 15.736497983058284]"
79, , ,Bítovčice,Bítovčice,14097875707,"[49.365021569909075, 15.738450275879714]"
14, , ,Bítovčice,Bítovčice,14097770707,"[49.3591005636197, 15.737621590260886]"
45, , ,Bítovčice,Bítovčice,14097995707,"[49.36331508467283, 15.7354635516245]"
71, , ,Bítovčice,Bítovčice,14097992707,"[49.365678024219214, 15.734338444733183]"
26, , ,Bítovčice,Bítovčice,14097906707,"[49.36928874569652, 15.73700770268764]"
38, , ,Bítovčice,Bítovčice,14097958707,"[49.366636437053906, 15.734963844510437]"
141, , ,Bítovčice,Bítovčice,14098021707,"[49.36418249198579, 15.735039550173779]"
121, , ,Bítovčice,Bítovčice,14097928707,"[49.36772284398271, 15.735311862134774]"
90, , ,Bítovčice,Bítovčice,14097885707,"[49.36663303381635, 15.731106904185172]"
105, , ,Bítovčice,Bítovčice,14097925707,"[49.36305167653684, 15.738231526259424]"
139, , ,Bítovčice,Bítovčice,14098019707,"[49.36328836927232, 15.735859353938048]"
11, , ,Bítovčice,Bítovčice,14097961707,"[49.358874231295125, 15.738403926906404]"
106, , ,Bítovčice,Bítovčice,14097895707,"[49.35845549982772, 15.736229831929364]"
31, , ,Bítovčice,Bítovčice,14097915707,"[49.37007263739981, 15.734265197559036]"
20, , ,Bítovčice,Bítovčice,14097780707,"[49.35906569502252, 15.737305614296112]"
135, , ,Bítovčice,Bítovčice,14098002707,"[49.36366597747848, 15.735347173574153]"
82, , ,Bítovčice,Bítovčice,14097989707,"[49.36816339505317, 15.735820417371142]"
