cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
10, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.458427977726515, 16.30251411108242]"
17, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.475437833296674, 16.287780250461378]"
28, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.457546323862545, 16.304849372936744]"
4, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.458658090946535, 16.30234720680538]"
30, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.47736450433092, 16.28925069818262]"
6, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.45801893077434, 16.301740263669068]"
24, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.45819766283259, 16.305050168553652]"
4, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.47527392004218, 16.289322840455544]"
2, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.4749372624961, 16.289984540739784]"
33, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.45942785871317, 16.30367726681808]"
2, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.45885615066048, 16.303381293593866]"
3, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.459363689969, 16.302530166432106]"
44, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.46158479371384, 16.303665277226816]"
20, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.461193972023544, 16.302391947364963]"
25, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.476014602804916, 16.288530202207024]"
43, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.459740649495785, 16.301607243949938]"
23, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.47464915933843, 16.28888125100892]"
22, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.45877522852896, 16.302841490155686]"
4, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.469889579876835, 16.295972604414217]"
34, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.4583887577511, 16.302801821259557]"
27, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.457804410277156, 16.303217646784862]"
3, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.475680060109376, 16.2925352828865]"
12, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.47489467355556, 16.2882217975223]"
37, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.45988464277045, 16.300235916434556]"
15, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.458470991991085, 16.30218674041611]"
32, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.46018675755416, 16.300880073427592]"
23, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.46342323610748, 16.2955449912377]"
20, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.47486616821012, 16.289153347854626]"
35, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.461045000532266, 16.302956913067725]"
12, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.45835835990198, 16.302997367096776]"
29, , ,59301,Býšovec,Býšovec,Býšovec,617211,"[49.47529974647976, 16.28721195196878]"
9, , ,59262,Býšovec,Smrček,Smrček,617229,"[49.46080723578569, 16.304560957723513]"
