cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
81, ,Nádražní,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.186570913522374, 15.34118749108678]"
32, ,Městecká,28908,Běrunice,Běruničky,Běruničky,603112,"[50.19826487234212, 15.334941545468057]"
53, ,Na Zelnici,50351,Běrunice,Vlkov nad Lesy,Vlkov nad Lesy,603171,"[50.206326463226674, 15.385447912735742]"
123, ,Vrška,28908,Běrunice,Běrunice,Běrunice,603104,"[50.187831177525275, 15.328939980422323]"
54, ,Na Zelnici,50351,Běrunice,Vlkov nad Lesy,Vlkov nad Lesy,603171,"[50.206577415352264, 15.38530040332604]"
94, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.186389330128534, 15.344002936998633]"
49, ,Na Zelnici,50351,Běrunice,Vlkov nad Lesy,Vlkov nad Lesy,603171,"[50.20603322625328, 15.385293057542944]"
92, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.186551038772194, 15.344211336697153]"
66, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.189402354683075, 15.342032844962308]"
76, ,Vrška,28908,Běrunice,Běrunice,Běrunice,603104,"[50.18805049498694, 15.327695899932362]"
66, ,Ohrada,28908,Běrunice,Běrunice,Běrunice,603104,"[50.18499722269763, 15.338855286702337]"
68, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18978373815064, 15.342043200970217]"
65, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.189609772500695, 15.342020650540649]"
207, ,U Kravína,28908,Běrunice,Běrunice,Běrunice,603104,"[50.184119869114156, 15.33222456575741]"
96, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18711638745132, 15.343579046773277]"
55, ,U Transformátoru,50351,Běrunice,Vlkov nad Lesy,Vlkov nad Lesy,603171,"[50.20443229797826, 15.383853258218952]"
1, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.192135654711315, 15.342897421603908]"
67, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18929418521331, 15.342039811374445]"
52, ,U Transformátoru,50351,Běrunice,Vlkov nad Lesy,Vlkov nad Lesy,603171,"[50.204499323251056, 15.383444995824574]"
58, ,Malá Strana,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.19139208039802, 15.3494356646857]"
26, ,U Rybníčku,28908,Běrunice,Běruničky,Běruničky,603112,"[50.19797950156117, 15.335787679211206]"
106, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18833753504017, 15.344568911712656]"
95, ,V Uličce,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.187788820665176, 15.34349037105998]"
80, ,Nádražní,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18667354505872, 15.341675525419543]"
31, ,Městecká,28908,Běrunice,Běruničky,Běruničky,603112,"[50.19938224383212, 15.334864748168618]"
51, ,Na Zelnici,50351,Běrunice,Vlkov nad Lesy,Vlkov nad Lesy,603171,"[50.206441469052386, 15.38495974363261]"
51, ,Ve Dvoře,28908,Běrunice,Běrunice,Běrunice,603104,"[50.18614383699825, 15.330929259358284]"
93, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18619194896958, 15.344027278632169]"
203, ,Hlavní,28908,Běrunice,Běrunice,Běrunice,603104,"[50.18538051534783, 15.335958212440474]"
3, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18860127447056, 15.341309592376122]"
27, ,U Rybníčku,28908,Běrunice,Běruničky,Běruničky,603112,"[50.1976181373254, 15.33535000320885]"
57, ,U Mlýna,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.187894686298705, 15.342326639472985]"
1, ,U Zámku,50351,Běrunice,Vlkov nad Lesy,Vlkov nad Lesy,603171,"[50.203807003892955, 15.386571948175785]"
128, ,Kroutilova,28908,Běrunice,Běrunice,Běrunice,603104,"[50.184764617847726, 15.333481750696137]"
82, ,Ohrada,28908,Běrunice,Běrunice,Běrunice,603104,"[50.185017239063015, 15.339429116345041]"
50, ,Na Zelnici,50351,Běrunice,Vlkov nad Lesy,Vlkov nad Lesy,603171,"[50.20623401475673, 15.385084697730562]"
75, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.190970253462204, 15.34192488070933]"
79, ,Nádražní,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18683073288538, 15.341038072381064]"
23, ,Městecká,28908,Běrunice,Běruničky,Běruničky,603112,"[50.19742054618506, 15.333793502650606]"
74, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.19082639963114, 15.34193880177709]"
223, ,Spojovací,28908,Běrunice,Běrunice,Běrunice,603104,"[50.187210888275374, 15.327492976822574]"
91, ,Nádražní,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18674261072177, 15.340730667143642]"
191, ,V Koutě,28908,Běrunice,Běrunice,Běrunice,603104,"[50.18480438844871, 15.332532881847422]"
69, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.190363610169925, 15.341930197509019]"
28, ,Pod Baráky,28908,Běrunice,Běrunice,Běrunice,603104,"[50.186638264022086, 15.334809781720434]"
71, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.185929893991016, 15.344148890426156]"
99, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18817922200465, 15.345418274998357]"
102, ,U Hliňáku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18548831142647, 15.344517149699229]"
188, ,Ve Dvoře,28908,Běrunice,Běrunice,Běrunice,603104,"[50.186540465602405, 15.32976254921027]"
55, ,Dlouhopolská,28908,Běrunice,Běrunice,Běrunice,603104,"[50.18679244712171, 15.329515808635097]"
61, ,Malá Strana,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.19126383670528, 15.34930539124151]"
72, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18917263005488, 15.341992935031415]"
24, ,Pod Baráky,28908,Běrunice,Běrunice,Běrunice,603104,"[50.18729839109255, 15.332539480302009]"
64, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.19002459176377, 15.341770455672574]"
62, ,U Lávek,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18992647589794, 15.342015384982442]"
24, ,U Rybníčku,28908,Běrunice,Běruničky,Běruničky,603112,"[50.19774527942745, 15.335466359247212]"
101, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.188336460464406, 15.345458207749742]"
87, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18505003563827, 15.34413684634976]"
88, ,Na Plácku,28908,Běrunice,Velké Výkleky,Velké Výkleky,603163,"[50.18814126972592, 15.344607147029983]"
