cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
210, , ,26724,Běštín,Běštín,Běštín,603368,"[49.804929406203215, 14.021625769907867]"
80, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80312749508269, 14.021196042735001]"
39, , ,26724,Běštín,Běštín,Běštín,603368,"[49.802801755231755, 14.018691715863543]"
196, , ,26724,Běštín,Běštín,Běštín,603368,"[49.808794253964855, 14.017148711600262]"
66, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80229785046698, 14.015262970107866]"
62, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80273979779598, 14.016217491597624]"
161, , ,26724,Běštín,Běštín,Běštín,603368,"[49.81015608882981, 14.009606442473249]"
202, , ,26724,Běštín,Běštín,Běštín,603368,"[49.803739341534715, 14.01446475559787]"
132, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80672325147814, 14.016312799493624]"
2, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80908451260935, 14.020769723673903]"
90, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80370144265677, 14.020987921133253]"
85, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80434789929251, 14.016062697426783]"
34, , ,26724,Běštín,Běštín,Běštín,603368,"[49.81347799522905, 14.009924561273452]"
15, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80733091055868, 14.016537291191245]"
12, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80711864162932, 14.016456936173743]"
63, , ,26724,Běštín,Běštín,Běštín,603368,"[49.802508308798785, 14.015595339375945]"
78, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80601707867258, 14.015782807646579]"
193, , ,26724,Běštín,Běštín,Běštín,603368,"[49.804213666172416, 14.014089260503823]"
76, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80473154970971, 14.01476330777097]"
73, , ,26724,Běštín,Běštín,Běštín,603368,"[49.803036008726764, 14.02075048098627]"
209, , ,26724,Běštín,Běštín,Běštín,603368,"[49.802478703388815, 14.019192289782183]"
16, , ,26724,Běštín,Běštín,Běštín,603368,"[49.807576237855436, 14.016674477178686]"
84, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80478996022469, 14.01493396012477]"
125, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80363393201857, 14.025980968875052]"
6, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80842129713369, 14.018703231732067]"
174, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80746469189312, 14.022869986998307]"
173, , ,26724,Běštín,Běštín,Běštín,603368,"[49.80868411592491, 14.018904776382923]"
