cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
175, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.494975746700014, 15.922977146894162]"
114, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.49166816309621, 15.911452897982592]"
23, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.50217252593476, 15.936722473602916]"
116, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.491858344864625, 15.911335210101312]"
53, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.493627236651676, 15.9229837056679]"
88, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.50497640765601, 15.932866635569194]"
50, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.49328587131506, 15.922544806215999]"
83, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.49111834228994, 15.913970445165653]"
53, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.50438370771972, 15.934851182148497]"
97, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.491469377976316, 15.913114924707163]"
171, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.502081636991754, 15.933513669239376]"
104, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.49199524289625, 15.913006220641721]"
47, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.494198832499094, 15.92300544683125]"
111, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.502739369942745, 15.933661837602125]"
42, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.49477198569005, 15.922680249458923]"
47, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.50251487612071, 15.935632188107537]"
43, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.49458917762439, 15.922657573833282]"
30, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.494582735835394, 15.923284218047094]"
46, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.49421672593776, 15.922641253239139]"
82, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.50546453794259, 15.935727246741504]"
95, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.50593446176284, 15.931444127844626]"
102, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.505594596114555, 15.931380165365823]"
74, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.490929713832, 15.914226828614224]"
170, , ,59214,Březí nad Oslavou,Březí nad Oslavou,Březí nad Oslavou,613932,"[49.50219292076314, 15.933785582199656]"
