cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
109, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72821411714918, 16.00312397464993]"
93, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72646074860752, 16.005323440797195]"
9, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72036274208458, 15.977482416416068]"
74, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72580732993583, 16.004700485615547]"
92, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.728534024564034, 16.001963426528786]"
50, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72084072327538, 15.981669917286926]"
104, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72521087988726, 16.004313510120177]"
108, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.726171089754445, 16.00328079865295]"
97, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.7246393719987, 16.00493776259616]"
105, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.7269517633988, 16.005472817965416]"
103, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.725067924261005, 16.003897472515728]"
40, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.718476288264924, 15.9828909198125]"
101, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.724797683914076, 16.0041553665573]"
94, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72486907610662, 16.00534341723677]"
100, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72580937407424, 16.005328481846117]"
95, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72609244427038, 16.005961965560555]"
99, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72554932103778, 16.005361128960896]"
98, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.724373500907475, 16.005013343461748]"
96, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.726228715070356, 16.00572808674951]"
107, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72670509937573, 16.003520194156625]"
102, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72496757416628, 16.004487960596098]"
52, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.71977066828909, 15.982411072648492]"
125, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72432091622441, 16.005637148605704]"
6, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.736253092576526, 16.003099060934147]"
67, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.726855370325005, 16.00575540926235]"
57, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72815682482928, 16.002003135209467]"
106, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72022020240518, 15.981156186625155]"
5, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.73568560053544, 16.00292945407261]"
4, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.73542411839791, 16.002222156947244]"
91, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72638077298821, 16.005463449413657]"
10, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.71919347740436, 15.972620245957133]"
123, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.723909191557695, 16.004460266868577]"
124, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72449332102966, 16.005522470013943]"
118, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72393626315363, 16.00521737979737]"
114, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.724414883628555, 16.004000573781095]"
116, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.724153574562145, 16.00425686281424]"
70, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72727584590786, 16.004367427208408]"
113, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72575760305874, 16.00620350321424]"
7, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.726496124923074, 16.003990537251124]"
78, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.726165875856864, 16.003812355828405]"
69, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.73579120539765, 16.0031669418725]"
15, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.735296442339454, 16.00183472122442]"
41, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.73599257134501, 16.003915055449728]"
8, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.721185235206676, 15.976755074291773]"
121, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72415762868076, 16.006113233541072]"
115, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72426128427935, 16.004601575790183]"
18, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.7353810280961, 16.00291786957282]"
90, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72660767307457, 16.00378901009962]"
1, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72726797896822, 16.003782347285217]"
24, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72771578581575, 16.0040790995859]"
6, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72782822083119, 16.00232737880464]"
25, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.72735685810611, 16.004241192246276]"
28, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.727023737211866, 16.00318378941554]"
120, , ,59202,Chlumětín,Chlumětín,Chlumětín,651834,"[49.725913523912624, 16.00346661158269]"
