cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
23, , ,Choratice,Choratice,292247201,"[49.83807931206569, 14.873842992643185]"
11, , ,Choratice,Choratice,292230201,"[49.838987856189256, 14.873652280811607]"
7, , ,Choratice,Choratice,292255201,"[49.838385583147854, 14.874307131604901]"
32, , ,Choratice,Choratice,292256201,"[49.8388588332723, 14.8758671171435]"
10, , ,Choratice,Choratice,292263201,"[49.83864652194188, 14.873633324983897]"
9, , ,Choratice,Choratice,292232201,"[49.83843398358956, 14.873422585495918]"
16, , ,Choratice,Choratice,292249201,"[49.8389536172904, 14.874941308195869]"
9, , ,Choratice,Choratice,292238201,"[49.83852899227902, 14.874034415220192]"
20, , ,Choratice,Choratice,292239201,"[49.84012224797141, 14.874601132500302]"
5, , ,Choratice,Choratice,292245201,"[49.83932145881536, 14.874082686535697]"
22, , ,Choratice,Choratice,292243201,"[49.839355402728, 14.87501529450924]"
13, , ,Choratice,Choratice,292235201,"[49.83897731956027, 14.874488335134846]"
30, , ,Choratice,Choratice,292244201,"[49.83965731330009, 14.875766398647471]"
34, , ,Choratice,Choratice,292254201,"[49.83878355097281, 14.873729287681757]"
17, , ,Choratice,Choratice,292221201,"[49.83943202110959, 14.874289761485219]"
29, , ,Choratice,Choratice,292241201,"[49.84018868382005, 14.875429553500167]"
31, , ,Choratice,Choratice,292222201,"[49.840066577790665, 14.87580676081096]"
36, , ,Choratice,Choratice,568264201,"[49.841634371445615, 14.874680805576094]"
35, , ,Choratice,Choratice,545917201,"[49.839610604503186, 14.872257062740609]"
1, , ,Choratice,Choratice,292226201,"[49.83963536192727, 14.873934743747137]"
3, , ,Choratice,Choratice,292229201,"[49.83964113875043, 14.875069399018876]"
14, , ,Choratice,Choratice,292233201,"[49.83918815537152, 14.87475481598214]"
33, , ,Choratice,Choratice,292248201,"[49.83894983923111, 14.874298448643431]"
28, , ,Choratice,Choratice,292257201,"[49.83692778733787, 14.859593740478324]"
2, , ,Choratice,Choratice,292228201,"[49.83989996340636, 14.874273591816147]"
1, , ,Choratice,Choratice,292250201,"[49.83951530708038, 14.878390260621176]"
27, , ,Choratice,Choratice,292237201,"[49.83949029773199, 14.875001899604374]"
12, , ,Choratice,Choratice,292252201,"[49.839187063554256, 14.87367530825865]"
6, , ,Choratice,Choratice,292231201,"[49.838271806887924, 14.874856931178822]"
15, , ,Choratice,Choratice,292242201,"[49.839078077242235, 14.875380153426576]"
21, , ,Choratice,Choratice,292236201,"[49.839981787721506, 14.87491602568277]"
25, , ,Choratice,Choratice,292240201,"[49.83947915881346, 14.873377548043488]"
18, , ,Choratice,Choratice,292234201,"[49.83856614914976, 14.872665717324985]"
26, , ,Choratice,Choratice,292251201,"[49.83959274168385, 14.878234302674565]"
4, , ,Choratice,Choratice,292223201,"[49.83866397119348, 14.875842917407926]"
5, , ,Choratice,Choratice,292246201,"[49.83859356925005, 14.875123580488179]"
