cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
85, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74869948101725, 14.556904750180959]"
53, , ,57001,Chotovice,Chotovice,Chotovice,653390,"[49.85020303943838, 16.173595377997156]"
33, , ,57001,Chotovice,Chotovice,Chotovice,653390,"[49.85076170716318, 16.1724314470782]"
65, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.742727568238465, 14.560132073872843]"
51, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74012084987331, 14.562070439171707]"
53, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.749647587271, 14.551464501670033]"
13, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74331760537841, 14.56004794345988]"
24, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.749522335280425, 14.550747741244763]"
23, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74949440298903, 14.550739420835999]"
22, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74946768033894, 14.550745140908838]"
15, , ,57001,Chotovice,Chotovice,Chotovice,653390,"[49.85112283046556, 16.17109824368442]"
4, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.73903214412618, 14.560661273581902]"
60, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.73901850912458, 14.559795849908399]"
20, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.749611081034274, 14.550514253184081]"
104, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.73804439119155, 14.561986649662133]"
14, , ,57001,Chotovice,Chotovice,Chotovice,653390,"[49.85056150976985, 16.172996182734952]"
3, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74002574375857, 14.562477912124086]"
19, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74958314872691, 14.550505932896694]"
52, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74962086458867, 14.551470221351666]"
44, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.7394717650605, 14.560976439124776]"
51, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.749595351458964, 14.55148998155467]"
2, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74071992726383, 14.559766590507502]"
39, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74253890786982, 14.559972254602819]"
7, , ,57001,Chotovice,Chotovice,Chotovice,653390,"[49.851168767379775, 16.170702320789445]"
79, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74204202765091, 14.558060628942874]"
71, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74899046019296, 14.5568958398525]"
40, , ,57001,Chotovice,Chotovice,Chotovice,653390,"[49.853120649165966, 16.171065795095426]"
95, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74916354881995, 14.557633396756556]"
25, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74954784828769, 14.550727980671331]"
32, , ,57001,Chotovice,Chotovice,Chotovice,653390,"[49.850654293332816, 16.172415526139154]"
2, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.740565343298876, 14.561619152668742]"
67, , ,47301,Chotovice,Chotovice,Chotovice,653381,"[50.74847534337801, 14.557234814798594]"
12, , ,57001,Chotovice,Chotovice,Chotovice,653390,"[49.85187087655415, 16.17178992968556]"
