cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
6, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06788307449385, 14.519364368176648]"
30, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.08230172761578, 14.518843950103951]"
84, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06422739841618, 14.517411807124185]"
13, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07853791961566, 14.521636962501896]"
11, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07864748091216, 14.520866455214797]"
65, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.0655297969704, 14.518866590587082]"
34, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.067321787715954, 14.522475228154972]"
39, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.065759861610154, 14.518400409078337]"
31, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06557280987837, 14.517975556070763]"
43, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07768070949582, 14.528899519562534]"
97, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06732309646252, 14.522087267737946]"
58, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.077229744257686, 14.528629229016694]"
2, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.066875976959324, 14.519254551333708]"
36, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06546616085361, 14.514167979679426]"
5, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06779405042918, 14.519374539913317]"
72, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06764145575042, 14.523528395991846]"
36, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.066518705178616, 14.51451756015257]"
111, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07008092623331, 14.52177289433436]"
15, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07820721703617, 14.522093306690882]"
94, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06749494760643, 14.524413417842124]"
9, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06814555741856, 14.520438367154108]"
30, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.066197030029294, 14.522547323505888]"
70, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06847218085836, 14.521620761328725]"
56, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06810970548529, 14.520736399862951]"
50, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07736059727096, 14.528934623765675]"
39, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07772373776948, 14.522390955813506]"
16, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.066956183373456, 14.520805522137314]"
6, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07786866038093, 14.520674851666042]"
7, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07771698889034, 14.52037641311106]"
23, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.078199521571165, 14.519518618605192]"
51, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.076950263706856, 14.528766566590187]"
18, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.08071968367289, 14.513403599968486]"
15, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06750173529235, 14.521273474905886]"
26, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06665665671634, 14.522284384849927]"
106, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06478469473482, 14.516743801765582]"
26, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.08059885575968, 14.515699929342198]"
60, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06901880141331, 14.52166669681916]"
81, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06522793201896, 14.518640254427543]"
12, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06876563576558, 14.521493629836506]"
25, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06790561087314, 14.520991965127232]"
24, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.08041762613565, 14.515068452956646]"
32, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.080463271851784, 14.514664000458758]"
3, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.077573795668805, 14.521779121088565]"
8, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07793343000101, 14.520305420494024]"
29, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.08134780121587, 14.515181601941338]"
87, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06458261009699, 14.51671665688549]"
22, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06765014141006, 14.52084590123282]"
33, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.078543588509376, 14.519495614352934]"
85, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.0643438394381, 14.517078436808072]"
104, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06760785440401, 14.52506678403927]"
35, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07860814743653, 14.51978297229811]"
100, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06423473793717, 14.516581638610536]"
12, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.078646382308015, 14.521470800306787]"
5, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07758424597386, 14.521227555463355]"
31, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.065457303730845, 14.515631591076424]"
2, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07757184388207, 14.522014923002875]"
19, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.066662389127885, 14.519506422599434]"
110, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.0676877035633, 14.524539209617993]"
73, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07740733307774, 14.527461050534518]"
184, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.080997844301166, 14.515442934178886]"
55, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06943489420348, 14.52224065751264]"
54, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07732136349198, 14.529247907106773]"
49, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06534982346197, 14.518365690747208]"
48, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.068104457787626, 14.520324930146145]"
42, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06726822247461, 14.52199837091342]"
27, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.0667826746898, 14.522211995639443]"
23, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06738822044269, 14.522060509255311]"
10, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06726437319724, 14.52306375843378]"
57, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06965230152666, 14.522798076548336]"
1, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07732933021198, 14.522228627336984]"
79, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.076298211346504, 14.52392754614791]"
19, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.08059129533264, 14.51357516765682]"
13, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.067822389570985, 14.521425916239554]"
102, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06735879597191, 14.525021715297026]"
64, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06588081747306, 14.519154417399472]"
75, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06776688122206, 14.520543117824495]"
20, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07806789015407, 14.51995621037944]"
3, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06718793126369, 14.51969702889124]"
69, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06766761921618, 14.522802560987957]"
62, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06652263480905, 14.518825218608182]"
37, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06741207902039, 14.52276823878604]"
27, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.08082691832426, 14.515598592948196]"
93, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.06556089760424, 14.523184519540914]"
98, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.07807566088114, 14.529072148725561]"
109, , ,37362,Chotýčany,Chotýčany,Chotýčany,653501,"[49.067513445288895, 14.525431635475808]"
