cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
17, ,Prokopova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33610748607767, 14.799465670636266]"
195, ,Na Nebesích,29428,Chotětov,Chotětov,Chotětov,653233,"[50.338873413098824, 14.805028955102971]"
32, ,Nádražní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.337576272333536, 14.802349927098296]"
36, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32457200112557, 14.766823006656855]"
164, ,Smetanova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.34124393103305, 14.805318002967855]"
261, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33419932539912, 14.804451266924415]"
67, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32405735243447, 14.769702136035862]"
202, ,Na Nebesích,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33888089902454, 14.806401913615446]"
39, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32463106051723, 14.766211341644311]"
89, ,9. května,29428,Chotětov,Chotětov,Chotětov,653233,"[50.34062561422364, 14.803338853822735]"
262, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33451061690393, 14.804486062594984]"
259, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.3342940771749, 14.80396409646466]"
7, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32447013464387, 14.765918911270525]"
228, ,Mírová,29428,Chotětov,Chotětov,Chotětov,653233,"[50.3393743772686, 14.806767473890009]"
1, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.323347494227825, 14.76935362282234]"
147, ,Nová,29428,Chotětov,Chotětov,Chotětov,653233,"[50.34037835390533, 14.806608584936372]"
207, ,Na Nebesích,29428,Chotětov,Chotětov,Chotětov,653233,"[50.338520720738494, 14.806646443770056]"
219, ,Palackého,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33545294240328, 14.80233579840269]"
215, ,Na Nebesích,29428,Chotětov,Chotětov,Chotětov,653233,"[50.3382735218989, 14.807689463192753]"
302, ,Na Výsluní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33325331877412, 14.79960290822936]"
104, ,9. května,29428,Chotětov,Chotětov,Chotětov,653233,"[50.340501710474435, 14.8009371809506]"
128, ,Nádražní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33732630924265, 14.802584008271111]"
125, ,Nádražní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33757759807595, 14.806465986412247]"
112, ,Prokopova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33516365572214, 14.799350969646055]"
242, ,Švehlova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33801988251782, 14.80403392812833]"
87, ,Chudoplesy,29428,Chotětov,Chotětov,Chotětov,653233,"[50.331043156569244, 14.804763721041438]"
60, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32400279411169, 14.766961569074589]"
84, ,Palackého,29428,Chotětov,Chotětov,Chotětov,653233,"[50.334803060856906, 14.802345418825531]"
8, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.324411738641125, 14.76607893764446]"
53, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32389931169086, 14.771536790533267]"
78, ,Nová,29428,Chotětov,Chotětov,Chotětov,653233,"[50.340514430463706, 14.805037541067339]"
48, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32378335914617, 14.771232326137921]"
13, ,Prokopova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33603658912412, 14.798242210932338]"
67, ,Husovo náměstí,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33797735831963, 14.800863262065434]"
249, ,Švehlova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.3382316121718, 14.80447134317664]"
197, ,Na Nebesích,29428,Chotětov,Chotětov,Chotětov,653233,"[50.338817975428796, 14.805337995585846]"
268, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.333885165700735, 14.805238850804113]"
244, ,Švehlova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33831531296647, 14.804065628466894]"
123, ,Smetanova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.34101864194144, 14.806158168369695]"
99, ,Nová,29428,Chotětov,Chotětov,Chotětov,653233,"[50.34085095306887, 14.803429549110758]"
68, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32425690961193, 14.769915723743537]"
61, ,Nádražní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33761266743802, 14.806097404262458]"
38, ,Palackého,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33503924346498, 14.802250506662201]"
208, ,Na Nebesích,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33865201338198, 14.807252126906345]"
222, ,Smetanova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.34089110854535, 14.8058302768785]"
52, ,Palackého,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33539633167835, 14.802630894935348]"
21, , ,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33630639414094, 14.80074227538073]"
271, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33320333483115, 14.804898134313891]"
33, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32292534424411, 14.766310450666573]"
248, ,Švehlova,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33835387369428, 14.804460789816009]"
96, ,Zlatnická,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33579681383942, 14.803069615886342]"
328, ,Na Výsluní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.333767105356166, 14.801919450196905]"
273, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33282021519283, 14.804764845305229]"
307, ,Na Výsluní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33268385416716, 14.80015997222313]"
287, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33340463997243, 14.804063058739672]"
136, ,Nová,29428,Chotětov,Chotětov,Chotětov,653233,"[50.340091323954745, 14.807951226844748]"
267, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33414534034509, 14.805312560784948]"
326, ,Na Výsluní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.333657019636114, 14.802225600051626]"
299, ,Na Výsluní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.333852059342156, 14.799819058594483]"
50, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32185253147557, 14.76625961023152]"
148, ,Nová,29428,Chotětov,Chotětov,Chotětov,653233,"[50.340278512068345, 14.805607676950181]"
311, ,Na Výsluní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33257508006569, 14.8008570394652]"
54, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32415335409577, 14.772117046844087]"
223, ,Palackého,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33554963790523, 14.80155065185391]"
46, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.3235699207371, 14.77084269245297]"
279, ,Do Haček,29428,Chotětov,Chotětov,Chotětov,653233,"[50.332213074189895, 14.803700282504488]"
59, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32379730454416, 14.767237976823452]"
196, ,Na Nebesích,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33905128306819, 14.805629824252598]"
93, ,Zlatnická,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33607699553622, 14.802710553564097]"
77, ,Nádražní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33764534747397, 14.804830382071867]"
56, ,Nádražní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33985428812452, 14.809549207146265]"
26, ,Mírová,29428,Chotětov,Chotětov,Chotětov,653233,"[50.339295407284524, 14.807414382203339]"
305, ,Na Výsluní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33278053506788, 14.799374866523832]"
53, ,9. května,29428,Chotětov,Chotětov,Chotětov,653233,"[50.3403249804765, 14.803396657782745]"
42, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32469692712259, 14.766019729713014]"
315, ,Na Výsluní,29428,Chotětov,Chotětov,Chotětov,653233,"[50.33249228549591, 14.801506505935683]"
14, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32284620443456, 14.766766039664397]"
138, ,Nová,29428,Chotětov,Chotětov,Chotětov,653233,"[50.34017888081577, 14.8075930290641]"
17, , ,29479,Chotětov,Hřivno,Hřivno,649171,"[50.32320940079103, 14.768136480247477]"
204, ,Na Nebesích,29428,Chotětov,Chotětov,Chotětov,653233,"[50.338821918746646, 14.806669174033871]"
