cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
142, , ,Chrást,Chrást,300049208,"[50.116660719018945, 14.905749235383205]"
131, , ,Chrást,Chrást,300121208,"[50.11881260067589, 14.894960320788137]"
26, , ,Chrást,Chrást,312801407,"[49.79212554620566, 13.503326256804549]"
113, , ,Chrást,Chrást,299931208,"[50.118610824221456, 14.899095054749893]"
746, ,Kolmá,Chrást,Chrást,62274783010,"[49.79771332761369, 13.49650318302883]"
745, ,Zahradní,Chrást,Chrást,28895383010,"[49.796743473502495, 13.497065382930419]"
186, , ,Chrást,Chrást,299971208,"[50.11831530310565, 14.8986282884868]"
86, , ,Chrást,Chrást,299970208,"[50.11838426792448, 14.898775139907666]"
101, , ,Chrást,Chrást,300033208,"[50.11830809408614, 14.89895257588665]"
189, , ,Chrást,Chrást,300101208,"[50.11662498292144, 14.904308066603411]"
747, ,Uhelná,Chrást,Chrást,62288894010,"[49.79169782840825, 13.492139076012883]"
146, , ,Chrást,Chrást,299978208,"[50.11654125655588, 14.905939280213381]"
15, , ,Chrást,Chrást,279055211,"[49.59389674891569, 13.956219309026153]"
56, , ,Chrást,Chrást,299983208,"[50.11939755341866, 14.895120231709184]"
159, , ,Chrást,Chrást,300013208,"[50.121166408023285, 14.891842943872042]"
70, , ,Chrást,Chrást,300061208,"[50.11902790392453, 14.897165021203293]"
89, , ,Chrást,Chrást,299996208,"[50.11807003873218, 14.90051097552309]"
170, , ,Chrást,Chrást,300129208,"[50.11763437446151, 14.8959266977126]"
84, , ,Chrást,Chrást,299959208,"[50.12097129283712, 14.892687110318048]"
76, , ,Chrást,Chrást,299972208,"[50.11944197589015, 14.894341686818102]"
15, , ,Chrást,Chrást,300041208,"[50.118884155363446, 14.901028420906995]"
112, , ,Chrást,Chrást,299981208,"[50.119329068465646, 14.897225447361274]"
93, , ,Chrást,Chrást,299982208,"[50.11735913237632, 14.902031348905986]"
61, , ,Chrást,Chrást,300035208,"[50.11954213227972, 14.89646581992311]"
36, , ,Chrást,Chrást,300074208,"[50.12058815779201, 14.890511502191547]"
73, , ,Chrást,Chrást,300094208,"[50.11895033251076, 14.897340914230309]"
133, , ,Chrást,Chrást,299986208,"[50.11849909452634, 14.895304084139582]"
129, , ,Chrást,Chrást,299933208,"[50.11906254702143, 14.8978210894798]"
91, , ,Chrást,Chrást,299950208,"[50.11744777928002, 14.90189749521289]"
163, , ,Chrást,Chrást,300082208,"[50.12118965202411, 14.892991342003512]"
83, , ,Chrást,Chrást,300060208,"[50.1190570183677, 14.900850171543288]"
744, ,Dlouhá,Chrást,Chrást,60660510010,"[49.7997364032128, 13.497614349352537]"
296, ,9. května,Chrást,Chrást,312520407,"[49.798860566905, 13.493754258700754]"
739, ,Na Jarově,Chrást,Chrást,0,"[49.79769861658111, 13.48674822551731]"
211, , ,Chrást,Chrást,431681208,"[50.12005698307431, 14.898387336219395]"
156, ,V Podlesí,Chrást,Chrást,60526396010,"[49.79371342038565, 13.501949398511577]"
738, ,Dolanská,Chrást,Chrást,58956612010,"[49.79396628247664, 13.478873323252111]"
737, ,Polní,Chrást,Chrást,60382356010,"[49.80007848622517, 13.490139890763004]"
405, ,V Podlesí,Chrást,Chrást,312914407,"[49.79191225784659, 13.507103446256398]"
157, ,Smědčická,Chrást,Chrást,60787516010,"[49.79429070400765, 13.49974884659704]"
16, , ,Chrást,Oslí,60876490010,"[49.595523084750184, 13.925264713291963]"
37, , ,Chrást,Chrást,279042211,"[49.593542433438905, 13.954062863434936]"
638, ,U Školky,Chrást,Chrást,313118407,"[49.794988491944274, 13.49161877951966]"
650, ,Úzká,Chrást,Chrást,313072407,"[49.79980536932867, 13.492157860858601]"
136, ,tř. Čs. odboje,Chrást,Chrást,372246405,"[49.7922063009387, 13.492180442558107]"
