cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
51, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30796643612053, 15.011163877278916]"
6, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30647664936651, 15.01156440462842]"
25, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30887449415664, 15.01948788932906]"
22, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.308686688844595, 15.021705852517472]"
29, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30819082266064, 15.020010008191454]"
20, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30912782046352, 15.021094618298035]"
99, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.31181213969167, 15.014901721381154]"
66, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.308011669757796, 15.012856113238694]"
94, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.309696769184455, 15.017269002265566]"
23, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30731406776118, 15.011932881490699]"
1, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30652089161208, 15.012057120207444]"
2, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30855208155449, 15.010275852956518]"
75, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30882242256703, 15.013722789484534]"
69, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30940063202798, 15.009635842982988]"
54, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30830354029373, 15.021364145798398]"
45, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30818409676366, 15.01451808965832]"
86, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.310614582332214, 15.015327992583634]"
44, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30889335845741, 15.019059398415132]"
84, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.307497628632596, 15.012943261578982]"
81, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30749131130187, 15.013850500404812]"
55, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.31209832466351, 15.013980256223489]"
57, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30988194715433, 15.015676064704918]"
38, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30859763833156, 15.019052796064221]"
5, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30901712874871, 15.012791567860312]"
30, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30844117832547, 15.013567188791454]"
60, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.31022387625997, 15.019075494264989]"
105, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30954506682905, 15.016860839015207]"
72, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30811622208644, 15.013822330094111]"
74, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30836024215922, 15.010344543474314]"
77, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.307938869829606, 15.014765023325642]"
67, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.307836287343974, 15.012435920551884]"
49, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30916415230843, 15.010411897682992]"
28, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30980295317137, 15.014614466076347]"
24, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.309513895239256, 15.013752782026252]"
18, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.309244072363526, 15.020446557924187]"
106, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30971863557645, 15.016330270648782]"
31, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.308280263958366, 15.019537245533236]"
52, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.31218965142597, 15.01355122728851]"
40, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30811284908489, 15.019486157302506]"
39, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30883664188611, 15.01990606235697]"
24, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.308105725044605, 15.019728243820076]"
37, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.309986764976315, 15.015369190075836]"
41, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30888330343448, 15.019903565527507]"
113, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30922533332709, 15.019216793375477]"
26, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.308266058654965, 15.012589620163073]"
27, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30815730703446, 15.01903834302984]"
82, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30745288991328, 15.013533825682767]"
109, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.31029545007148, 15.01137210610348]"
61, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.310128363391954, 15.011741282359393]"
62, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30820473203624, 15.014828033237265]"
68, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30948654729465, 15.01444814638863]"
32, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30836994069174, 15.019306779576413]"
88, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.307882081930984, 15.015282576344086]"
35, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30865537516073, 15.019687902759411]"
83, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.307470475696284, 15.013219127437216]"
87, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30730153534113, 15.011454125877812]"
107, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.31133680003486, 15.017149691337496]"
70, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.3098155245846, 15.009303288670855]"
85, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30744893266008, 15.012684155811506]"
19, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30917405526077, 15.0208048432197]"
120, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30973610461197, 15.01851514431724]"
58, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30883990553428, 15.02027345510755]"
22, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.309360616853816, 15.01327770581806]"
59, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.31007874502647, 15.01826763598587]"
42, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30883723183692, 15.019707619308706]"
96, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30895261311947, 15.011686288563824]"
21, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30883353135193, 15.021180718006658]"
4, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30828280601233, 15.010278816936903]"
25, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30862784170775, 15.013112675722974]"
12, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30592998875764, 15.011094644340025]"
51, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.31163486719609, 15.014044425560204]"
9, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.305845451053194, 15.011168370229973]"
19, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.308951500994155, 15.01440448030738]"
119, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.309667902819804, 15.016920935017914]"
7, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30628034728179, 15.011165306809927]"
29, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.309937339657154, 15.014813783737708]"
33, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30968140989835, 15.015007114006044]"
44, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.307736779974256, 15.010799829208691]"
33, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30835096224975, 15.019077896051837]"
20, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.307679137171206, 15.010460288781195]"
34, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.309757077984806, 15.014170744660449]"
10, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30645585341342, 15.01131381538274]"
14, , ,29445,Chudíř,Chudíř,Chudíř,654795,"[50.30917781780239, 15.022271911023696]"
