cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
13, , ,Chvatěruby,Chvatěruby,302421206,"[50.23203817791343, 14.34457456546926]"
72, , ,Chvatěruby,Chvatěruby,302420206,"[50.231999070609504, 14.344361418968727]"
112, , ,Chvatěruby,Chvatěruby,302293206,"[50.23458093940323, 14.346784154322762]"
24, , ,Chvatěruby,Chvatěruby,302331206,"[50.23105404403375, 14.343538510700437]"
251, , ,Chvatěruby,Chvatěruby,47483195010,"[50.23173530346037, 14.341707312783829]"
250, , ,Chvatěruby,Chvatěruby,43921145010,"[50.23350855217557, 14.347663603983047]"
249, , ,Chvatěruby,Chvatěruby,41934043010,"[50.2320241839833, 14.342097677080487]"
2, , ,Chvatěruby,Chvatěruby,302546206,"[50.23242454521657, 14.341190364992123]"
42, , ,Chvatěruby,Chvatěruby,39103065010,"[50.232863650120294, 14.341024662917057]"
247, , ,Chvatěruby,Chvatěruby,36350051010,"[50.231584622955516, 14.341952151071794]"
245, , ,Chvatěruby,Chvatěruby,28860506010,"[50.23680706687636, 14.344233569088418]"
231, , ,Chvatěruby,Chvatěruby,547577206,"[50.23677626870743, 14.34337694859659]"
232, , ,Chvatěruby,Chvatěruby,606051206,"[50.23630355709535, 14.343266867928692]"
244, , ,Chvatěruby,Chvatěruby,511315206,"[50.23714267397047, 14.344741256631352]"
153, , ,Chvatěruby,Chvatěruby,302599206,"[50.23253260773591, 14.345058489112326]"
18, , ,Chvatěruby,Chvatěruby,302474206,"[50.231911979293606, 14.343183238959007]"
123, , ,Chvatěruby,Chvatěruby,302284206,"[50.23284797516112, 14.343603532053466]"
118, , ,Chvatěruby,Chvatěruby,302521206,"[50.232857966373146, 14.344634390982836]"
177, , ,Chvatěruby,Chvatěruby,302608206,"[50.23445320116395, 14.343383870249397]"
59, , ,Chvatěruby,Chvatěruby,302485206,"[50.232163400117756, 14.344275096722649]"
92, , ,Chvatěruby,Chvatěruby,302588206,"[50.23504906457061, 14.346920304344426]"
67, , ,Chvatěruby,Chvatěruby,302425206,"[50.233169101392505, 14.343335996734915]"
101, , ,Chvatěruby,Chvatěruby,302423206,"[50.23605734964448, 14.346928821741706]"
100, , ,Chvatěruby,Chvatěruby,302457206,"[50.23604623918627, 14.346803856655931]"
40, , ,Chvatěruby,Chvatěruby,302442206,"[50.23133422418089, 14.342402503845326]"
49, , ,Chvatěruby,Chvatěruby,302484206,"[50.23313003518474, 14.343202931772042]"
234, , ,Chvatěruby,Chvatěruby,590296206,"[50.23685724492591, 14.344491611708234]"
243, , ,Chvatěruby,Chvatěruby,22944148010,"[50.2362022976663, 14.345496459886936]"
242, , ,Chvatěruby,Chvatěruby,16424843010,"[50.23535551930303, 14.344037896906345]"
229, , ,Chvatěruby,Chvatěruby,15653273010,"[50.23438558787716, 14.343950392257316]"
240, , ,Chvatěruby,Chvatěruby,602490206,"[50.23287064083562, 14.343937972165701]"
54, , ,Chvatěruby,Chvatěruby,302291206,"[50.23356172157142, 14.343604896977725]"
62, , ,Chvatěruby,Chvatěruby,302487206,"[50.231862729222506, 14.343402042282014]"
70, , ,Chvatěruby,Chvatěruby,302488206,"[50.23385705317884, 14.340325028389541]"
71, , ,Chvatěruby,Chvatěruby,302343206,"[50.23382345537596, 14.34114415500845]"
78, , ,Chvatěruby,Chvatěruby,302316206,"[50.23409243407076, 14.34515917059534]"
83, , ,Chvatěruby,Chvatěruby,302441206,"[50.234552478156004, 14.345648429923582]"
93, , ,Chvatěruby,Chvatěruby,302287206,"[50.23488519014939, 14.347240447580944]"
1, , ,Chvatěruby,Chvatěruby,302593206,"[50.23255460515611, 14.342161580373153]"
11, , ,Chvatěruby,Chvatěruby,302298206,"[50.2321062984654, 14.343908624972768]"
12, , ,Chvatěruby,Chvatěruby,302451206,"[50.232332657507925, 14.34470039136889]"
21, , ,Chvatěruby,Chvatěruby,302475206,"[50.23138854547319, 14.342967253101717]"
37, , ,Chvatěruby,Chvatěruby,302483206,"[50.23103175953034, 14.343068581169776]"
50, , ,Chvatěruby,Chvatěruby,302605206,"[50.232456333307525, 14.343431357605509]"
65, , ,Chvatěruby,Chvatěruby,302279206,"[50.229816747223914, 14.346174401396338]"
84, , ,Chvatěruby,Chvatěruby,302444206,"[50.23531377765302, 14.345827339016846]"
88, , ,Chvatěruby,Chvatěruby,302306206,"[50.23517831609993, 14.346121959781645]"
