cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
302, ,Žižkovo náměstí,36453,Chyše,Chyše,Chyše,655538,"[50.104343257102435, 13.248360135215274]"
69, , ,36453,Chyše,Poříčí,Poříčí,655511,"[50.089414631167244, 13.276328676775975]"
304, ,Nádražní,36453,Chyše,Chyše,Chyše,655538,"[50.10591306929827, 13.250122241442128]"
103, ,Lubenecká,36453,Chyše,Chyše,Chyše,655538,"[50.10462285286694, 13.255216822903783]"
243, ,Nádražní,36453,Chyše,Chyše,Chyše,655538,"[50.10552637584733, 13.250306400964028]"
216, , ,36453,Chyše,Chyše,Chyše,655538,"[50.10423748945852, 13.247118718522858]"
78, , ,36453,Chyše,Jablonná,Jablonná,655619,"[50.07008812622169, 13.287657186391844]"
137, ,Ke Kablu,36453,Chyše,Chyše,Chyše,655538,"[50.103055021332764, 13.245522033825921]"
2, , ,36453,Chyše,Žďárek,Žďárek,655601,"[50.10985667260854, 13.289473037725648]"
35, ,Žižkovo náměstí,36453,Chyše,Chyše,Chyše,655538,"[50.105039472402524, 13.248238221606778]"
90, ,Na Špičáku,36453,Chyše,Chyše,Chyše,655538,"[50.10544404537601, 13.254613142530792]"
294, ,Nádražní,36453,Chyše,Chyše,Chyše,655538,"[50.10808544903649, 13.249725661788025]"
320, ,Nádražní,36453,Chyše,Chyše,Chyše,655538,"[50.106636711796504, 13.250392094674469]"
2, , ,36453,Chyše,Chýšky,Chýšky,655571,"[50.10543835911826, 13.257388046063292]"
102, ,Husí plácek,36453,Chyše,Chyše,Chyše,655538,"[50.10412727409851, 13.252252346586152]"
95, , ,36453,Chyše,Chyše,Chyše,655538,"[50.103808325121015, 13.250490749689597]"
208, , ,36453,Chyše,Chyše,Chyše,655538,"[50.10438205424259, 13.245281024091096]"
65, , ,36453,Chyše,Jablonná,Jablonná,655619,"[50.067639899346105, 13.283869376640135]"
203, , ,36453,Chyše,Chyše,Chyše,655538,"[50.10458846926254, 13.24698097467852]"
164, ,Lubenecká,36453,Chyše,Chyše,Chyše,655538,"[50.10451311562764, 13.252931581392904]"
