cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
6, , ,Cotkytle,Herbortice,0,"[49.93242710622412, 16.697399371468254]"
7, , ,Cotkytle,Cotkytle,377631611,"[49.92800714348223, 16.742188563621188]"
180, , ,Cotkytle,Cotkytle,377706611,"[49.93745312836163, 16.72161972701689]"
19, , ,Cotkytle,Herbortice,389996611,"[49.93589177819985, 16.705993511344854]"
111, , ,Cotkytle,Cotkytle,654478611,"[49.92812345192389, 16.728940626434348]"
7, , ,Cotkytle,Cotkytle,377525611,"[49.92986958176639, 16.745049443447986]"
11, , ,Cotkytle,Cotkytle,377502611,"[49.93390216515673, 16.730826099308903]"
11, , ,Cotkytle,Janoušov,377626611,"[49.911222582061455, 16.740389107528628]"
29, , ,Cotkytle,Janoušov,377699611,"[49.91960511976274, 16.731320724080874]"
10, , ,Cotkytle,Mezilesí,411244611,"[49.9333680273291, 16.67965799741749]"
69, , ,Cotkytle,Cotkytle,377548611,"[49.92759211225953, 16.693166789346826]"
32, , ,Cotkytle,Janoušov,377623611,"[49.912839351235355, 16.742867227072132]"
20, , ,Cotkytle,Mezilesí,411247611,"[49.932855272491395, 16.679434911456816]"
143, , ,Cotkytle,Cotkytle,20101890010,"[49.937677673474276, 16.71735705594671]"
152, , ,Cotkytle,Cotkytle,377542611,"[49.93711989738168, 16.721077545736236]"
97, , ,Cotkytle,Cotkytle,713050611,"[49.93434407342406, 16.72778351640948]"
1, , ,Cotkytle,Janoušov,377718611,"[49.911473983782585, 16.74708228429582]"
32, , ,Cotkytle,Mezilesí,411234611,"[49.93308323600323, 16.678808708593937]"
1, , ,Cotkytle,Mezilesí,411240611,"[49.93318636194717, 16.678861634152636]"
19, , ,Cotkytle,Janoušov,16489547010,"[49.911916491858015, 16.74654744790167]"
13, , ,Cotkytle,Janoušov,377518611,"[49.91182060266174, 16.746731237944186]"
10, , ,Cotkytle,Herbortice,16129632010,"[49.935689062706885, 16.705287797853003]"
94, , ,Cotkytle,Cotkytle,377670611,"[49.93438322541475, 16.727300782141686]"
6, , ,Cotkytle,Mezilesí,411237611,"[49.933468291168964, 16.67923411994164]"
12, , ,Cotkytle,Herbortice,389988611,"[49.93565095960655, 16.703578149048393]"
31, , ,Cotkytle,Mezilesí,411254611,"[49.933597903316176, 16.67840569593563]"
30, , ,Cotkytle,Mezilesí,411248611,"[49.93262605920301, 16.67870024277913]"
33, , ,Cotkytle,Janoušov,377772611,"[49.91702744894188, 16.734268431350266]"
74, , ,Cotkytle,Cotkytle,377566611,"[49.937381568215876, 16.71879077814898]"
24, , ,Cotkytle,Cotkytle,377658611,"[49.93478287350919, 16.728770281269398]"
79, , ,Cotkytle,Cotkytle,377729611,"[49.93678763134223, 16.721114620786484]"
23, , ,Cotkytle,Cotkytle,377550611,"[49.934212420012685, 16.729358165288772]"
27, , ,Cotkytle,Cotkytle,377660611,"[49.93559523320464, 16.72548002826788]"
176, , ,Cotkytle,Cotkytle,377526611,"[49.93577680714726, 16.725223824758288]"
12, , ,Cotkytle,Cotkytle,377599611,"[49.93606029282648, 16.724633784084993]"
212, , ,Cotkytle,Cotkytle,377574611,"[49.923158749965104, 16.709463177175053]"
114, , ,Cotkytle,Cotkytle,377625611,"[49.93360714951241, 16.734369547842423]"
49, , ,Cotkytle,Cotkytle,377721611,"[49.93810767084514, 16.71628588697822]"
182, , ,Cotkytle,Cotkytle,377529611,"[49.93233681918057, 16.69540443600685]"
4, , ,Cotkytle,Janoušov,377732611,"[49.917936822794466, 16.733809942808445]"
128, , ,Cotkytle,Cotkytle,377716611,"[49.93549323301223, 16.725202403964456]"
139, , ,Cotkytle,Cotkytle,377506611,"[49.935854138991004, 16.72441677639379]"
120, , ,Cotkytle,Cotkytle,377737611,"[49.93434609676694, 16.72415550287468]"
213, , ,Cotkytle,Cotkytle,377654611,"[49.928328680330665, 16.73596410505008]"
2, , ,Cotkytle,Janoušov,377720611,"[49.91144546134935, 16.747106717921845]"
23, , ,Cotkytle,Herbortice,389987611,"[49.93625752443426, 16.708125698302744]"
158, , ,Cotkytle,Cotkytle,377515611,"[49.934982446566465, 16.727268314153957]"
26, , ,Cotkytle,Janoušov,377611611,"[49.91239279370308, 16.74207431724815]"
137, , ,Cotkytle,Cotkytle,377522611,"[49.93819565434636, 16.718021542881186]"
40, , ,Cotkytle,Herbortice,389993611,"[49.935362269925626, 16.702580441361473]"
27, , ,Cotkytle,Herbortice,389982611,"[49.936115639279095, 16.70845484118091]"
41, , ,Cotkytle,Herbortice,390012611,"[49.93844870835989, 16.71146055087252]"
45, , ,Cotkytle,Herbortice,390026611,"[49.94192570746447, 16.709653274953066]"
29, , ,Cotkytle,Mezilesí,411249611,"[49.93580866088782, 16.68287713579945]"
7, , ,Cotkytle,Herbortice,390014611,"[49.932563317030585, 16.697769463501192]"
51, , ,Cotkytle,Herbortice,390016611,"[49.935656363387416, 16.69351539784883]"
10, , ,Cotkytle,Cotkytle,377583611,"[49.93586184482342, 16.726460753402282]"
6, , ,Cotkytle,Cotkytle,377663611,"[49.93378487081699, 16.731304760137114]"
204, , ,Cotkytle,Cotkytle,377723611,"[49.93640802892137, 16.72606187322877]"
