cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
23, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.378718964092826, 14.992686661977828]"
40, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.378621913645, 14.991854035087]"
32, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37967703122903, 14.992779518828852]"
42, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37825376956586, 14.996690273232472]"
45, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37849538882202, 14.996177082329911]"
28, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37774166776594, 14.993602712081302]"
1, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37805900856641, 14.994767430836264]"
22, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37700874529082, 14.99230264255902]"
7, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37685843409185, 14.99294686672388]"
39, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.38122485112157, 14.99218693869634]"
41, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.38023363477741, 14.992560743979157]"
57, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.376478842780955, 14.998641910645098]"
15, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.377987378858734, 14.99445930384004]"
54, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37812698823189, 14.992721787396624]"
8, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37739700751021, 14.992676903009757]"
17, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37726255196972, 14.993398577530026]"
2, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37845010750926, 14.991769831911869]"
30, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37770798124396, 14.994365460263946]"
27, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.377638951932504, 14.993318761928984]"
10, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37816295228542, 14.991549842651827]"
35, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.380387292371886, 14.992401237376276]"
18, , ,29446,Ctiměřice,Ctiměřice,Ctiměřice,618055,"[50.37780424839416, 14.994767255304954]"
