cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
103,10,Ke Schodům,74717,Darkovice,Darkovice,Darkovice,624756,"[49.936870675769754, 18.220912737097294]"
174,25,Kučoviny,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93366443590804, 18.2281214863195]"
42,8,K Štípkám,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93471415192, 18.226093340672712]"
346,24,U Transformátoru,74717,Darkovice,Darkovice,Darkovice,624756,"[49.932630313902735, 18.218389409744116]"
282,31,Zahrádkářů,74717,Darkovice,Darkovice,Darkovice,624756,"[49.94255638839474, 18.22668428885661]"
186,36,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93557998995347, 18.222861289893626]"
73,16,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.934431632176576, 18.221252955708643]"
327,33,Zahrádkářů,74717,Darkovice,Darkovice,Darkovice,624756,"[49.94240534694892, 18.225446676264347]"
2,84,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93932911324911, 18.225705472842087]"
239,4,U Kluziště,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93760204569452, 18.2240731966683]"
64,34,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93549121810502, 18.222687254927024]"
214,61,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.937515774288386, 18.22435418133717]"
400,9,Na Rozhraní,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93962229939335, 18.22704042105899]"
13,65,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93789121411954, 18.22430509448501]"
45,11,Špilberk,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93748900727532, 18.225862133310585]"
326,20,K Štípkám,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93349933333442, 18.2251682687196]"
304,11,Vrchní,74717,Darkovice,Darkovice,Darkovice,624756,"[49.934905025551075, 18.222452856202978]"
395,19,Na Rozhraní,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93853216744706, 18.227717835776726]"
412,7,Na Záhumníku,74717,Darkovice,Darkovice,Darkovice,624756,"[49.932297523963165, 18.220453855861084]"
168,85,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.94129042777655, 18.227407692109235]"
127,7,Na Malé Straně,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93763139414686, 18.222409979597074]"
170,4,K Hůrce,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93705344568261, 18.21918448786626]"
55,60,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93575281354375, 18.22443483432188]"
18,13,Špilberk,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93728117922996, 18.22554843980635]"
84,1,U Transformátoru,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93424629944961, 18.22061711341902]"
110,43,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93590889159302, 18.22226032735693]"
283,5,Na Rozhraní,74717,Darkovice,Darkovice,Darkovice,624756,"[49.939804169787024, 18.226082903261272]"
120,8,Březová,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93724318078923, 18.221744405383305]"
405,13,Na Rozhraní,74717,Darkovice,Darkovice,Darkovice,624756,"[49.939193365719774, 18.227364544833392]"
307,86A,Dlouhá,74717,Darkovice,Darkovice,Darkovice,624756,"[49.939539531703645, 18.225829661264505]"
352, , ,74717,Darkovice,Darkovice,Darkovice,624756,"[49.92606714950249, 18.20891660252271]"
178,21,U Kluziště,74717,Darkovice,Darkovice,Darkovice,624756,"[49.93836968408178, 18.221185446532637]"
333,37,Zahrádkářů,74717,Darkovice,Darkovice,Darkovice,624756,"[49.941839017228965, 18.224893967860435]"
182,29,Kučoviny,74717,Darkovice,Darkovice,Darkovice,624756,"[49.9333843971797, 18.22854108255151]"
