cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
25, , ,Deštnice,Sádek,202061533,"[50.242881272418245, 13.59592543878771]"
50, , ,Deštnice,Deštnice,194488533,"[50.230532141243955, 13.609697003648144]"
6, , ,Deštnice,Sádek,202099533,"[50.24222174317736, 13.595237591522359]"
19, , ,Deštnice,Deštnice,194390533,"[50.2316471085169, 13.612543204473816]"
96, , ,Deštnice,Deštnice,194342533,"[50.23174684636165, 13.611301409934644]"
95, , ,Deštnice,Deštnice,194412533,"[50.21632057289776, 13.595581112535008]"
27, , ,Deštnice,Deštnice,194422533,"[50.23004892707929, 13.609796117672412]"
13, , ,Deštnice,Deštnice,194339533,"[50.23265220417226, 13.613437853877539]"
4, , ,Deštnice,Deštnice,194364533,"[50.228784349908395, 13.61544102864128]"
101, , ,Deštnice,Deštnice,194416533,"[50.22954526510153, 13.606510751200227]"
6, , ,Deštnice,Deštnice,194427533,"[50.23031409269365, 13.611450819640748]"
85, , ,Deštnice,Deštnice,194421533,"[50.2302768522193, 13.608013651408976]"
123, , ,Deštnice,Deštnice,194478533,"[50.2302776680557, 13.609960468596041]"
55, , ,Deštnice,Deštnice,235281533,"[50.2325691538224, 13.613915811272262]"
14, , ,Deštnice,Deštnice,194471533,"[50.2311932445418, 13.610428001403735]"
49, , ,Deštnice,Deštnice,194373533,"[50.230936639941774, 13.612892916768663]"
78, , ,Deštnice,Deštnice,194389533,"[50.23306323265591, 13.613148885999056]"
91, , ,Deštnice,Deštnice,194363533,"[50.21787718881684, 13.633345444382233]"
8, , ,Deštnice,Deštnice,194434533,"[50.229958158032005, 13.611975279617717]"
111, , ,Deštnice,Deštnice,194475533,"[50.216793398084526, 13.623577142127663]"
8, , ,Deštnice,Sádek,202084533,"[50.243211162765604, 13.595073503126345]"
45, , ,Deštnice,Deštnice,194442533,"[50.215822794372016, 13.59873856504801]"
88, , ,Deštnice,Deštnice,194407533,"[50.22927597039349, 13.608340485650833]"
43, , ,Deštnice,Sádek,202041533,"[50.2442831034534, 13.593954419808185]"
81, , ,Deštnice,Deštnice,194428533,"[50.231037507313516, 13.612822071061501]"
28, , ,Deštnice,Deštnice,194424533,"[50.229952071230095, 13.60941726746828]"
68, , ,Deštnice,Deštnice,194349533,"[50.232775816421245, 13.613100281644789]"
107, , ,Deštnice,Deštnice,194425533,"[50.228849501621944, 13.608424614162992]"
25, , ,Deštnice,Deštnice,194368533,"[50.23045990956633, 13.610406395031688]"
34, , ,Deštnice,Sádek,202043533,"[50.24172430754898, 13.593874148224891]"
62, , ,Deštnice,Deštnice,194473533,"[50.21774323532567, 13.623741921692178]"
118, , ,Deštnice,Deštnice,194374533,"[50.22987617225427, 13.607745909843034]"
12, , ,Deštnice,Sádek,202051533,"[50.242265447937854, 13.597495751701478]"
54, , ,Deštnice,Deštnice,194369533,"[50.23069038592989, 13.613065329096578]"
61, , ,Deštnice,Deštnice,194353533,"[50.23248889913814, 13.612029273067094]"
79, , ,Deštnice,Deštnice,194402533,"[50.2331487311456, 13.613302951657603]"
16, , ,Deštnice,Sádek,202079533,"[50.24292393963557, 13.595624956589548]"
116, , ,Deštnice,Deštnice,194399533,"[50.23119804840616, 13.61200435480032]"
35, , ,Deštnice,Sádek,202055533,"[50.24403028383799, 13.593934171752199]"
27, , ,Deštnice,Sádek,202060533,"[50.24276725021268, 13.59571944918736]"
44, , ,Deštnice,Sádek,202063533,"[50.239050882045674, 13.60401998605578]"
86, , ,Deštnice,Deštnice,194344533,"[50.22968589103532, 13.608455457229066]"
3, , ,Deštnice,Deštnice,194439533,"[50.230542152087125, 13.611310674066496]"
11, , ,Deštnice,Deštnice,194398533,"[50.232573013194106, 13.613144019840748]"
2, , ,Deštnice,Deštnice,194461533,"[50.23219258732556, 13.609388334515945]"
99, , ,Deštnice,Deštnice,194377533,"[50.22940814085609, 13.607685934660658]"
36, , ,Deštnice,Deštnice,194417533,"[50.231252403720205, 13.60902500133309]"
33, , ,Deštnice,Deštnice,194464533,"[50.23074134584199, 13.608605419935921]"
92, , ,Deštnice,Deštnice,194476533,"[50.22959976915865, 13.608261594520858]"
122, , ,Deštnice,Deštnice,194431533,"[50.232249145213004, 13.60686526294335]"
18, , ,Deštnice,Deštnice,194340533,"[50.231407654607175, 13.612634406748244]"
2, , ,Deštnice,Sádek,202078533,"[50.24261175527046, 13.597237478238576]"
43, , ,Deštnice,Deštnice,194347533,"[50.215741688663144, 13.599938566424711]"
42, , ,Deštnice,Sádek,202075533,"[50.241832516364475, 13.593509975536666]"
15, , ,Deštnice,Deštnice,194392533,"[50.23194257740114, 13.61307854519882]"
76, , ,Deštnice,Deštnice,194367533,"[50.23230678219672, 13.612962969032289]"
72, , ,Deštnice,Deštnice,194346533,"[50.23297416941038, 13.613046095842583]"
70, , ,Deštnice,Deštnice,194350533,"[50.23293107723953, 13.613374930030375]"
66, , ,Deštnice,Deštnice,194403533,"[50.231829459196305, 13.611639648504038]"
106, , ,Deštnice,Deštnice,194381533,"[50.23110801812127, 13.611929568869945]"
104, , ,Deštnice,Deštnice,194401533,"[50.22869326512628, 13.60874210535469]"
112, , ,Deštnice,Deštnice,194489533,"[50.231413646432735, 13.609954061910138]"
5, , ,Deštnice,Deštnice,194462533,"[50.232752370108294, 13.61083353689725]"
48, , ,Deštnice,Deštnice,194375533,"[50.231706432475285, 13.611575343879608]"
39, , ,Deštnice,Sádek,202076533,"[50.24381908050982, 13.59442589247926]"
84, , ,Deštnice,Deštnice,194386533,"[50.22982103198315, 13.608203639277784]"
17, , ,Deštnice,Deštnice,194469533,"[50.23092026266586, 13.610206731744567]"
9, , ,Deštnice,Deštnice,194345533,"[50.23230405283759, 13.612768469039478]"
40, , ,Deštnice,Sádek,202059533,"[50.239507050040494, 13.603186799290393]"
45, , ,Deštnice,Sádek,202069533,"[50.24166040987489, 13.598845944845364]"
108, , ,Deštnice,Deštnice,194382533,"[50.23261346539822, 13.611076455936592]"
93, , ,Deštnice,Deštnice,194415533,"[50.23129593622351, 13.60965102980523]"
3, , ,Deštnice,Sádek,202072533,"[50.24250204777126, 13.597480378109605]"
32, , ,Deštnice,Deštnice,194487533,"[50.230613299915554, 13.609047889662783]"
49, , ,Deštnice,Sádek,202077533,"[50.24395443673822, 13.59426887465505]"
77, , ,Deštnice,Deštnice,220542533,"[50.23026057346505, 13.609809832836762]"
16, , ,Deštnice,Deštnice,194441533,"[50.23107015348812, 13.609960846675984]"
52, , ,Deštnice,Deštnice,194354533,"[50.231764431775325, 13.613371357367992]"
30, , ,Deštnice,Sádek,202039533,"[50.24191660801275, 13.594830338195075]"
80, , ,Deštnice,Deštnice,194343533,"[50.22963052397199, 13.607355791008189]"
103, , ,Deštnice,Deštnice,194385533,"[50.2297015895044, 13.606136119112074]"
46, , ,Deštnice,Sádek,202081533,"[50.244184580233835, 13.592653360213133]"
59, , ,Deštnice,Deštnice,194362533,"[50.23299909793265, 13.61267739829235]"
114, , ,Deštnice,Deštnice,194336533,"[50.231985069025676, 13.61132597743242]"
31, , ,Deštnice,Sádek,202083533,"[50.24430650436343, 13.594189959811297]"
33, , ,Deštnice,Sádek,202040533,"[50.24191536164282, 13.594110010672035]"
29, , ,Deštnice,Sádek,202071533,"[50.24228912365657, 13.596447881653294]"
30, , ,Deštnice,Deštnice,194485533,"[50.23032252778865, 13.609149020474705]"
115, , ,Deštnice,Deštnice,194394533,"[50.229743133384765, 13.607977829069714]"
75, , ,Deštnice,Deštnice,194372533,"[50.22991847174444, 13.607996836188725]"
1, , ,Deštnice,Deštnice,194460533,"[50.23250054569635, 13.609462621960978]"
110, , ,Deštnice,Deštnice,194376533,"[50.231348089349396, 13.613086931111594]"
21, , ,Deštnice,Deštnice,194437533,"[50.23071819310218, 13.610391590025195]"
47, , ,Deštnice,Deštnice,194358533,"[50.23282316399959, 13.612532955921258]"
31, , ,Deštnice,Deštnice,194486533,"[50.2304571136468, 13.608624549740465]"
