cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
156, ,Sokolská,Dlouhá Loučka,Dlouhá Loučka,0,"[49.81597312669846, 17.174372917551196]"
24, ,Šumvaldská,Dlouhá Loučka,Dlouhá Loučka,0,"[49.81518848615495, 17.171505996464667]"
25, ,Sokolská,Dlouhá Loučka,Dlouhá Loučka,0,"[49.81825066639691, 17.187401723965436]"
409, ,Rýmařovská,Dlouhá Loučka,Dlouhá Loučka,421698805,"[49.820922337271874, 17.20023919862254]"
142, ,1. máje,Dlouhá Loučka,Dlouhá Loučka,410217805,"[49.81570579064574, 17.17754168953931]"
215, , ,Dlouhá Loučka,Dlouhá Loučka,62255853010,"[49.70612139768037, 16.64224902388846]"
570, ,Šumvaldská,Dlouhá Loučka,Dlouhá Loučka,62204102010,"[49.81528709030906, 17.17269642711054]"
418, ,Mlýnská,Dlouhá Loučka,Dlouhá Loučka,421709805,"[49.82309350467351, 17.200430100290642]"
453, ,Mlýnská,Dlouhá Loučka,Dlouhá Loučka,421776805,"[49.8233919222025, 17.20006418671446]"
216, , ,Dlouhá Loučka,Dlouhá Loučka,62425974010,"[49.7056872887259, 16.642927524010236]"
76, , ,Dlouhá Loučka,Plinkout,447273805,"[49.83770377618538, 17.167829871136735]"
41, , ,Dlouhá Loučka,Plinkout,447218805,"[49.83876949130338, 17.169495943677287]"
42, , ,Dlouhá Loučka,Křivá,60593517010,"[49.836958306595584, 17.19832433647171]"
245, ,Dvorská,Dlouhá Loučka,Dlouhá Loučka,410454805,"[49.817294785461925, 17.190577549454538]"
643, ,Polní,Dlouhá Loučka,Dlouhá Loučka,60732363010,"[49.81852384518163, 17.199574746711395]"
42, ,Sokolská,Dlouhá Loučka,Dlouhá Loučka,410304805,"[49.81636104270026, 17.17557861783255]"
641, ,Polní,Dlouhá Loučka,Dlouhá Loučka,59727601010,"[49.81813260836603, 17.199780012089285]"
209, , ,Dlouhá Loučka,Dlouhá Loučka,57089782010,"[49.69827853902251, 16.643986469278317]"
211, , ,Dlouhá Loučka,Dlouhá Loučka,57697697010,"[49.7087345586032, 16.640772973507932]"
210, , ,Dlouhá Loučka,Dlouhá Loučka,57590898010,"[49.70187577088462, 16.64007102838163]"
645, ,Polní,Dlouhá Loučka,Dlouhá Loučka,55399341010,"[49.81889971553215, 17.199472550369094]"
171, ,1. máje,Dlouhá Loučka,Dlouhá Loučka,410431805,"[49.8163447223117, 17.18196486654238]"
45, ,Sokolská,Dlouhá Loučka,Dlouhá Loučka,410390805,"[49.816197292339915, 17.173859914225886]"
41, ,Šumvaldská,Dlouhá Loučka,Dlouhá Loučka,727482805,"[49.81502193411185, 17.17269042883211]"
207, , ,Dlouhá Loučka,Dlouhá Loučka,49936343010,"[49.69936528775003, 16.636109773471297]"
617, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,45578135010,"[49.81956129046547, 17.186828615819383]"
92, , ,Dlouhá Loučka,Plinkout,42816098010,"[49.83793808140471, 17.169404641140765]"
626, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,30815735010,"[49.81992615278742, 17.186185436480343]"
633, ,1. máje,Dlouhá Loučka,Dlouhá Loučka,36838050010,"[49.81610344238207, 17.182979881393237]"
613, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,36314088010,"[49.819771667505854, 17.18742446132745]"
634, ,Uničovská,Dlouhá Loučka,Dlouhá Loučka,36401078010,"[49.81186516258537, 17.168249047164572]"
601, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,36378029010,"[49.81941843756232, 17.188107722464377]"
628, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,36148047010,"[49.819425205665866, 17.1864028094997]"
606, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,29348233010,"[49.82036217231538, 17.187612196780886]"
1, , ,Dlouhá Loučka,Dlouhá Loučka,29076082010,"[49.71747677070433, 16.638400711894107]"
615, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,28929520010,"[49.81938791500826, 17.187637609831803]"
604, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,27303438010,"[49.82001330618792, 17.187805969260424]"
205, , ,Dlouhá Loučka,Dlouhá Loučka,26976328010,"[49.69653604314087, 16.63302444908661]"
603, ,Sportovní,Dlouhá Loučka,Dlouhá Loučka,26138972010,"[49.819783401000876, 17.187883525570864]"
204, , ,Dlouhá Loučka,Dlouhá Loučka,26616487010,"[49.706708252331374, 16.638822434825016]"
600, ,Pionýrská,Dlouhá Loučka,Dlouhá Loučka,908275805,"[49.81784310781167, 17.18486061954809]"
203, , ,Dlouhá Loučka,Dlouhá Loučka,25384399010,"[49.697789329610586, 16.631547455848647]"
491, ,Zámecká,Dlouhá Loučka,Dlouhá Loučka,421690805,"[49.821047596212516, 17.198315913453364]"
402, ,9. května,Dlouhá Loučka,Dlouhá Loučka,421692805,"[49.819401833870636, 17.194813980084632]"
2, , ,Dlouhá Loučka,Dlouhá Loučka,421693805,"[49.83567408696565, 17.209992301083265]"
404, ,9. května,Dlouhá Loučka,Dlouhá Loučka,421694805,"[49.82068444240468, 17.198847012017872]"
406, ,9. května,Dlouhá Loučka,Dlouhá Loučka,421696805,"[49.82058160542069, 17.19921209354668]"
407, ,Rýmařovská,Dlouhá Loučka,Dlouhá Loučka,421697805,"[49.82089761127802, 17.20088100595363]"
342, ,Na Křivou,Dlouhá Loučka,Dlouhá Loučka,421699805,"[49.820971635632596, 17.198956162768074]"
410, ,Na Křivou,Dlouhá Loučka,Dlouhá Loučka,421700805,"[49.82099314900552, 17.199288022455825]"
507, ,U jeslí,Dlouhá Loučka,Dlouhá Loučka,532021805,"[49.820732610132595, 17.197778116870076]"
505, ,U jeslí,Dlouhá Loučka,Dlouhá Loučka,592260805,"[49.82087660696498, 17.19749045257406]"
512, ,U jeslí,Dlouhá Loučka,Dlouhá Loučka,586520805,"[49.82015818180738, 17.1972805155193]"
475, ,Úzká,Dlouhá Loučka,Dlouhá Loučka,421766805,"[49.82170093195489, 17.20030969701131]"
414, ,Úzká,Dlouhá Loučka,Dlouhá Loučka,421705805,"[49.821890627427635, 17.200587587306803]"
420, ,Zámecká,Dlouhá Loučka,Dlouhá Loučka,421711805,"[49.82063754554702, 17.19617275665128]"
509, ,U jeslí,Dlouhá Loučka,Dlouhá Loučka,15223373010,"[49.82048843017902, 17.198193026050227]"
237, ,Rýmařovská,Dlouhá Loučka,Dlouhá Loučka,410157805,"[49.820562968228245, 17.200457969453666]"
490, ,Valšův Důl,Dlouhá Loučka,Dlouhá Loučka,421684805,"[49.83318881749895, 17.210823752687826]"
