cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
25, , ,Dnešice,Dnešice,187678406,"[49.605475059114326, 13.26534623893115]"
250, , ,Dnešice,Dnešice,0,"[49.60273660562608, 13.269050479176286]"
61, , ,Dnešice,Černotín,186830406,"[49.6194282255579, 13.236633619474656]"
128, , ,Dnešice,Dnešice,187562406,"[49.60249645852119, 13.268423415946732]"
60, , ,Dnešice,Černotín,0,"[49.61882513213852, 13.239520742661107]"
286, , ,Dnešice,Dnešice,41534082010,"[49.60532018497731, 13.26471974265533]"
16, , ,Dnešice,Dnešice,38121060010,"[49.60323601277149, 13.27465930551851]"
17, , ,Dnešice,Dnešice,37981588010,"[49.60307889463382, 13.274360443937423]"
18, , ,Dnešice,Dnešice,38249267010,"[49.603193004400744, 13.274501491033769]"
284, , ,Dnešice,Dnešice,28829322010,"[49.60426764084188, 13.272596454630174]"
285, , ,Dnešice,Dnešice,26440321010,"[49.60118453896239, 13.268676960933634]"
36, , ,Dnešice,Černotín,186825406,"[49.62062916682082, 13.239457892343427]"
52, , ,Dnešice,Černotín,186826406,"[49.616435396725905, 13.236907933183298]"
56, , ,Dnešice,Černotín,186846406,"[49.617183224258476, 13.237655032878344]"
59, , ,Dnešice,Černotín,186835406,"[49.61590082928088, 13.23665642209482]"
40, , ,Dnešice,Černotín,186837406,"[49.61752568780205, 13.238078038512999]"
46, , ,Dnešice,Černotín,186838406,"[49.616526312044485, 13.236998425760016]"
31, , ,Dnešice,Černotín,186828406,"[49.61926545826906, 13.238100355795948]"
15, , ,Dnešice,Černotín,186827406,"[49.61955871817834, 13.238212978155941]"
2, , ,Dnešice,Černotín,186853406,"[49.618734973351174, 13.238253906110232]"
54, , ,Dnešice,Černotín,186885406,"[49.619733822124566, 13.235959189255583]"
34, , ,Dnešice,Černotín,186886406,"[49.61862765154028, 13.238181291949976]"
37, , ,Dnešice,Černotín,186882406,"[49.61980343356124, 13.238477112431395]"
6, , ,Dnešice,Černotín,186890406,"[49.618814890739614, 13.239327139962889]"
38, , ,Dnešice,Černotín,186839406,"[49.61870612839615, 13.24033300503087]"
24, , ,Dnešice,Černotín,186841406,"[49.617939944101764, 13.238218028627008]"
48, , ,Dnešice,Černotín,186869406,"[49.61606558838956, 13.236393408272676]"
29, , ,Dnešice,Černotín,186870406,"[49.61874108509229, 13.238952553229105]"
23, , ,Dnešice,Černotín,186871406,"[49.61716747634053, 13.238134808675326]"
21, , ,Dnešice,Černotín,186872406,"[49.61827896214448, 13.239061911611575]"
35, , ,Dnešice,Černotín,186873406,"[49.61828721396503, 13.238233856340324]"
45, , ,Dnešice,Černotín,186875406,"[49.61628294399911, 13.237112029631215]"
44, , ,Dnešice,Černotín,186877406,"[49.616334211640186, 13.23716990206864]"
41, , ,Dnešice,Černotín,186861406,"[49.61742655479841, 13.238269517125886]"
22, , ,Dnešice,Černotín,186862406,"[49.6193672264209, 13.239574489478331]"
39, , ,Dnešice,Černotín,186863406,"[49.61919359759664, 13.239475556376263]"
10, , ,Dnešice,Černotín,186864406,"[49.61984234763971, 13.239322035986833]"
47, , ,Dnešice,Černotín,186865406,"[49.61608402685504, 13.236851082364147]"
43, , ,Dnešice,Černotín,186849406,"[49.61649826789777, 13.237355094689645]"
4, , ,Dnešice,Černotín,186851406,"[49.6191923079286, 13.238187678065993]"
3, , ,Dnešice,Černotín,0,"[49.618975609582385, 13.238112945021]"
8, , ,Dnešice,Černotín,186854406,"[49.619513529152506, 13.239399848211471]"
51, , ,Dnešice,Černotín,186855406,"[49.61552215182936, 13.235597964049054]"
5, , ,Dnešice,Černotín,186856406,"[49.62024978258368, 13.239211616024253]"
53, , ,Dnešice,Černotín,186857406,"[49.61663910094337, 13.237125745653852]"
55, , ,Dnešice,Černotín,186858406,"[49.62022464972689, 13.23595502129531]"
4, , ,Dnešice,Černotín,186860406,"[49.617600852158205, 13.238648315244212]"
9, , ,Dnešice,Černotín,186866406,"[49.61964272309808, 13.239509296718763]"
12, , ,Dnešice,Černotín,186867406,"[49.62018624072218, 13.238666561912728]"
42, , ,Dnešice,Černotín,186868406,"[49.62012743143919, 13.238988529468962]"
32, , ,Dnešice,Černotín,186880406,"[49.61973167970981, 13.238032022267891]"
57, , ,Dnešice,Černotín,186842406,"[49.615365588352425, 13.236125056575066]"
11, , ,Dnešice,Černotín,186843406,"[49.62022994149471, 13.239468352414763]"
14, , ,Dnešice,Černotín,186879406,"[49.61970363241894, 13.238388714211593]"
18, , ,Dnešice,Černotín,186878406,"[49.61838489362558, 13.239484899779166]"
58, , ,Dnešice,Černotín,186844406,"[49.61495811833601, 13.237145554087858]"
6, , ,Dnešice,Černotín,16272853010,"[49.615227538363925, 13.234925648505174]"
62, , ,Dnešice,Černotín,289430406,"[49.614582141729485, 13.237024523207262]"
13, , ,Dnešice,Černotín,186881406,"[49.61995519004372, 13.238539213021236]"
1, , ,Dnešice,Černotín,186847406,"[49.61698838037689, 13.237981173194603]"
50, , ,Dnešice,Černotín,186850406,"[49.616356109209626, 13.236660675302554]"
7, , ,Dnešice,Černotín,282042406,"[49.61810400884086, 13.238221206470948]"
33, , ,Dnešice,Černotín,186859406,"[49.61974673016071, 13.237818427570792]"
20, , ,Dnešice,Černotín,186884406,"[49.61919091041696, 13.23872008498492]"
216, , ,Dnešice,Dnešice,187645406,"[49.6017499260791, 13.268406265295551]"
14, , ,Dnešice,Dnešice,187486406,"[49.603981542528565, 13.26244711238087]"
68, , ,Dnešice,Dnešice,187561406,"[49.604558755826574, 13.267233464029204]"
2, , ,Dnešice,Černotín,186840406,"[49.617781897361056, 13.238173101980086]"
220, , ,Dnešice,Dnešice,187636406,"[49.601499385065885, 13.26827643060079]"
3, , ,Dnešice,Černotín,186836406,"[49.61767388732808, 13.238184661724945]"
116, , ,Dnešice,Dnešice,187590406,"[49.60263777658533, 13.267103243585726]"
1, , ,Dnešice,Dnešice,187426406,"[49.60344029673514, 13.266941022461857]"
2, , ,Dnešice,Dnešice,187644406,"[49.603433536990984, 13.26669067774787]"
3, , ,Dnešice,Dnešice,187416406,"[49.6036756266557, 13.266381606979584]"
4, , ,Dnešice,Dnešice,187470406,"[49.603882819886124, 13.266178746103392]"
5, , ,Dnešice,Dnešice,187699406,"[49.604324682909876, 13.265318631740953]"
6, , ,Dnešice,Dnešice,187712406,"[49.60425232547094, 13.264957791858707]"
7, , ,Dnešice,Dnešice,187522406,"[49.60299119712686, 13.27302347982669]"
8, , ,Dnešice,Dnešice,187627406,"[49.60424248547096, 13.26349043298218]"
9, , ,Dnešice,Dnešice,187672406,"[49.60391572031692, 13.26349758260822]"
10, , ,Dnešice,Dnešice,187674406,"[49.60400469451245, 13.263112659918141]"
11, , ,Dnešice,Dnešice,187521406,"[49.60337045022916, 13.262590534873048]"
15, , ,Dnešice,Dnešice,187545406,"[49.6042844913845, 13.262360756148208]"
16, , ,Dnešice,Dnešice,187537406,"[49.6043419549308, 13.262207219696785]"
17, , ,Dnešice,Dnešice,187654406,"[49.604602417265376, 13.262173722943704]"
18, , ,Dnešice,Dnešice,187482406,"[49.60502613826262, 13.265055093706525]"
20, , ,Dnešice,Dnešice,187496406,"[49.60308408669429, 13.271308006467107]"
21, , ,Dnešice,Dnešice,187683406,"[49.604879948575295, 13.262220179297467]"
22, , ,Dnešice,Dnešice,187698406,"[49.60500841488513, 13.262413806065735]"
23, , ,Dnešice,Dnešice,187603406,"[49.60245008924036, 13.272157366397744]"
24, , ,Dnešice,Dnešice,187548406,"[49.604843497408815, 13.263040621502078]"
26, , ,Dnešice,Dnešice,187629406,"[49.606497651500284, 13.266037537872759]"
27, , ,Dnešice,Dnešice,187551406,"[49.605078487654396, 13.266036536934356]"
28, , ,Dnešice,Dnešice,187553406,"[49.60534385682376, 13.265595982486108]"
29, , ,Dnešice,Dnešice,187483406,"[49.60477325181628, 13.26489082764069]"
30, , ,Dnešice,Dnešice,187487406,"[49.604596599620024, 13.265856326702444]"
31, , ,Dnešice,Dnešice,187466406,"[49.60491987594045, 13.266087967179407]"
32, , ,Dnešice,Dnešice,187633406,"[49.60466557364509, 13.266091995020808]"
33, , ,Dnešice,Dnešice,187456406,"[49.60442632007202, 13.266064477362255]"
34, , ,Dnešice,Dnešice,187554406,"[49.60433057514983, 13.266199048787419]"
35, , ,Dnešice,Dnešice,187552406,"[49.60418357707014, 13.266275730677883]"
36, , ,Dnešice,Dnešice,187406406,"[49.60409055807536, 13.2664376513726]"
37, , ,Dnešice,Dnešice,187556406,"[49.604052171666865, 13.266782634505027]"
38, , ,Dnešice,Dnešice,187495406,"[49.604601179861604, 13.26654109940423]"
39, , ,Dnešice,Dnešice,187681406,"[49.60421038937328, 13.268005015527242]"
41, , ,Dnešice,Dnešice,187724406,"[49.604807581403634, 13.261859339976965]"
42, , ,Dnešice,Dnešice,187497406,"[49.6043920240581, 13.266450488968966]"
43, , ,Dnešice,Dnešice,187659406,"[49.60384977579958, 13.266942370863843]"
44, , ,Dnešice,Dnešice,187612406,"[49.603972948488185, 13.266535390373527]"
45, , ,Dnešice,Dnešice,187557406,"[49.604069181745544, 13.267044560346944]"
46, , ,Dnešice,Dnešice,187451406,"[49.60831216549336, 13.267541007317181]"
47, , ,Dnešice,Dnešice,187473406,"[49.608587565053625, 13.267839966590635]"
48, , ,Dnešice,Dnešice,187434406,"[49.60543820741929, 13.260520673170118]"
49, , ,Dnešice,Dnešice,187684406,"[49.60479812276527, 13.266326657363187]"
50, , ,Dnešice,Dnešice,187676406,"[49.608946330030754, 13.268245240362116]"
51, , ,Dnešice,Dnešice,187558406,"[49.60394169042644, 13.26813840116043]"
52, , ,Dnešice,Dnešice,187531406,"[49.6037180815024, 13.268359123100549]"
53, , ,Dnešice,Dnešice,187734406,"[49.604490776450454, 13.262969919134287]"
54, , ,Dnešice,Dnešice,187559406,"[49.60368620914864, 13.26283792072992]"
55, , ,Dnešice,Dnešice,187519406,"[49.60351739702888, 13.262695813068554]"
56, , ,Dnešice,Dnešice,187421406,"[49.60317163906133, 13.262147583233117]"
58, , ,Dnešice,Dnešice,187454406,"[49.60315118491934, 13.261942461340867]"
59, , ,Dnešice,Dnešice,187704406,"[49.60380910199282, 13.265804233118407]"
61, , ,Dnešice,Dnešice,187449406,"[49.610040569026125, 13.268910920010782]"
62, , ,Dnešice,Dnešice,187662406,"[49.607002274308066, 13.265624487090752]"
63, , ,Dnešice,Dnešice,187477406,"[49.60398548855433, 13.26574860814517]"
66, , ,Dnešice,Dnešice,187560406,"[49.604005740170386, 13.26175470921661]"
67, , ,Dnešice,Dnešice,187448406,"[49.60488416174255, 13.266642282392768]"
69, , ,Dnešice,Dnešice,187566406,"[49.6044341672765, 13.267238369445506]"
70, , ,Dnešice,Dnešice,187431406,"[49.604659790609034, 13.2671291392426]"
71, , ,Dnešice,Dnešice,187478406,"[49.60475826266345, 13.267021919499761]"
72, , ,Dnešice,Dnešice,187423406,"[49.60360047026442, 13.268456856697469]"
73, , ,Dnešice,Dnešice,187524406,"[49.603778467622796, 13.262942113403076]"
74, , ,Dnešice,Dnešice,187464406,"[49.60374852184727, 13.267204209386195]"
75, , ,Dnešice,Dnešice,187427406,"[49.602599623257916, 13.272653954678834]"
77, , ,Dnešice,Dnešice,187433406,"[49.60431229810991, 13.26784100028852]"
78, , ,Dnešice,Dnešice,187657406,"[49.60446202310372, 13.26779167357719]"
80, , ,Dnešice,Dnešice,187498406,"[49.60328928950825, 13.268894189120221]"
81, , ,Dnešice,Dnešice,187518406,"[49.60324973569368, 13.266398132956915]"
82, , ,Dnešice,Dnešice,187546406,"[49.60406547592515, 13.26572973059313]"
84, , ,Dnešice,Dnešice,187516406,"[49.60309592204064, 13.26640643800311]"
85, , ,Dnešice,Dnešice,187506406,"[49.60338776323051, 13.2687869759968]"
86, , ,Dnešice,Dnešice,187710406,"[49.603151829057595, 13.269066586120772]"
87, , ,Dnešice,Dnešice,187471406,"[49.60362812929338, 13.26745656608109]"
88, , ,Dnešice,Dnešice,187488406,"[49.60300361189344, 13.266484208221538]"
89, , ,Dnešice,Dnešice,187595406,"[49.60339546236059, 13.268225295426177]"
90, , ,Dnešice,Dnešice,187425406,"[49.60366962851065, 13.265865142857866]"
91, , ,Dnešice,Dnešice,187609406,"[49.60370521209708, 13.260747899918405]"
92, , ,Dnešice,Dnešice,187610406,"[49.60290459138495, 13.272428066550805]"
93, , ,Dnešice,Dnešice,187539406,"[49.602812176105424, 13.266571373632178]"
94, , ,Dnešice,Dnešice,187623406,"[49.60973228927814, 13.26882968164673]"
95, , ,Dnešice,Dnešice,187442406,"[49.6043238513161, 13.260839781348924]"
96, , ,Dnešice,Dnešice,187435406,"[49.60500070248578, 13.260511999268477]"
97, , ,Dnešice,Dnešice,187634406,"[49.60887698963931, 13.267001764428285]"
98, , ,Dnešice,Dnešice,187680406,"[49.60353439874935, 13.267702630155188]"
99, , ,Dnešice,Dnešice,187532406,"[49.60388550186172, 13.261461166777298]"
100, , ,Dnešice,Dnešice,187436406,"[49.603143233096965, 13.26815884004213]"
101, , ,Dnešice,Dnešice,187523406,"[49.602985867299026, 13.268587872173903]"
102, , ,Dnešice,Dnešice,187410406,"[49.60306636770205, 13.266931285086354]"
103, , ,Dnešice,Dnešice,187415406,"[49.6032629743067, 13.267808665599983]"
104, , ,Dnešice,Dnešice,187632406,"[49.60276770869516, 13.268863287179363]"
105, , ,Dnešice,Dnešice,187418406,"[49.602740987189975, 13.269051544891832]"
106, , ,Dnešice,Dnešice,187620406,"[49.604167969465294, 13.260918577839785]"
107, , ,Dnešice,Dnešice,187626406,"[49.604038749748355, 13.260991078697701]"
108, , ,Dnešice,Dnešice,187407406,"[49.6030433392027, 13.268434347164314]"
109, , ,Dnešice,Dnešice,187476406,"[49.60221270157444, 13.270687773838732]"
110, , ,Dnešice,Dnešice,187689406,"[49.60290173256209, 13.268747687539262]"
111, , ,Dnešice,Dnešice,187443406,"[49.60270033867326, 13.27001288836965]"
112, , ,Dnešice,Dnešice,187591406,"[49.602588766402064, 13.27044510257619]"
113, , ,Dnešice,Dnešice,187702406,"[49.60246427894082, 13.27065642068413]"
114, , ,Dnešice,Dnešice,187469406,"[49.60235069150776, 13.27097713626286]"
115, , ,Dnešice,Dnešice,187439406,"[49.603590785923664, 13.266625576033128]"
117, , ,Dnešice,Dnešice,187484406,"[49.602265840971654, 13.271221090665458]"
118, , ,Dnešice,Dnešice,187417406,"[49.603059989616916, 13.269788077857736]"
119, , ,Dnešice,Dnešice,187592406,"[49.603472905511644, 13.269732653145404]"
120, , ,Dnešice,Dnešice,187447406,"[49.60281392340042, 13.269692168234185]"
121, , ,Dnešice,Dnešice,187594406,"[49.60311443464931, 13.270517046495009]"
122, , ,Dnešice,Dnešice,187520406,"[49.60243294079726, 13.268242453859278]"
123, , ,Dnešice,Dnešice,187428406,"[49.60227870247114, 13.26742507152267]"
124, , ,Dnešice,Dnešice,187535406,"[49.60260873326194, 13.26790705208119]"
125, , ,Dnešice,Dnešice,187543406,"[49.602451710512305, 13.26724428437166]"
126, , ,Dnešice,Dnešice,187671406,"[49.60295812957987, 13.267670648618079]"
127, , ,Dnešice,Dnešice,187500406,"[49.60260613275884, 13.26961522233888]"
129, , ,Dnešice,Dnešice,187617406,"[49.60358559782312, 13.27004198557902]"
130, , ,Dnešice,Dnešice,187596406,"[49.601854174290416, 13.267455262363777]"
131, , ,Dnešice,Dnešice,187621406,"[49.60244603617558, 13.27001689537618]"
132, , ,Dnešice,Dnešice,187492406,"[49.6026114022922, 13.270215821582152]"
133, , ,Dnešice,Dnešice,187411406,"[49.60253840003988, 13.267657716350245]"
134, , ,Dnešice,Dnešice,187564406,"[49.60240023141333, 13.267914259683653]"
135, , ,Dnešice,Dnešice,187550406,"[49.60275104740436, 13.267509565031219]"
136, , ,Dnešice,Dnešice,187499406,"[49.6037710541961, 13.269438366687808]"
137, , ,Dnešice,Dnešice,187501406,"[49.60250694683402, 13.269806577739038]"
138, , ,Dnešice,Dnešice,187593406,"[49.60312942316592, 13.27066747180974]"
139, , ,Dnešice,Dnešice,187540406,"[49.60366220947299, 13.269897942077163]"
140, , ,Dnešice,Dnešice,187409406,"[49.603790072195146, 13.269811790282727]"
141, , ,Dnešice,Dnešice,187624406,"[49.60616477904492, 13.265892139930953]"
142, , ,Dnešice,Dnešice,187440406,"[49.60389619108505, 13.26932486306733]"
143, , ,Dnešice,Dnešice,187457406,"[49.603904959195624, 13.269686709130424]"
144, , ,Dnešice,Dnešice,187605406,"[49.60226992727023, 13.26706323804367]"
145, , ,Dnešice,Dnešice,187599406,"[49.6080035093068, 13.266452014906006]"
146, , ,Dnešice,Dnešice,187465406,"[49.6059446635607, 13.265874103007997]"
147, , ,Dnešice,Dnešice,187538406,"[49.60261795879938, 13.266813155404147]"
149, , ,Dnešice,Dnešice,187510406,"[49.603627989645204, 13.2720195016476]"
151, , ,Dnešice,Dnešice,187429406,"[49.604043946215505, 13.271081585932325]"
153, , ,Dnešice,Dnešice,187475406,"[49.60364062961621, 13.271050755708496]"
154, , ,Dnešice,Dnešice,187432406,"[49.60332061407311, 13.271308199064688]"
155, , ,Dnešice,Dnešice,187489406,"[49.60928842928578, 13.267296615626975]"
156, , ,Dnešice,Dnešice,187582406,"[49.60558441996605, 13.265819151620958]"
157, , ,Dnešice,Dnešice,187577406,"[49.604019846058094, 13.26956162738479]"
158, , ,Dnešice,Dnešice,187581406,"[49.6044446616016, 13.270721118833322]"
159, , ,Dnešice,Dnešice,187494406,"[49.60986038265569, 13.268015541014643]"
160, , ,Dnešice,Dnešice,187445406,"[49.609554941972206, 13.267597676901064]"
161, , ,Dnešice,Dnešice,187579406,"[49.604473024687096, 13.27173619691665]"
162, , ,Dnešice,Dnešice,187468406,"[49.60427814704004, 13.271880142269207]"
163, , ,Dnešice,Dnešice,187584406,"[49.609073822044756, 13.26715128687662]"
164, , ,Dnešice,Dnešice,187587406,"[49.60978590377815, 13.267907130944899]"
165, , ,Dnešice,Dnešice,187485406,"[49.60462040003289, 13.270567686178456]"
166, , ,Dnešice,Dnešice,187408406,"[49.603466127586394, 13.27158179828852]"
167, , ,Dnešice,Dnešice,187462406,"[49.60839297509716, 13.267073998526717]"
168, , ,Dnešice,Dnešice,187525406,"[49.60856794338336, 13.267186685264637]"
169, , ,Dnešice,Dnešice,187458406,"[49.602933184288844, 13.270797742442383]"
170, , ,Dnešice,Dnešice,187414406,"[49.60937097305262, 13.267851067717684]"
171, , ,Dnešice,Dnešice,187576406,"[49.60250289254337, 13.271683035829803]"
172, , ,Dnešice,Dnešice,187555406,"[49.60153961856213, 13.267767417824347]"
173, , ,Dnešice,Dnešice,187412406,"[49.60733029513507, 13.265994995807802]"
174, , ,Dnešice,Dnešice,187504406,"[49.60224307684976, 13.271814300048467]"
175, , ,Dnešice,Dnešice,187422406,"[49.60560363556024, 13.260537601353693]"
177, , ,Dnešice,Dnešice,187570406,"[49.60895615564229, 13.26743102465559]"
178, , ,Dnešice,Dnešice,187575406,"[49.60299391073794, 13.271133327806544]"
179, , ,Dnešice,Dnešice,187583406,"[49.60925069347666, 13.267739469173536]"
181, , ,Dnešice,Dnešice,187573406,"[49.60423385861807, 13.269427155135809]"
182, , ,Dnešice,Dnešice,187452406,"[49.60378218072451, 13.270919388232974]"
183, , ,Dnešice,Dnešice,187572406,"[49.604194384938936, 13.270948120887374]"
184, , ,Dnešice,Dnešice,187619406,"[49.60232202735008, 13.26877248983512]"
185, , ,Dnešice,Dnešice,187622406,"[49.60473135117891, 13.2719551998048]"
186, , ,Dnešice,Dnešice,187490406,"[49.604328410908465, 13.270832523567481]"
187, , ,Dnešice,Dnešice,187608406,"[49.60492214156241, 13.27177022668354]"
188, , ,Dnešice,Dnešice,187507406,"[49.60319268734785, 13.271576314880532]"
189, , ,Dnešice,Dnešice,187509406,"[49.603252112469306, 13.271716258898378]"
190, , ,Dnešice,Dnešice,187602406,"[49.60352055323851, 13.261085433442368]"
191, , ,Dnešice,Dnešice,187568406,"[49.60204230727551, 13.269160397479647]"
192, , ,Dnešice,Dnešice,187641406,"[49.60207720564408, 13.269054190665145]"
193, , ,Dnešice,Dnešice,187675406,"[49.60434358390094, 13.270437033416028]"
194, , ,Dnešice,Dnešice,187607406,"[49.60335999910186, 13.272068716307096]"
197, , ,Dnešice,Dnešice,187542406,"[49.60772467115398, 13.266209869497596]"
198, , ,Dnešice,Dnešice,187614406,"[49.60969117025848, 13.269147349411831]"
199, , ,Dnešice,Dnešice,187731406,"[49.604546081900764, 13.260605346928445]"
200, , ,Dnešice,Dnešice,187441406,"[49.60535852410273, 13.2668382744064]"
201, , ,Dnešice,Dnešice,187450406,"[49.602036900952605, 13.271023162846742]"
202, , ,Dnešice,Dnešice,187631406,"[49.60876477554835, 13.26733620752056]"
203, , ,Dnešice,Dnešice,187461406,"[49.601822421681916, 13.270513911786313]"
204, , ,Dnešice,Dnešice,187503406,"[49.60161865797349, 13.270659950601816]"
205, , ,Dnešice,Dnešice,187474406,"[49.61018401457895, 13.269255031814454]"
206, , ,Dnešice,Dnešice,187630406,"[49.60203317414395, 13.267790923766109]"
207, , ,Dnešice,Dnešice,187713406,"[49.60402772231045, 13.26389105164853]"
208, , ,Dnešice,Dnešice,187480406,"[49.60999447134666, 13.269817700537052]"
209, , ,Dnešice,Dnešice,187446406,"[49.60196332140498, 13.27028472827002]"
210, , ,Dnešice,Dnešice,187528406,"[49.60658554261805, 13.267010622437502]"
211, , ,Dnešice,Dnešice,187529406,"[49.60648985241293, 13.266963216893554]"
212, , ,Dnešice,Dnešice,187643406,"[49.60590742162687, 13.266960691212104]"
213, , ,Dnešice,Dnešice,187526406,"[49.60568321720316, 13.266901622593007]"
214, , ,Dnešice,Dnešice,187640406,"[49.60178154037754, 13.2680042549554]"
215, , ,Dnešice,Dnešice,187638406,"[49.60180536195816, 13.268334541943068]"
217, , ,Dnešice,Dnešice,187530406,"[49.6018891246191, 13.271365934983688]"
218, , ,Dnešice,Dnešice,187419406,"[49.60502089322342, 13.264272489717957]"
219, , ,Dnešice,Dnešice,187637406,"[49.60158104205344, 13.268639397292857]"
221, , ,Dnešice,Dnešice,187650406,"[49.60151590841926, 13.27127201977671]"
222, , ,Dnešice,Dnešice,187651406,"[49.60141483212232, 13.27098795031216]"
223, , ,Dnešice,Dnešice,187670406,"[49.601632887229236, 13.268977067378497]"
224, , ,Dnešice,Dnešice,187653406,"[49.60357375803278, 13.27266213789573]"
225, , ,Dnešice,Dnešice,187669406,"[49.6040803324637, 13.270625107160168]"
226, , ,Dnešice,Dnešice,187660406,"[49.604849041943744, 13.267476396978203]"
227, , ,Dnešice,Dnešice,187664406,"[49.6051272058976, 13.271819834167651]"
228, , ,Dnešice,Dnešice,187663406,"[49.607888290450056, 13.267669032580145]"
229, , ,Dnešice,Dnešice,187666406,"[49.604592557569475, 13.27001437855873]"
230, , ,Dnešice,Dnešice,187661406,"[49.60463639464578, 13.267624554910585]"
231, , ,Dnešice,Dnešice,187658406,"[49.602070322659486, 13.27318467745926]"
232, , ,Dnešice,Dnešice,187723406,"[49.60566821129931, 13.264469627365742]"
233, , ,Dnešice,Dnešice,187655406,"[49.601911319001346, 13.272410405695128]"
234, , ,Dnešice,Dnešice,187589406,"[49.602174314933244, 13.27295021006827]"
235, , ,Dnešice,Dnešice,187667406,"[49.602301203174065, 13.273676076167655]"
236, , ,Dnešice,Dnešice,187682406,"[49.60161698401677, 13.27155609042821]"
237, , ,Dnešice,Dnešice,187673406,"[49.61035074481216, 13.26946766400766]"
238, , ,Dnešice,Dnešice,187701406,"[49.607134984843924, 13.265313208810186]"
239, , ,Dnešice,Dnešice,187690406,"[49.60220473485747, 13.273894771832667]"
240, , ,Dnešice,Dnešice,187696406,"[49.60524391503497, 13.266053483816549]"
241, , ,Dnešice,Dnešice,187692406,"[49.60208633718365, 13.274258598561383]"
242, , ,Dnešice,Dnešice,187695406,"[49.60165539436851, 13.273128577557666]"
243, , ,Dnešice,Dnešice,187693406,"[49.601859545792756, 13.273808223527931]"
244, , ,Dnešice,Dnešice,187703406,"[49.605628091182105, 13.261147715025198]"
1, , ,Dnešice,Dnešice,187613406,"[49.61109481815869, 13.247467481162628]"
57, , ,Dnešice,Dnešice,187517406,"[49.60327556087512, 13.262095056017982]"
5, , ,Dnešice,Dnešice,267711406,"[49.602898684876656, 13.273647140458323]"
6, , ,Dnešice,Dnešice,187514406,"[49.60271840539316, 13.27311580933848]"
7, , ,Dnešice,Dnešice,187536406,"[49.6038764722171, 13.262009178880662]"
8, , ,Dnešice,Dnešice,187565406,"[49.60379261785823, 13.268285549347047]"
9, , ,Dnešice,Dnešice,187578406,"[49.604181032845915, 13.272001026479778]"
64, , ,Dnešice,Dnešice,187511406,"[49.60378839868974, 13.261582070788169]"
12, , ,Dnešice,Dnešice,187649406,"[49.60303387614292, 13.274091133454375]"
13, , ,Dnešice,Dnešice,187647406,"[49.602970367323316, 13.27391016188754]"
14, , ,Dnešice,Dnešice,187648406,"[49.60302512192409, 13.27372929300021]"
245, , ,Dnešice,Dnešice,187679406,"[49.60175049891308, 13.272896208153165]"
246, , ,Dnešice,Dnešice,187586406,"[49.602774843398954, 13.27203877929687]"
247, , ,Dnešice,Dnešice,187697406,"[49.601388247505916, 13.27272971621593]"
256, , ,Dnešice,Dnešice,187709406,"[49.605614485049365, 13.263474498465015]"
261, , ,Dnešice,Dnešice,187668406,"[49.60235530927783, 13.27339738923171]"
