cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
44, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.712985228125476, 14.16735301104498]"
25, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71274343135277, 14.16898202506854]"
17, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.712345504110566, 14.16062480725528]"
33, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71351914136655, 14.16689981117233]"
17, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.71064156646248, 14.183696894929804]"
140, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.7145383419111, 14.190425336043859]"
16, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71248172677525, 14.161320343831884]"
8, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.70500331383617, 14.191106266697409]"
34, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71349892209641, 14.16667909180852]"
26, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.710730025963514, 14.178708909645557]"
95, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.71442380641379, 14.193577459642905]"
3, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.70451063832434, 14.195412783414671]"
7, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.70478903191688, 14.191779474970446]"
10, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.70592831091468, 14.188563728235977]"
4, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.70381897033884, 14.192494176143324]"
5, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.70499112293339, 14.190600034936685]"
27, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71249093778447, 14.159456568931398]"
5, , ,40502,Dobkovice,Poustka,Poustka,626953,"[50.71189827113148, 14.172008842754073]"
22, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.7127125634524, 14.169236536043023]"
21, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71236496149261, 14.162227108652548]"
19, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.71065699050866, 14.18356479430029]"
6, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.705206143416056, 14.19025617510333]"
11, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.7134641904125, 14.193298031198324]"
71, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.7110651688485, 14.194126102856622]"
32, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.712726360681714, 14.168846116961076]"
20, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71318163447777, 14.166691379555944]"
31, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71243859792873, 14.17007952019442]"
30, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.712666526898694, 14.168706122811642]"
23, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71278714390384, 14.170334278728555]"
19, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71223388652994, 14.160961761777518]"
24, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71270699734056, 14.169477563072537]"
94, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.71423482331883, 14.19369969135314]"
138, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.705732492420026, 14.187987819959515]"
1, , ,40703,Dobkovice,Dobkovice,Dobkovice,626937,"[50.70420386424643, 14.19558937606349]"
29, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.712712672213726, 14.169605849848416]"
43, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71212007507208, 14.163112435586585]"
18, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.71246150715876, 14.160263854760665]"
35, , ,40502,Dobkovice,Prosetín,Prosetín,626953,"[50.713195392446686, 14.16622660768747]"
