cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
14, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.07901944459442, 15.487231225283775]"
7, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.0773474055793, 15.492271599123717]"
3, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.07842724496614, 15.487884011150864]"
4, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.078263383435726, 15.488433317099847]"
13, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.077883622515785, 15.488828204913139]"
1, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.07867593115584, 15.487388725589666]"
9, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.079165725740566, 15.488944273076342]"
5, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.07798778885146, 15.48920644451853]"
11, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.078990950240616, 15.487527450103805]"
20, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.08008649437651, 15.485651202042988]"
18, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.077447025774255, 15.491052070582036]"
17, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.078556868621305, 15.487637241052273]"
10, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.07866559959877, 15.488369780968398]"
12, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.077277379232314, 15.49169470402219]"
19, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.076825591433455, 15.489917472303734]"
15, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.0753901880584, 15.491466047249352]"
16, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.078271440984565, 15.490126868384662]"
8, , ,38001,Dobrohošť,Dobrohošť,Dobrohošť,604381,"[49.0778735994132, 15.491201217307426]"
