cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
17, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.68066990568238, 13.321456635840896]"
12, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.68150728678786, 13.32238108503594]"
8, ,Pobřežní,33441,Dobřany,Dobřany,Dobřany,627615,"[49.655702036128844, 13.288806789886797]"
122, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.67847225215974, 13.345395079053366]"
62, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.68315778174056, 13.324628287739978]"
61, , ,33441,Dobřany,Vodní Újezd,Vodní Újezd,627623,"[49.658641687521964, 13.258175080361465]"
1, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.68315143786135, 13.324012982990268]"
134, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.676353816796365, 13.343930067789877]"
972, ,Plzeňská,33441,Dobřany,Dobřany,Dobřany,627615,"[49.65936328805602, 13.301022748704948]"
23, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.680386546738774, 13.321901754367065]"
17, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.675700153337544, 13.347531266718383]"
529, ,Havlíčkova,33441,Dobřany,Dobřany,Dobřany,627615,"[49.65166821653032, 13.296420326898264]"
773, ,Stromořadí,33441,Dobřany,Dobřany,Dobřany,627615,"[49.65204149005899, 13.289843104857106]"
36, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.67622670310066, 13.35138809009889]"
65, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.67688604549474, 13.347014738705747]"
23, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.676006256724, 13.347683689045105]"
595, ,Smetanova,33441,Dobřany,Dobřany,Dobřany,627615,"[49.649077745239055, 13.288577776953092]"
259, ,Komenského,33441,Dobřany,Dobřany,Dobřany,627615,"[49.661201639390946, 13.284571603581712]"
43, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.681214142050564, 13.323094840585984]"
990, ,Dobré Štěstí,33441,Dobřany,Dobřany,Dobřany,627615,"[49.67241111269527, 13.301650595282466]"
74, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.67807733011643, 13.3402036890117]"
137, , ,32100,Dobřany,Šlovice,Šlovice,762831,"[49.68053226223045, 13.322638438795492]"
1018, ,Dragounů,33441,Dobřany,Dobřany,Dobřany,627615,"[49.65147965780088, 13.299708829842748]"
13, , ,51801,Dobřany,Dobřany,Dobřany,627631,"[50.32023405676704, 16.277429288438004]"
