cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
189, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.148237213930855, 15.643452806939054]"
176, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.142086272329095, 15.638978806195604]"
172, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.142901767700536, 15.639787776605118]"
17, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.15363082371294, 15.643390652593428]"
222, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.147069549888755, 15.642784030718396]"
38, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14876619775451, 15.642079075971301]"
196, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.15098943819192, 15.643944485661766]"
173, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14265782928654, 15.63943990526006]"
121, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.147085381111225, 15.641967719425091]"
168, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14793070122005, 15.633444389259477]"
191, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.158963250445694, 15.655324166252026]"
170, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.151774976431966, 15.646111843301652]"
215, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14770434079169, 15.642678539320103]"
140, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.158961146712365, 15.65330438350589]"
95, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14222931091612, 15.635216860457199]"
83, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14845704149725, 15.641134123861631]"
182, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14854406017733, 15.643689424122117]"
221, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14851111190178, 15.642921177669974]"
211, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.148296899922826, 15.642961531809885]"
212, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14666284687011, 15.638604470533096]"
216, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.142642804331075, 15.635824917490018]"
214, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14807864810406, 15.642833522739094]"
195, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14788546397752, 15.631879624778168]"
151, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.158180004385656, 15.655325505321658]"
190, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14839427380659, 15.643568386516414]"
210, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.142351166109435, 15.63743002900887]"
106, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.147644565205205, 15.641144160194782]"
146, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.158452810779785, 15.654260218904716]"
18, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14445190758432, 15.641485950487999]"
62, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14419579784215, 15.640844651949156]"
29, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.1490343349604, 15.644167592230481]"
165, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.15040601444235, 15.644399555154694]"
33, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14885915206549, 15.644026248697298]"
114, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.145087092908675, 15.641131775721302]"
71, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14365787738535, 15.641418801802526]"
155, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.158113258155375, 15.653928574414282]"
183, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.15115793396037, 15.64670768462693]"
153, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.15815202011135, 15.654624686587583]"
204, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.139697054714304, 15.633556274532358]"
87, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.149301767350664, 15.642025244258717]"
203, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14072845842505, 15.635664387143992]"
219, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14629532624395, 15.64156284259699]"
98, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.142611866170014, 15.63655241230071]"
74, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.147745787010116, 15.636306184445433]"
228, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14677416221742, 15.64317791478309]"
26, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.15177322660783, 15.645815621136807]"
154, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.1581327995529, 15.654322413322568]"
10, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14750870307866, 15.641109015998435]"
194, , ,50325,Dobřenice,Dobřenice,Dobřenice,627747,"[50.14957698333459, 15.64338040534361]"
