cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
89, ,Roudnická,Dobříň,Dobříň,158135506,"[50.43621256684234, 14.292560928684136]"
89, ,Labská,Dobříň,Dobříň,158135506,"[50.436265615603695, 14.292535852391758]"
214, ,K Přívozu,Dobříň,Dobříň,61524873010,"[50.441046685301885, 14.29383634483282]"
1, ,Pod Kanálem,Dobříň,Dobříň,158127506,"[50.43688556766593, 14.29435938856083]"
212, ,K Přívozu,Dobříň,Dobříň,54139309010,"[50.44202769298098, 14.29359288321011]"
124, ,Račická,Dobříň,Dobříň,158107506,"[50.43818946846537, 14.29462924965512]"
56, ,Račická,Dobříň,Dobříň,158021506,"[50.43813502200636, 14.294527422283053]"
33, , ,Dobříň,Dobříň,39565047010,"[50.43579571551745, 14.30680543488531]"
210, ,K Přívozu,Dobříň,Dobříň,25371666010,"[50.444147047713535, 14.295376399262551]"
3, ,Pod Kanálem,Dobříň,Dobříň,158071506,"[50.43692140537923, 14.294252081503576]"
152, ,Sokolská,Dobříň,Dobříň,157986506,"[50.43890780157451, 14.29464310458338]"
199, ,Sluneční,Dobříň,Dobříň,391165506,"[50.43468531832037, 14.291769531791799]"
161, ,Pod Javorem,Dobříň,Dobříň,158140506,"[50.44007859154062, 14.293008961844125]"
38, ,V Zátiší,Dobříň,Dobříň,158019506,"[50.43848332551453, 14.292831132608315]"
36, ,Krátká,Dobříň,Dobříň,158099506,"[50.436124251619034, 14.293658502191013]"
137, ,Krátká,Dobříň,Dobříň,157988506,"[50.435958208491286, 14.293424688924581]"
10, ,V Zátiší,Dobříň,Dobříň,157967506,"[50.43848463757863, 14.292233889873883]"
45, ,Nádražní,Dobříň,Dobříň,158001506,"[50.43739821848251, 14.294816068814532]"
25, ,K Přívozu,Dobříň,Dobříň,157996506,"[50.43803117048827, 14.293768358529382]"
167, ,Krajní,Dobříň,Dobříň,158075506,"[50.4393624190513, 14.295467802458152]"
19, , ,Dobříň,Dobříň,158230506,"[50.42516627688064, 14.299657651372515]"
57, ,Nádražní,Dobříň,Dobříň,158211506,"[50.43742413214137, 14.294597222890797]"
1, ,Pod Kanálem,Dobříň,Dobříň,158024506,"[50.43717715122022, 14.294167864677046]"
98, ,Roudnická,Dobříň,Dobříň,158020506,"[50.43617658469052, 14.292410593532404]"
14, ,Sluneční,Dobříň,Dobříň,158033506,"[50.436304161235924, 14.2939461421911]"
28, ,Nádražní,Dobříň,Dobříň,157933506,"[50.43704465976505, 14.295433277964836]"
95, ,Račická,Dobříň,Dobříň,158114506,"[50.43871377121336, 14.296135182623528]"
7, ,V Zátiší,Dobříň,Dobříň,158110506,"[50.437444792827804, 14.291565362912058]"
208, ,K Přívozu,Dobříň,Dobříň,23158348010,"[50.44187499961822, 14.294223196074613]"
67, ,Račická,Dobříň,Dobříň,158222506,"[50.43829601641009, 14.295316662794738]"
66, ,Račická,Dobříň,Dobříň,158098506,"[50.438350462177375, 14.295418491408258]"
2, , ,Dobříň,Dobříň,157955506,"[50.42513244900852, 14.291423692646937]"
122, ,Roudnická,Dobříň,Dobříň,158203506,"[50.431515248608086, 14.289604717248086]"
183, ,Sluneční,Dobříň,Dobříň,23516191010,"[50.43683148027349, 14.294669654331855]"
173, ,K Přívozu,Dobříň,Dobříň,157992506,"[50.438810593684835, 14.293754659240955]"
174, ,K Přívozu,Dobříň,Dobříň,157993506,"[50.438711404951455, 14.293762085814945]"
33, ,V Zátiší,Dobříň,Dobříň,16544178010,"[50.43824837956905, 14.292129096042917]"
206, ,Sluneční,Dobříň,Dobříň,397727506,"[50.4353821996495, 14.292868160511706]"
200, ,Sluneční,Dobříň,Dobříň,423320506,"[50.43477370742324, 14.2920487012962]"
118, ,Nádražní,Dobříň,Dobříň,158170506,"[50.43625681856503, 14.296372597635443]"
24, ,Nádražní,Dobříň,Dobříň,157951506,"[50.43729122731208, 14.294327745626621]"
40, , ,Dobříň,Dobříň,158206506,"[50.425408914675536, 14.297050940955135]"
52, ,Pod Kanálem,Dobříň,Dobříň,158073506,"[50.43690687407762, 14.294510085738535]"
125, ,K Přívozu,Dobříň,Dobříň,158065506,"[50.43908127071747, 14.293206806693103]"
160, ,Krajní,Dobříň,Dobříň,157981506,"[50.43962620340174, 14.294436350903638]"
164, ,Sokolská,Dobříň,Dobříň,157940506,"[50.43887608066622, 14.295810824105633]"
27, ,Nádražní,Dobříň,Dobříň,158221506,"[50.43727758063797, 14.294174381370834]"
142, ,K Přívozu,Dobříň,Dobříň,157977506,"[50.43973591737334, 14.29353216869263]"
115, ,Sluneční,Dobříň,Dobříň,158057506,"[50.436164910382544, 14.294142948739612]"
171, ,Sokolská,Dobříň,Dobříň,158013506,"[50.43912270903701, 14.294633461280666]"
81, ,Na Vršku,Dobříň,Dobříň,158037506,"[50.43705867258415, 14.29192364098814]"
37, ,Nádražní,Dobříň,Dobříň,158078506,"[50.43706103865663, 14.295036864847342]"
30, ,Nádražní,Dobříň,Dobříň,158125506,"[50.43720349715896, 14.294758771228487]"
22, ,Pod Kanálem,Dobříň,Dobříň,158141506,"[50.437090841636945, 14.294572001891124]"
176, ,Račická,Dobříň,Dobříň,158220506,"[50.43767392422331, 14.294267568944598]"
166, ,Krajní,Dobříň,Dobříň,157976506,"[50.439270993554, 14.295734916529469]"
187, ,K Přívozu,Dobříň,Dobříň,157964506,"[50.44381183229465, 14.294614269112442]"
7, ,Pod Javorem,Dobříň,Dobříň,157934506,"[50.439258807165515, 14.293013855223505]"
44, ,V Zátiší,Dobříň,Dobříň,158016506,"[50.43751043397952, 14.29185718698828]"
