cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
41, , ,33011,Dolany,Habrová,Habrová,628395,"[49.807418682451896, 13.484151780757168]"
96, , ,78316,Dolany,Véska,Véska,780987,"[49.656754917780226, 17.359418942467112]"
674, , ,78316,Dolany,Dolany,Dolany,628468,"[49.649253663960586, 17.330774316423252]"
58, , ,33011,Dolany,Dolany,Dolany,628395,"[49.80635506654532, 13.458308544531718]"
465, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64610348116471, 17.315525724716245]"
104, , ,55203,Dolany,Dolany,Dolany,628417,"[50.37875743807357, 15.957457378401791]"
41, , ,78316,Dolany,Pohořany,Pohořany,724858,"[49.67117781716122, 17.373957327431693]"
44, , ,78316,Dolany,Dolany,Dolany,628468,"[49.655151148083505, 17.34592886454386]"
125, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64977955960487, 17.33461642579486]"
148, , ,53345,Dolany,Dolany,Dolany,628450,"[50.11277149748457, 15.69195857676327]"
359, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64485908926309, 17.325666358862073]"
116, , ,33011,Dolany,Dolany,Dolany,628395,"[49.80198752298735, 13.467881498783568]"
614, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65243038782202, 17.315369800489155]"
665, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64412880149219, 17.32438578659273]"
537, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64556625119831, 17.327930443599737]"
22, , ,33901,Dolany,Řakom,Řakom,628361,"[49.430336247041566, 13.221225738631244]"
30, , ,33901,Dolany,Dolany,Dolany,628344,"[49.44445628634997, 13.25083064375153]"
627, , ,78316,Dolany,Dolany,Dolany,628468,"[49.653426644916244, 17.316211213987092]"
38, , ,55204,Dolany,Svinišťany,Svinišťany,628441,"[50.39078097509473, 15.990751660852359]"
53, , ,33901,Dolany,Dolany,Dolany,628344,"[49.44242186845615, 13.247401730257108]"
18, , ,55204,Dolany,Svinišťany,Svinišťany,628441,"[50.39206732191237, 15.986712988155821]"
104, , ,78316,Dolany,Dolany,Dolany,628468,"[49.68173882281955, 17.350059919190155]"
9, , ,27351,Dolany,Dolany,Dolany,628301,"[50.11537300460037, 14.15034537067963]"
45, , ,55203,Dolany,Dolany,Dolany,628417,"[50.37904890917272, 15.959324411662992]"
111, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65380357532042, 17.33478402503604]"
277, , ,78316,Dolany,Dolany,Dolany,628468,"[49.651146758138886, 17.31809531031737]"
78, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65071220643505, 17.32077871726504]"
70, , ,78316,Dolany,Dolany,Dolany,628468,"[49.649849438190095, 17.323425620018234]"
33, , ,78316,Dolany,Véska,Véska,780987,"[49.65885434264287, 17.35535802922664]"
22, , ,33901,Dolany,Dolany,Dolany,628344,"[49.445390898034695, 13.248556971996017]"
515, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64798030341906, 17.31735591379705]"
448, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64646213134759, 17.33032918496448]"
31, , ,78316,Dolany,Véska,Véska,780987,"[49.658924379979396, 17.355890218695574]"
34, , ,55204,Dolany,Svinišťany,Svinišťany,628441,"[50.39169944634499, 15.990038055549034]"
682, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65369816097874, 17.347036313390117]"
358, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65030980095854, 17.328372541451913]"
31, , ,55204,Dolany,Svinišťany,Svinišťany,628441,"[50.391633742314156, 15.98476011317685]"
2, , ,33901,Dolany,Andělice,Andělice,628379,"[49.411492334551774, 13.242746496079818]"
51, , ,33011,Dolany,Dolany,Dolany,628395,"[49.806170188319804, 13.458464010805733]"
34, , ,33011,Dolany,Dolany,Dolany,628395,"[49.806664060932896, 13.458306817458771]"
684, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65423908718259, 17.321311241158305]"
264, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65389686485518, 17.317449043696453]"
84, , ,33901,Dolany,Svrčovec,Svrčovec,628379,"[49.424478078533056, 13.246517141990886]"
270, , ,78316,Dolany,Dolany,Dolany,628468,"[49.643016180412275, 17.330347444673194]"
228, , ,78316,Dolany,Dolany,Dolany,628468,"[49.650725249855775, 17.331720906383186]"
176, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64802528609317, 17.333676717573816]"
534, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64429054355758, 17.32808358545042]"
131, , ,53345,Dolany,Dolany,Dolany,628450,"[50.1080838313862, 15.690043028398634]"
36, , ,55203,Dolany,Čáslavky,Čáslavky,628409,"[50.37456573030207, 15.947849327367168]"
503, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64809747930067, 17.314709569848784]"
23, , ,78316,Dolany,Dolany,Dolany,628468,"[49.66645478096186, 17.344337795728492]"
67, , ,53345,Dolany,Dolany,Dolany,628450,"[50.11239522617727, 15.691943261229381]"
12, , ,33901,Dolany,Dolany,Dolany,628344,"[49.44327674504532, 13.247566548240737]"
42, , ,78316,Dolany,Pohořany,Pohořany,724858,"[49.67158427347618, 17.37254656704156]"
34, , ,78316,Dolany,Véska,Véska,780987,"[49.65912839391653, 17.35503088052887]"
299, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65472252804603, 17.317467925889975]"
651, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64177304693226, 17.32442324607644]"
429, , ,78316,Dolany,Dolany,Dolany,628468,"[49.648664056179925, 17.31949460985316]"
93, , ,33901,Dolany,Svrčovec,Svrčovec,628379,"[49.422064948863415, 13.244960485079817]"
3, , ,33901,Dolany,Sekrýt,Sekrýt,628344,"[49.432058158135035, 13.263280445036525]"
103, , ,55203,Dolany,Dolany,Dolany,628417,"[50.38009193945349, 15.955029630512009]"
81, , ,53345,Dolany,Dolany,Dolany,628450,"[50.113517869014636, 15.691914177870524]"
79, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64631583951598, 17.336667012131628]"
15, , ,78316,Dolany,Véska,Véska,780987,"[49.65776244865914, 17.35818859042135]"
55, , ,53345,Dolany,Dolany,Dolany,628450,"[50.11648651782792, 15.687383876210076]"
300, , ,78316,Dolany,Dolany,Dolany,628468,"[49.644546122170965, 17.323052819594665]"
72, , ,78316,Dolany,Véska,Véska,780987,"[49.65833810177898, 17.359993085375248]"
75, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65000570867496, 17.321883310621697]"
7, , ,33901,Dolany,Andělice,Andělice,628379,"[49.4120232226705, 13.243037633491898]"
200, , ,33901,Dolany,Dolany,Dolany,628344,"[49.44660732711296, 13.247492437865805]"
4, , ,55203,Dolany,Dolany,Dolany,628417,"[50.37999878339628, 15.962841662702713]"
40, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64940284352175, 17.328476712815203]"
60, , ,53345,Dolany,Dolany,Dolany,628450,"[50.10792910351365, 15.692644427909983]"
51, , ,55204,Dolany,Svinišťany,Svinišťany,628441,"[50.390792299310384, 15.984110371739758]"
394, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65207958209207, 17.310794444509682]"
202, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64936134949421, 17.310391446846047]"
181, , ,78316,Dolany,Dolany,Dolany,628468,"[49.651769662683876, 17.318382129590706]"
264, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64351906297642, 17.330225838766168]"
32, , ,33901,Dolany,Svrčovec,Svrčovec,628379,"[49.42536401591161, 13.25351643528538]"
45, , ,78316,Dolany,Pohořany,Pohořany,724858,"[49.67288002619424, 17.371787866760318]"
42, , ,78316,Dolany,Pohořany,Pohořany,724858,"[49.67523546933001, 17.38098075354657]"
68, , ,78316,Dolany,Pohořany,Pohořany,724858,"[49.67637284816528, 17.382717351820066]"
15, , ,33011,Dolany,Dolany,Dolany,628395,"[49.808932473714044, 13.455740996729968]"
270, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64956222972501, 17.32267896397988]"
49, , ,78316,Dolany,Dolany,Dolany,628468,"[49.648356187362076, 17.323260001657065]"
94, , ,78316,Dolany,Dolany,Dolany,628468,"[49.68159203032089, 17.349420750443205]"
305, , ,78316,Dolany,Dolany,Dolany,628468,"[49.65020668603013, 17.32735065133712]"
21, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64600282743983, 17.33686860082888]"
16, , ,55204,Dolany,Krabčice,Krabčice,628425,"[50.39570375299611, 15.948543743737662]"
140, , ,53345,Dolany,Dolany,Dolany,628450,"[50.10793512097969, 15.689409071841322]"
1, , ,55203,Dolany,Čáslavky,Čáslavky,628409,"[50.37734551178524, 15.948507349903997]"
1, , ,33901,Dolany,Řakom,Řakom,628361,"[49.43141218154108, 13.22268334458927]"
92, , ,33901,Dolany,Dolany,Dolany,628344,"[49.445128992161536, 13.242352122623691]"
49, , ,55203,Dolany,Čáslavky,Čáslavky,628409,"[50.376571009782424, 15.948497501042958]"
42, , ,55203,Dolany,Čáslavky,Čáslavky,628409,"[50.37676288521438, 15.950638096553957]"
94, , ,27351,Dolany,Dolany,Dolany,628301,"[50.11408871855476, 14.150506843876032]"
96, , ,27351,Dolany,Dolany,Dolany,628301,"[50.11732491786768, 14.155444504898446]"
20, , ,78316,Dolany,Pohořany,Pohořany,724858,"[49.67166822745483, 17.376570874085463]"
184, , ,78316,Dolany,Dolany,Dolany,628468,"[49.651307667537424, 17.32897373872496]"
18, , ,55203,Dolany,Dolany,Dolany,628417,"[50.381647083415935, 15.959955583929313]"
101, , ,78316,Dolany,Pohořany,Pohořany,724858,"[49.67695997976788, 17.38431387168561]"
91, , ,78316,Dolany,Véska,Véska,780987,"[49.65707145407591, 17.359565958795553]"
204, , ,78316,Dolany,Dolany,Dolany,628468,"[49.64733099435269, 17.31709846519537]"
11, , ,33901,Dolany,Řakom,Řakom,628361,"[49.43237208947022, 13.222023369347644]"
314, , ,78316,Dolany,Dolany,Dolany,628468,"[49.67195074052532, 17.34849160608481]"
28, , ,33901,Dolany,Řakom,Řakom,628361,"[49.42987383191047, 13.223892958430605]"
118, , ,33011,Dolany,Dolany,Dolany,628395,"[49.8042886837321, 13.468821123890473]"
30, , ,27351,Dolany,Dolany,Dolany,628301,"[50.11444828082865, 14.150730452918616]"
605, , ,78316,Dolany,Dolany,Dolany,628468,"[49.644392017658426, 17.323872218310846]"
121, , ,33901,Dolany,Dolany,Dolany,628344,"[49.43488118102935, 13.247960890599462]"
