cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
83, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05919314998841, 16.22407060542839]"
39, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.058898153024295, 16.22618712634384]"
160, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05956260045232, 16.22769766628374]"
55, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05537466756747, 16.22760659541865]"
61, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05513020145368, 16.228213279502363]"
94, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05666559943651, 16.226103562282617]"
29, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05807927455444, 16.225763601087266]"
117, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05657423059994, 16.227551439683918]"
26, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05728703003776, 16.225211563453062]"
56, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05531245531211, 16.227865174579755]"
152, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.058288860582074, 16.22152731092463]"
109, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.057361830241064, 16.223298303373443]"
138, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05461109252005, 16.226953231288846]"
33, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05863429223381, 16.22568174238228]"
7, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05743883501016, 16.222265988296627]"
2, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.054995157047266, 16.227492955049335]"
168, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05683131820124, 16.22103494414612]"
106, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.057718134720915, 16.22103354323413]"
130, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05802418175197, 16.221862129432324]"
20, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05670503470366, 16.225174138091884]"
76, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05465357312329, 16.22898387064699]"
159, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.057266545892745, 16.222626184885623]"
18, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05636886056148, 16.225521243119488]"
32, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05868658273933, 16.22560608025263]"
30, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.058262203888425, 16.225911105837984]"
144, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05971956358392, 16.227739484001216]"
53, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05903084733996, 16.227362360101978]"
31, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05883525017215, 16.22522020978343]"
153, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05825545371923, 16.221078622976172]"
73, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.055921752047, 16.226080241230918]"
82, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05869381638218, 16.226360043289674]"
161, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05548609109827, 16.225576947495128]"
135, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05894260932613, 16.223865900117325]"
92, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.057324871794144, 16.22243711101696]"
156, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.0590046395098, 16.223483385370354]"
12, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.055095971171426, 16.2264152899724]"
9, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.055076924624736, 16.227010686527464]"
6, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05463233703131, 16.227238741509684]"
47, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05701931625106, 16.226235410601266]"
120, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.058539220392625, 16.227323111853952]"
162, , ,67173,Dolní Dubňany,Dolní Dubňany,Dolní Dubňany,628956,"[49.05906182921483, 16.224616545332346]"
