cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
162, , ,Dolní Heřmanice,Dolní Heřmanice,62318806010,"[49.30853521720491, 16.061405052192633]"
185, , ,Dolní Heřmanice,Dolní Heřmanice,62331758010,"[49.30368311569898, 16.06374740398083]"
186, , ,Dolní Heřmanice,Dolní Heřmanice,62292392010,"[49.30141002005662, 16.064866150996806]"
2, , ,Dolní Heřmanice,Oslava,191699746,"[49.28912111095557, 16.058074208782074]"
167, , ,Dolní Heřmanice,Dolní Heřmanice,62338027010,"[49.30632532922135, 16.05577085039764]"
160, , ,Dolní Heřmanice,Dolní Heřmanice,62233862010,"[49.30886600025503, 16.061056332917442]"
187, , ,Dolní Heřmanice,Dolní Heřmanice,14967334010,"[49.30419389564748, 16.060383239455778]"
125, , ,Dolní Heřmanice,Dolní Heřmanice,0,"[49.29911370979018, 16.0610625353897]"
159, , ,Dolní Heřmanice,Dolní Heřmanice,62089832010,"[49.30903251849082, 16.060926282281617]"
170, , ,Dolní Heřmanice,Dolní Heřmanice,61183517010,"[49.306495871837235, 16.056625339621984]"
156, , ,Dolní Heřmanice,Dolní Heřmanice,61231724010,"[49.308893975291284, 16.060517969795626]"
157, , ,Dolní Heřmanice,Dolní Heřmanice,58482603010,"[49.30904635559695, 16.06041048807642]"
182, , ,Dolní Heřmanice,Dolní Heřmanice,58630609010,"[49.302991093758116, 16.06089820792457]"
21, , ,Dolní Heřmanice,Dolní Heřmanice,187050746,"[49.29427176396971, 16.047932598662527]"
24, , ,Dolní Heřmanice,Oslava,191687746,"[49.285988278758346, 16.069614018090803]"
4, , ,Dolní Heřmanice,Oslava,191691746,"[49.285847343428884, 16.06031217574351]"
13, , ,Dolní Heřmanice,Oslava,209950746,"[49.28898911812172, 16.06163969426208]"
3, , ,Dolní Heřmanice,Oslava,191721746,"[49.286455124393086, 16.059969653876237]"
6, , ,Dolní Heřmanice,Oslava,191694746,"[49.28595120178587, 16.063006076837354]"
8, , ,Dolní Heřmanice,Oslava,191693746,"[49.28672595196055, 16.061997572781213]"
12, , ,Dolní Heřmanice,Oslava,191710746,"[49.28719250913104, 16.06122332618832]"
5, , ,Dolní Heřmanice,Oslava,191719746,"[49.28917856499168, 16.057676022006895]"
19, , ,Dolní Heřmanice,Oslava,191689746,"[49.28578697441639, 16.063228783526572]"
18, , ,Dolní Heřmanice,Oslava,191727746,"[49.285464632521155, 16.06123766704343]"
4, , ,Dolní Heřmanice,Oslava,191723746,"[49.2892126338155, 16.05848650220816]"
8, , ,Dolní Heřmanice,Oslava,191728746,"[49.29145407529943, 16.050534329345012]"
23, , ,Dolní Heřmanice,Oslava,191704746,"[49.285933704729246, 16.056782086269518]"
7, , ,Dolní Heřmanice,Oslava,191705746,"[49.29154887971178, 16.050351498746668]"
25, , ,Dolní Heřmanice,Oslava,191707746,"[49.28941311069102, 16.061980032524367]"
6, , ,Dolní Heřmanice,Oslava,191708746,"[49.287324465169895, 16.069807412256274]"
7, , ,Dolní Heřmanice,Oslava,191709746,"[49.28621643935542, 16.062682517520006]"
16, , ,Dolní Heřmanice,Oslava,191701746,"[49.28646346245592, 16.06223762624293]"
1, , ,Dolní Heřmanice,Oslava,191714746,"[49.28652650723627, 16.058517888574137]"
15, , ,Dolní Heřmanice,Oslava,191715746,"[49.286327414132245, 16.062593745731657]"
9, , ,Dolní Heřmanice,Oslava,191716746,"[49.28710044624095, 16.061682397760777]"
20, , ,Dolní Heřmanice,Oslava,191717746,"[49.287930527042576, 16.06128681350094]"
10, , ,Dolní Heřmanice,Oslava,191695746,"[49.28845037401878, 16.06145800023915]"
21, , ,Dolní Heřmanice,Oslava,191697746,"[49.28533201586404, 16.06139944855018]"
3, , ,Dolní Heřmanice,Oslava,191698746,"[49.2892455234712, 16.057124481088263]"
109, , ,Dolní Heřmanice,Dolní Heřmanice,187053746,"[49.30696410534585, 16.060092889006615]"
1, , ,Dolní Heřmanice,Oslava,191686746,"[49.2861852169624, 16.058104185728748]"
15, , ,Dolní Heřmanice,Dolní Heřmanice,0,"[49.291891618448545, 16.051622179257272]"
164, , ,Dolní Heřmanice,Dolní Heřmanice,51483241010,"[49.30814554095676, 16.061787837707364]"
1, , ,Dolní Heřmanice,Dolní Heřmanice,187097746,"[49.302983580350066, 16.062117691844]"
2, , ,Dolní Heřmanice,Dolní Heřmanice,187062746,"[49.30275955810156, 16.06190806980844]"
4, , ,Dolní Heřmanice,Dolní Heřmanice,186985746,"[49.30302169816325, 16.06154341233162]"
5, , ,Dolní Heřmanice,Dolní Heřmanice,187079746,"[49.30306609612573, 16.065010088176113]"
6, , ,Dolní Heřmanice,Dolní Heřmanice,186994746,"[49.30321993993561, 16.06141151596603]"
8, , ,Dolní Heřmanice,Dolní Heřmanice,186987746,"[49.30366107321798, 16.060779921813477]"
9, , ,Dolní Heřmanice,Dolní Heřmanice,187026746,"[49.302703610010376, 16.064285028398256]"
10, , ,Dolní Heřmanice,Dolní Heřmanice,187109746,"[49.3024218692467, 16.06403021473955]"
11, , ,Dolní Heřmanice,Dolní Heřmanice,186957746,"[49.30397787071932, 16.061139279172114]"
13, , ,Dolní Heřmanice,Dolní Heřmanice,187069746,"[49.30389675984137, 16.060544508515733]"
14, , ,Dolní Heřmanice,Dolní Heřmanice,186977746,"[49.30409087489694, 16.060357962087156]"
16, , ,Dolní Heřmanice,Dolní Heřmanice,187034746,"[49.30484639039343, 16.05993385453829]"
17, , ,Dolní Heřmanice,Dolní Heřmanice,187160746,"[49.30521916527054, 16.059715753983454]"
18, , ,Dolní Heřmanice,Dolní Heřmanice,187006746,"[49.305524601356815, 16.059564915043733]"
19, , ,Dolní Heřmanice,Dolní Heřmanice,186974746,"[49.305795336585156, 16.059434045554976]"
20, , ,Dolní Heřmanice,Dolní Heřmanice,186990746,"[49.30286681295018, 16.064408495101894]"
21, , ,Dolní Heřmanice,Dolní Heřmanice,187150746,"[49.30612893295095, 16.059056732024832]"
22, , ,Dolní Heřmanice,Dolní Heřmanice,186973746,"[49.306162885464666, 16.058067836747814]"
23, , ,Dolní Heřmanice,Dolní Heřmanice,187055746,"[49.3060698858472, 16.059953150436485]"
25, , ,Dolní Heřmanice,Dolní Heřmanice,187149746,"[49.30554524876152, 16.060198067749955]"
26, , ,Dolní Heřmanice,Dolní Heřmanice,187073746,"[49.305337044003565, 16.06031789124748]"
27, , ,Dolní Heřmanice,Dolní Heřmanice,187065746,"[49.30514773659782, 16.06044822039489]"
28, , ,Dolní Heřmanice,Dolní Heřmanice,187029746,"[49.30494159429446, 16.060595364202445]"
29, , ,Dolní Heřmanice,Dolní Heřmanice,186962746,"[49.304713809327424, 16.060815543943765]"
30, , ,Dolní Heřmanice,Dolní Heřmanice,187033746,"[49.30452553266073, 16.060959530593106]"
31, , ,Dolní Heřmanice,Dolní Heřmanice,187005746,"[49.3044166220592, 16.061075660893533]"
32, , ,Dolní Heřmanice,Dolní Heřmanice,186997746,"[49.30419811760271, 16.061418784853505]"
33, , ,Dolní Heřmanice,Dolní Heřmanice,187037746,"[49.30404385806976, 16.061653663143616]"
35, , ,Dolní Heřmanice,Dolní Heřmanice,186988746,"[49.30252631910992, 16.06409483616742]"
36, , ,Dolní Heřmanice,Dolní Heřmanice,187057746,"[49.30285751543639, 16.06320582845467]"
37, , ,Dolní Heřmanice,Dolní Heřmanice,187035746,"[49.30339764480598, 16.064245600747856]"
38, , ,Dolní Heřmanice,Dolní Heřmanice,187086746,"[49.304499514240725, 16.064452584959625]"
39, , ,Dolní Heřmanice,Dolní Heřmanice,186968746,"[49.289183165320466, 16.055101167733344]"
40, , ,Dolní Heřmanice,Dolní Heřmanice,186982746,"[49.29535292074554, 16.043436945348716]"
41, , ,Dolní Heřmanice,Dolní Heřmanice,187039746,"[49.30820533658666, 16.03228856286191]"
42, , ,Dolní Heřmanice,Dolní Heřmanice,187059746,"[49.30624819671565, 16.0597970713533]"
43, , ,Dolní Heřmanice,Dolní Heřmanice,187090746,"[49.303751517370834, 16.063297204644527]"
44, , ,Dolní Heřmanice,Dolní Heřmanice,186967746,"[49.30643539969378, 16.05891954776508]"
45, , ,Dolní Heřmanice,Dolní Heřmanice,187031746,"[49.30627629500209, 16.058490804502735]"
