cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
347, , ,Dolní Lomná,Dolní Lomná,62133113010,"[49.55632831637269, 18.71546898459093]"
333, , ,Dolní Lomná,Dolní Lomná,62170849010,"[49.54668504010964, 18.71087223539531]"
346, , ,Dolní Lomná,Dolní Lomná,62094072010,"[49.539711752617386, 18.691438308524116]"
255, , ,Dolní Lomná,Dolní Lomná,379050832,"[49.551839000630046, 18.688044898600715]"
88, , ,Dolní Lomná,Dolní Lomná,378810832,"[49.55301171445715, 18.679294914389608]"
32, , ,Dolní Lomná,Dolní Lomná,378716832,"[49.54250343765166, 18.71649750382191]"
156, , ,Dolní Lomná,Dolní Lomná,378638832,"[49.55934461300793, 18.736458084966518]"
342, , ,Dolní Lomná,Dolní Lomná,49694311010,"[49.54682381710653, 18.716146074250204]"
286, , ,Dolní Lomná,Dolní Lomná,529350832,"[49.54508983746585, 18.721128114199963]"
341, , ,Dolní Lomná,Dolní Lomná,46919178010,"[49.53619035798708, 18.69060733710282]"
340, , ,Dolní Lomná,Dolní Lomná,43896098010,"[49.54571716103997, 18.70530301881528]"
339, , ,Dolní Lomná,Dolní Lomná,35925031010,"[49.54340375981097, 18.705740685863216]"
338, , ,Dolní Lomná,Dolní Lomná,34878954010,"[49.546218616530254, 18.681258062459385]"
337, , ,Dolní Lomná,Dolní Lomná,33561943010,"[49.557041380009004, 18.735007449545513]"
300, , ,Dolní Lomná,Dolní Lomná,559757832,"[49.54723785995624, 18.710591484030104]"
335, , ,Dolní Lomná,Dolní Lomná,26550515010,"[49.54687123636459, 18.708404696974707]"
330, , ,Dolní Lomná,Dolní Lomná,563186832,"[49.54858082790726, 18.70227429195245]"
327, , ,Dolní Lomná,Dolní Lomná,25496935010,"[49.54543249934412, 18.7116040219268]"
328, , ,Dolní Lomná,Dolní Lomná,25812892010,"[49.54173142066572, 18.709647870454024]"
57, , ,Dolní Lomná,Dolní Lomná,378899832,"[49.54620104295656, 18.696606739284018]"
325, , ,Dolní Lomná,Dolní Lomná,24826675010,"[49.55562526477116, 18.71783582616465]"
326, , ,Dolní Lomná,Dolní Lomná,25068730010,"[49.54552193268353, 18.688968947073967]"
313, , ,Dolní Lomná,Dolní Lomná,24608892010,"[49.545550850173626, 18.705573050437515]"
324, , ,Dolní Lomná,Dolní Lomná,16422114010,"[49.5432884213605, 18.70958082754515]"
