cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
20, , ,Domamil,Domamil,278106710,"[49.0836660686412, 15.69750045528589]"
134, , ,Domamil,Domamil,278172710,"[49.08091543002044, 15.690790329417991]"
84, , ,Domamil,Domamil,278225710,"[49.0809723606713, 15.691038290580694]"
76, , ,Domamil,Domamil,278206710,"[49.08431713023469, 15.698512600703484]"
135, , ,Domamil,Domamil,278275710,"[49.082640513534216, 15.697582010418518]"
65, , ,Domamil,Domamil,278231710,"[49.080996934925274, 15.692590374395502]"
52, , ,Domamil,Domamil,278109710,"[49.0806536976703, 15.692487821425878]"
71, , ,Domamil,Domamil,278267710,"[49.08073181154973, 15.692101216221683]"
79, , ,Domamil,Domamil,278205710,"[49.08242897906243, 15.69225895646976]"
139, , ,Domamil,Domamil,123047741,"[49.08507516920685, 15.69915133881107]"
132, , ,Domamil,Domamil,278104710,"[49.083013856194526, 15.696219522179925]"
61, , ,Domamil,Domamil,278134710,"[49.082669229647195, 15.694724513094803]"
143, , ,Domamil,Domamil,136695741,"[49.08182147213978, 15.6951142639424]"
60, , ,Domamil,Domamil,278158710,"[49.08335198136203, 15.694309829923986]"
83, , ,Domamil,Domamil,278226710,"[49.08100830801419, 15.691016395690458]"
142, , ,Domamil,Domamil,0,"[49.08218256326701, 15.695213565696267]"
133, , ,Domamil,Domamil,278169710,"[49.08084225742615, 15.6940968472225]"
56, , ,Domamil,Domamil,278268710,"[49.08198482957667, 15.692774712267699]"
117, , ,Domamil,Domamil,278209710,"[49.080030613462114, 15.692652484566985]"
106, , ,Domamil,Domamil,278105710,"[49.080133638134676, 15.69266903852745]"
98, , ,Domamil,Domamil,278282710,"[49.083422163019726, 15.693418460575106]"
23, , ,Domamil,Domamil,278115710,"[49.08292335900448, 15.69760700173663]"
130, , ,Domamil,Domamil,278181710,"[49.08228006189151, 15.696909787641859]"
3, , ,Domamil,Domamil,278162710,"[49.08310484595299, 15.694405448376106]"
129, , ,Domamil,Domamil,278167710,"[49.08481180540771, 15.696958098352283]"
67, , ,Domamil,Domamil,278180710,"[49.082364836192475, 15.696438812558718]"
1, , ,Domamil,Domamil,278216710,"[49.0838124222701, 15.693630030320364]"
68, , ,Domamil,Domamil,278208710,"[49.08351032899315, 15.695475230433246]"
121, , ,Domamil,Domamil,278238710,"[49.08470201581836, 15.697906794090848]"
126, , ,Domamil,Domamil,278140710,"[49.0832191023392, 15.691408538963646]"
42, , ,Domamil,Domamil,278197710,"[49.0822137371539, 15.694768128425553]"
38, , ,Domamil,Domamil,278156710,"[49.08161872859957, 15.696388942413332]"
85, , ,Domamil,Domamil,278217710,"[49.081105224394406, 15.691054197675772]"
120, , ,Domamil,Domamil,278233710,"[49.08470155014187, 15.69757772531685]"
53, , ,Domamil,Domamil,278177710,"[49.08105756543527, 15.692141889269958]"
131, , ,Domamil,Domamil,278142710,"[49.082914653038735, 15.695199524289697]"
103, , ,Domamil,Domamil,278175710,"[49.08161768006509, 15.694459001038993]"
50, , ,Domamil,Domamil,278221710,"[49.081421501027094, 15.69313608134849]"
82, , ,Domamil,Domamil,278114710,"[49.08257528286696, 15.691757661254167]"
88, , ,Domamil,Domamil,278166710,"[49.08106444659881, 15.691309315543162]"
75, , ,Domamil,Domamil,278146710,"[49.082691988633655, 15.696496081410844]"
101, , ,Domamil,Domamil,278152710,"[49.082595416462816, 15.698208977468449]"
34, , ,Domamil,Domamil,278188710,"[49.081824998186114, 15.697173095051928]"
45, , ,Domamil,Domamil,278195710,"[49.082208247826514, 15.69372959460516]"
112, , ,Domamil,Domamil,278212710,"[49.08322463998418, 15.692961699484792]"
91, , ,Domamil,Domamil,278163710,"[49.08136691245397, 15.691165485837681]"
138, , ,Domamil,Domamil,120526741,"[49.083345631316625, 15.695964033874517]"
4, , ,Domamil,Domamil,278132710,"[49.083302982816505, 15.694763508402835]"
125, , ,Domamil,Domamil,278270710,"[49.08457562097133, 15.698322256239905]"
64, , ,Domamil,Domamil,278116710,"[49.08305958382103, 15.691575534023205]"
36, , ,Domamil,Domamil,278144710,"[49.082016042030105, 15.69661192022195]"
11, , ,Domamil,Domamil,278108710,"[49.08301507469574, 15.696984312716616]"
2, , ,Domamil,Domamil,278277710,"[49.08337242483401, 15.693710392007358]"
102, , ,Domamil,Domamil,278113710,"[49.08031229888073, 15.692760113504471]"
24, , ,Domamil,Domamil,278153710,"[49.082896260298035, 15.697815352732142]"
86, , ,Domamil,Domamil,278117710,"[49.08118322455292, 15.691084160711213]"
127, , ,Domamil,Domamil,278143710,"[49.08265017003937, 15.697029237679043]"
128, , ,Domamil,Domamil,278235710,"[49.08450642815811, 15.696237838517378]"
89, , ,Domamil,Domamil,278219710,"[49.08230922162342, 15.69619473584083]"
96, , ,Domamil,Domamil,278107710,"[49.08352053139775, 15.692797705617236]"
87, , ,Domamil,Domamil,278200710,"[49.08091858268613, 15.691265318147027]"
28, , ,Domamil,Domamil,113443741,"[49.082744457098684, 15.698800936239962]"
37, , ,Domamil,Domamil,278174710,"[49.083460989619574, 15.693168379071444]"
47, , ,Domamil,Domamil,278194710,"[49.0817870731727, 15.693367608207614]"
114, , ,Domamil,Domamil,278211710,"[49.08320204415612, 15.693319669893762]"
140, , ,Domamil,Domamil,14783554010,"[49.08191748628144, 15.697505557306041]"
141, , ,Domamil,Domamil,128017741,"[49.080502245669905, 15.692335365357177]"
145, , ,Domamil,Domamil,30058429010,"[49.084161400150116, 15.69813282527668]"
144, , ,Domamil,Domamil,29950504010,"[49.081901662112756, 15.694410134018566]"
146, , ,Domamil,Domamil,53566306010,"[49.084050487403594, 15.697187893447593]"
9, , ,Domamil,Domamil,278228710,"[49.083284590688436, 15.696321599572086]"
25, , ,Domamil,Domamil,278119710,"[49.082908905302986, 15.698100260081631]"
26, , ,Domamil,Domamil,278185710,"[49.0828725239635, 15.69832754704392]"
39, , ,Domamil,Domamil,278258710,"[49.08200845703945, 15.695990059331116]"
48, , ,Domamil,Domamil,278192710,"[49.08164819926387, 15.693381063037075]"
55, , ,Domamil,Domamil,278199710,"[49.08177376472435, 15.692792713024437]"
57, , ,Domamil,Domamil,278269710,"[49.08244056200802, 15.692863546251651]"
63, , ,Domamil,Domamil,278161710,"[49.07823204723132, 15.671284509755214]"
100, , ,Domamil,Domamil,278127710,"[49.0810005762043, 15.692865477497412]"
110, , ,Domamil,Domamil,278160710,"[49.081250241879225, 15.69441919445089]"
148, , ,Domamil,Domamil,54984307010,"[49.08227953537026, 15.69449256680784]"
147, , ,Domamil,Domamil,59666604010,"[49.08194944365814, 15.694098025595109]"
33, , ,Domamil,Domamil,278122710,"[49.08192922001518, 15.697852261374642]"
94, , ,Domamil,Domamil,278210710,"[49.08150622093366, 15.691242261135823]"
8, , ,Domamil,Domamil,120527741,"[49.08342199076841, 15.695882752312844]"
22, , ,Domamil,Domamil,278137710,"[49.08313377877206, 15.697507508406268]"
29, , ,Domamil,Domamil,278179710,"[49.0809411242989, 15.706899128287535]"
59, , ,Domamil,Domamil,278271710,"[49.082606237363066, 15.694156920752368]"
97, , ,Domamil,Domamil,278164710,"[49.08890964798371, 15.683844539537628]"
118, , ,Domamil,Domamil,278121710,"[49.083255998552545, 15.693210499647583]"
5, , ,Domamil,Domamil,278128710,"[49.083305767093016, 15.695214591777589]"
6, , ,Domamil,Domamil,278230710,"[49.08327939413255, 15.695453838967884]"
15, , ,Domamil,Domamil,278222710,"[49.08436989836416, 15.697791266972123]"
16, , ,Domamil,Domamil,278147710,"[49.08422597380872, 15.697803842629764]"
30, , ,Domamil,Domamil,278151710,"[49.08190620486743, 15.698821683039334]"
35, , ,Domamil,Domamil,278112710,"[49.08191221692351, 15.696835013761609]"
80, , ,Domamil,Domamil,278201710,"[49.08277181818564, 15.693616384526722]"
95, , ,Domamil,Domamil,278130710,"[49.08111992798708, 15.69174051796051]"
109, , ,Domamil,Domamil,278138710,"[49.08140838467088, 15.69412823218084]"
124, , ,Domamil,Domamil,278129710,"[49.08482227090397, 15.697211976130163]"
21, , ,Domamil,Domamil,278141710,"[49.08320338886488, 15.697356866315811]"
51, , ,Domamil,Domamil,278135710,"[49.081385644991876, 15.693153407832106]"
62, , ,Domamil,Domamil,278124710,"[49.08335758649145, 15.692433476151159]"
73, , ,Domamil,Domamil,278126710,"[49.084329292011695, 15.6983089109276]"
90, , ,Domamil,Domamil,278118710,"[49.081301203449705, 15.691169533588003]"
93, , ,Domamil,Domamil,278159710,"[49.082769140043794, 15.691520944342377]"
113, , ,Domamil,Domamil,278165710,"[49.081125909826795, 15.694221361090605]"
116, , ,Domamil,Domamil,278214710,"[49.08130195538307, 15.697250157661362]"
137, , ,Domamil,Domamil,278223710,"[49.08092899380514, 15.693678329259617]"
12, , ,Domamil,Domamil,278139710,"[49.08357862927117, 15.696833083204462]"
77, , ,Domamil,Domamil,278204710,"[49.08270080811971, 15.693863810821155]"
104, , ,Domamil,Domamil,278171710,"[49.08152130875605, 15.694410888735282]"
46, , ,Domamil,Domamil,278154710,"[49.08196002249716, 15.693544536294027]"
66, , ,Domamil,Domamil,278232710,"[49.08208988815283, 15.693010550298245]"
70, , ,Domamil,Domamil,278207710,"[49.081221211536196, 15.692563057300502]"
136, , ,Domamil,Domamil,278202710,"[49.082898960879334, 15.693620661593915]"
14, , ,Domamil,Domamil,278178710,"[49.084505155390886, 15.697325228968499]"
17, , ,Domamil,Domamil,278136710,"[49.08407452932204, 15.697721270854009]"
19, , ,Domamil,Domamil,278224710,"[49.08379842458685, 15.697551222195775]"
69, , ,Domamil,Domamil,278149710,"[49.08082440585678, 15.69247032220457]"
81, , ,Domamil,Domamil,278173710,"[49.08250751032456, 15.692106672697628]"
99, , ,Domamil,Domamil,278236710,"[49.089169083265176, 15.683231504741588]"
108, , ,Domamil,Domamil,278111710,"[49.08132265831007, 15.694074998625066]"
111, , ,Domamil,Domamil,278213710,"[49.083287324745584, 15.692804872815287]"
115, , ,Domamil,Domamil,278283710,"[49.08315862006887, 15.693697176470947]"
122, , ,Domamil,Domamil,278133710,"[49.08215271357947, 15.695867107925658]"
32, , ,Domamil,Domamil,278189710,"[49.08190410009657, 15.698445500566026]"
149, , ,Domamil,Domamil,278190710,"[49.0819383680908, 15.698186891344974]"
54, , ,Domamil,Domamil,278237710,"[49.08151249545179, 15.692721050247076]"
150, , ,Domamil,Domamil,61341780010,"[49.08067598836201, 15.695245002731996]"
40, , ,Domamil,Domamil,278120710,"[49.08214171939792, 15.695610031141328]"
27, , ,Domamil,Domamil,278186710,"[49.08282487213532, 15.698508498889735]"
18, , ,Domamil,Domamil,278182710,"[49.083898792858726, 15.697726712264064]"
107, , ,Domamil,Domamil,278110710,"[49.08120489659921, 15.69402212036353]"
10, , ,Domamil,Domamil,278279710,"[49.08313130383147, 15.696664900916634]"
105, , ,Domamil,Domamil,278170710,"[49.081437174689896, 15.694414447655609]"
123, , ,Domamil,Domamil,278229710,"[49.08321289854547, 15.696482553182634]"
