cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
84, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.4272764857182, 17.546424770463627]"
67, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42837874112153, 17.549798729660708]"
53, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42634477970166, 17.543581126702254]"
34, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.4268668511758, 17.54372671343056]"
39, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.427313611185575, 17.54323120569644]"
10, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42852734065768, 17.546267612172407]"
13, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42774009837567, 17.54562283197471]"
121, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42817835763652, 17.5400376712872]"
123, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42849660356992, 17.540114520421568]"
167, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42524394992842, 17.541022040232725]"
116, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42447123247607, 17.542632895158487]"
188, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.4216442403405, 17.544305415463818]"
93, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.426675916368644, 17.5471294661777]"
181, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.422037013509154, 17.54433604599969]"
143, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.427436032694125, 17.54111778669202]"
91, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42671145045178, 17.546814189626065]"
126, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42812354852381, 17.54030579709548]"
109, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42374940099607, 17.544089588773023]"
190, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.427942057241, 17.542611688001223]"
133, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42815608504402, 17.54093863563723]"
189, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42580589752556, 17.54288518087331]"
102, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42420866415761, 17.54269119830249]"
108, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.423859169615874, 17.544026137180637]"
92, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42654133304018, 17.551462709112812]"
46, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42685435671985, 17.55075435084308]"
5, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42839749879636, 17.546498810222243]"
38, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.426732333607234, 17.54437959443913]"
180, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42110048303882, 17.54423792953813]"
99, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42429046135244, 17.543019171590583]"
160, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.4261686428684, 17.543268494878223]"
48, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.428534947010824, 17.54361591765163]"
79, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42692426197, 17.546256338216374]"
156, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42608322233133, 17.541308721446768]"
154, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.428612279820584, 17.540914377252463]"
185, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.4242157553184, 17.541468631398978]"
82, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.427484010981836, 17.546234124493814]"
174, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42859177077014, 17.550368846092407]"
146, , ,75115,Domaželice,Domaželice,Domaželice,630845,"[49.42734980466914, 17.540439514997498]"
