cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
204, ,Dukelská,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10512807511008, 16.260786790054233]"
249, ,Rudé armády,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.11316316254159, 16.250697131376462]"
74, ,Koďouskova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10558399866454, 16.26195886503747]"
290, ,Švermova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10743902043894, 16.2594672804269]"
381, ,Rudé armády,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.11284844345752, 16.25159655202061]"
386, ,Fűgnerova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.107422262762014, 16.253997778731932]"
84, , ,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10849010101483, 16.27083557910056]"
348, ,Jiráskova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.104112206335984, 16.265494385135256]"
236, ,Rudé armády,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.11354558026439, 16.250855124837503]"
92, ,Jiráskova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10439776940478, 16.261196140530426]"
167, ,Na Benátkách,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.1083228639257, 16.25967809291314]"
129, ,Školní,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.107688294026666, 16.259536120974072]"
187, ,Družstevní,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10542081106169, 16.254095677117423]"
532, ,Na Slovensku,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.11218616852808, 16.252444394801874]"
22, , ,51742,Doudleby nad Orlicí,Vyhnánov,Vyhnánov,631442,"[50.10043801833491, 16.260832518696755]"
94, ,U Parku,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10617185063461, 16.261082122306398]"
344, ,Jiráskova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.103928242058416, 16.265203077012202]"
481, ,U Bažantnice,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.11124224950414, 16.267002632024738]"
189, ,Švermova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10466226020968, 16.25498837485199]"
425, ,Rudé armády,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.11282785460488, 16.250938891665083]"
400, ,U Parkoviště,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.106997726927645, 16.262864636579994]"
227, ,Rudé armády,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.113387775265814, 16.251797361290564]"
43, ,Rudé armády,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.109988463123706, 16.259315725775664]"
338, ,Jiráskova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10359378001739, 16.266330737091252]"
311, ,Jiráskova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.103856341093575, 16.261839644641068]"
486, ,U Bažantnice,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.111350973123024, 16.266505243762076]"
169, ,Dukelská,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10416986601205, 16.26033358942392]"
388, ,Švermova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10555082601379, 16.25588757177697]"
332, ,Jiráskova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.103416992287194, 16.26526450849452]"
222, ,Švermova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10424735733548, 16.253260561223946]"
335, ,Jiráskova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10333218131908, 16.26584202979997]"
52, , ,51742,Doudleby nad Orlicí,Vyhnánov,Vyhnánov,631442,"[50.102388261754385, 16.259857699154278]"
5, , ,51742,Doudleby nad Orlicí,Vyhnánov,Vyhnánov,631442,"[50.10007310269581, 16.25988641440034]"
188, ,Švermova,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.10482031950523, 16.255171659032527]"
98, ,Školní,51742,Doudleby nad Orlicí,Doudleby nad Orlicí,Doudleby nad Orlicí,631426,"[50.107702211759424, 16.2586051929938]"
