cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
68, , ,Doupě,Doupě,62327028010,"[49.23708983817957, 15.435979318812581]"
49, , ,Doupě,Doupě,22206739,"[49.23724291390377, 15.435884773004243]"
67, , ,Doupě,Doupě,62079895010,"[49.23516146045549, 15.433612300411248]"
64, , ,Doupě,Doupě,49576739,"[49.236970291452714, 15.432821034487477]"
41, , ,Doupě,Doupě,22161739,"[49.237109240013226, 15.436544797828063]"
13, , ,Doupě,Doupě,22171739,"[49.23624521853634, 15.434494202596321]"
14, , ,Doupě,Doupě,22173739,"[49.23712997562625, 15.434119255554105]"
35, , ,Doupě,Doupě,22176739,"[49.237386856367515, 15.438180508188434]"
62, , ,Doupě,Doupě,22178739,"[49.23661103599044, 15.432972036869495]"
32, , ,Doupě,Doupě,22181739,"[49.237004277967316, 15.436703027830143]"
44, , ,Doupě,Doupě,22186739,"[49.23733618795704, 15.437332144170657]"
47, , ,Doupě,Doupě,22187739,"[49.23676365333838, 15.436305731714254]"
33, , ,Doupě,Doupě,22198739,"[49.23754928235135, 15.438730983246373]"
6, , ,Doupě,Doupě,45010739,"[49.23745834166268, 15.43503962575198]"
39, , ,Doupě,Doupě,22169739,"[49.23729565480148, 15.437837971687125]"
19, , ,Doupě,Doupě,22214739,"[49.237194575890015, 15.43424541264406]"
5, , ,Doupě,Doupě,22202739,"[49.23754095070234, 15.43494097076463]"
34, , ,Doupě,Doupě,22182739,"[49.23716552296177, 15.437350582999514]"
7, , ,Doupě,Doupě,22166739,"[49.23791679047886, 15.434994413870648]"
10, , ,Doupě,Doupě,22191739,"[49.237178390242455, 15.43348739151134]"
66, , ,Doupě,Doupě,23900137010,"[49.23715414518121, 15.433076842222428]"
40, , ,Doupě,Doupě,22184739,"[49.237826700469334, 15.43913517667803]"
48, , ,Doupě,Doupě,22190739,"[49.239357355674606, 15.435662903834267]"
2, , ,Doupě,Doupě,22165739,"[49.245028574018825, 15.425988872245028]"
65, , ,Doupě,Doupě,21959510010,"[49.24648968349719, 15.42021945283164]"
1, , ,Doupě,Doupě,22188739,"[49.251738823494996, 15.42626638354724]"
37, , ,Doupě,Doupě,22168739,"[49.23805305816912, 15.439826065531372]"
45, , ,Doupě,Doupě,22174739,"[49.23819325930979, 15.438880849522455]"
18, , ,Doupě,Doupě,22194739,"[49.23799969373543, 15.437738453377367]"
46, , ,Doupě,Doupě,22170739,"[49.23791510612849, 15.439395219445407]"
31, , ,Doupě,Doupě,22203739,"[49.23684400437026, 15.433703703459509]"
8, , ,Doupě,Doupě,22167739,"[49.237709426450145, 15.434726853002001]"
42, , ,Doupě,Doupě,22172739,"[49.237188099824564, 15.436795430073373]"
9, , ,Doupě,Doupě,22177739,"[49.237305814440546, 15.433869702177864]"
26, , ,Doupě,Doupě,22180739,"[49.236810680015466, 15.433901661480949]"
11, , ,Doupě,Doupě,22189739,"[49.236984631204656, 15.433546191471565]"
4, , ,Doupě,Doupě,22208739,"[49.23710834972694, 15.434688207773252]"
15, , ,Doupě,Doupě,22175739,"[49.23772458635084, 15.439283869670623]"
36, , ,Doupě,Doupě,22159739,"[49.23807379338501, 15.439955543279291]"
38, , ,Doupě,Doupě,22183739,"[49.23778115535892, 15.438907575234948]"
43, , ,Doupě,Doupě,22185739,"[49.23722734799132, 15.436917390564425]"
63, , ,Doupě,Doupě,22195739,"[49.236926624701475, 15.43318188467401]"
21, , ,Doupě,Doupě,22179739,"[49.23648878865721, 15.434607119185872]"
20, , ,Doupě,Doupě,22193739,"[49.236630186991185, 15.435854406301903]"
