cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
195, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73522835880837, 13.961054134003394]"
191, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73062771708921, 13.954712633688239]"
196, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73024657707588, 13.952518095092186]"
148, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.733291043470494, 13.963695074080217]"
9, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.733068963554615, 13.96746087285074]"
129, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.735222285523484, 13.970273597855048]"
126, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.731000891084385, 13.951794418342532]"
144, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.731801240002376, 13.951288515301236]"
50, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.731816386886464, 13.96886089095676]"
225, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.735363806262725, 13.964683451601624]"
133, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73191580958248, 13.96121397593601]"
173, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73015962376383, 13.953990579874876]"
87, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.733310587243835, 13.968051403242262]"
58, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73628949383731, 13.965943680907388]"
83, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.733053944245654, 13.96825591206342]"
270, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73298962284927, 13.952478436497215]"
75, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73278725240946, 13.96832530156626]"
181, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73048009608758, 13.955950954868749]"
77, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73107271558391, 13.950056033289764]"
183, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73257440654594, 13.95309877388158]"
142, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.735994969351715, 13.96624660164228]"
42, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73240068883254, 13.970496867248581]"
80, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73546407609384, 13.963747791325686]"
67, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.732278160022275, 13.970592572892976]"
202, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73382767325848, 13.965420117427078]"
162, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73059001503969, 13.957621748638154]"
5, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73643256425373, 13.968684578416537]"
273, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73324489622065, 13.96945009991425]"
228, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73249940256409, 13.960609325990987]"
244, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.730745503557365, 13.968448991616773]"
130, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.735245140802554, 13.969880297320813]"
167, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.730658788799985, 13.956753269994072]"
93, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7355389607786, 13.965413489125647]"
201, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73431300448277, 13.964813617523523]"
113, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73277659139462, 13.962409838942921]"
145, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73267415280145, 13.963398069599295]"
1, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.737538383451636, 13.967436961624701]"
120, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7332834006323, 13.965525887657193]"
164, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73063137583919, 13.957278317356266]"
69, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73118818006705, 13.96780675939096]"
163, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7305991903851, 13.95430960167937]"
168, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.730858848559606, 13.953196339164881]"
153, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7332670414546, 13.963380153897772]"
166, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73347098828778, 13.964779440840141]"
256, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73475261308943, 13.960664428299498]"
138, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73091163951514, 13.952463552195006]"
246, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.730788625605534, 13.94923944670481]"
178, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73057173368074, 13.956456011708712]"
66, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7362021008733, 13.965179579662149]"
125, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.730619293870724, 13.951619641416803]"
266, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.731548804023305, 13.948916355323465]"
65, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73231425230744, 13.952082861004504]"
3, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73587327788785, 13.964501574898938]"
214, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73268178097147, 13.961222644160102]"
135, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.733519352700185, 13.965139411082541]"
107, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73276625681294, 13.96354216580594]"
174, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7337201250388, 13.965074258497213]"
226, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73664442571705, 13.967793815707969]"
121, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73242625906278, 13.961727421544454]"
189, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73455388924259, 13.967814136011635]"
136, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73182968744567, 13.960867165154754]"
44, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73183915633327, 13.970491484475586]"
124, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73396857821697, 13.970155444096205]"
104, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73531587196808, 13.96056741906313]"
242, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73255291947512, 13.966039180581896]"
247, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73564119034218, 13.968442178478046]"
190, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7325237618429, 13.95361905738003]"
6, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73208362112555, 13.967441488533938]"
187, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73121260746581, 13.952609578419475]"
234, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7312912138828, 13.94928753376143]"
146, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.730469606863366, 13.95788518894617]"
57, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.730792898529, 13.952097516894918]"
105, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73284377992811, 13.970405887577622]"
157, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73045452098133, 13.955361435517732]"
111, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73277495507182, 13.962696249483797]"
261, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73260375135447, 13.960903182842593]"
114, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73705308409961, 13.9674103557597]"
218, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.733784553647624, 13.960182760572376]"
231, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73311302745909, 13.96188331842334]"
216, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73423129969731, 13.964539386324336]"
76, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.735671748839415, 13.96472037424811]"
32, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73393371405037, 13.966788727945321]"
74, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73239069477593, 13.95160253473798]"
23, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73132577829169, 13.961896699783184]"
40, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.7326164903871, 13.969225233566537]"
47, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73114829889301, 13.97019104987901]"
54, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73054994749877, 13.953158023611616]"
55, , ,26101,Drahlín,Drahlín,Drahlín,631604,"[49.73178054799401, 13.95145806994098]"
