cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
66, , ,27362,Družec,Družec,Družec,632716,"[50.09035804400354, 14.036413217571493]"
164, , ,27362,Družec,Družec,Družec,632716,"[50.08997628454513, 14.032805632449161]"
39, , ,27362,Družec,Družec,Družec,632716,"[50.107981486624794, 14.054458610104994]"
181, , ,27362,Družec,Družec,Družec,632716,"[50.09731512016837, 14.056395794874058]"
56, ,V Zátiší,27362,Družec,Družec,Družec,632716,"[50.10375224549268, 14.049608246943736]"
74, ,Dokeská,27362,Družec,Družec,Družec,632716,"[50.10612111100458, 14.043983418403197]"
208, , ,27362,Družec,Družec,Družec,632716,"[50.096738276098435, 14.057865907294682]"
195, , ,27362,Družec,Družec,Družec,632716,"[50.09739271849763, 14.056711092076519]"
38, ,Na Návsi,27362,Družec,Družec,Družec,632716,"[50.10278186702416, 14.045213545723263]"
223, , ,27362,Družec,Družec,Družec,632716,"[50.103585354131944, 14.038505964449284]"
179, , ,27362,Družec,Družec,Družec,632716,"[50.09704108292231, 14.059125808122785]"
41, , ,27362,Družec,Družec,Družec,632716,"[50.09498844660288, 14.024937039781701]"
192, , ,27362,Družec,Družec,Družec,632716,"[50.09726514430405, 14.058318688894012]"
251, ,V Zátiší,27362,Družec,Družec,Družec,632716,"[50.10281660267203, 14.05369752397432]"
42, , ,27362,Družec,Družec,Družec,632716,"[50.09501009520949, 14.025271081458643]"
157, ,V Zátiší,27362,Družec,Družec,Družec,632716,"[50.1028279829364, 14.054118614091932]"
46, , ,27362,Družec,Družec,Družec,632716,"[50.09232608590838, 14.027886607400166]"
120, , ,27362,Družec,Družec,Družec,632716,"[50.09015193639171, 14.04158350213299]"
323, ,Ke Kačáku,27362,Družec,Družec,Družec,632716,"[50.102037788699576, 14.048673947343197]"
47, , ,27362,Družec,Družec,Družec,632716,"[50.09142202110631, 14.027932225341335]"
117, , ,27362,Družec,Družec,Družec,632716,"[50.08943865081212, 14.032438717869558]"
24, , ,27362,Družec,Družec,Družec,632716,"[50.09206963954679, 14.039969592246186]"
139, ,Hlavní,27362,Družec,Družec,Družec,632716,"[50.10490898499031, 14.052932620467026]"
77, , ,27362,Družec,Družec,Družec,632716,"[50.08995103914597, 14.031294340257125]"
85, ,Hlavní,27362,Družec,Družec,Družec,632716,"[50.104174608857676, 14.052370369649507]"
287, ,K Chatám,27362,Družec,Družec,Družec,632716,"[50.10073403585747, 14.059708353816726]"
67, , ,27362,Družec,Družec,Družec,632716,"[50.08865544463435, 14.035972490359343]"
49, , ,27362,Družec,Družec,Družec,632716,"[50.092820959390515, 14.040285219548078]"
116, , ,27362,Družec,Družec,Družec,632716,"[50.09174502523817, 14.0283828048204]"
114, , ,27362,Družec,Družec,Družec,632716,"[50.09395003856237, 14.041601703796024]"
226, , ,27362,Družec,Družec,Družec,632716,"[50.09807721312723, 14.056505860800781]"
23, , ,27362,Družec,Družec,Družec,632716,"[50.090620609231756, 14.026839598834732]"
148, ,Hlavní,27362,Družec,Družec,Družec,632716,"[50.10800081578176, 14.052368224278345]"
68, , ,27362,Družec,Družec,Družec,632716,"[50.090290651990024, 14.036174071371429]"
55, , ,27362,Družec,Družec,Družec,632716,"[50.09030077527156, 14.039743476246525]"
288, ,V Zátiší,27362,Družec,Družec,Družec,632716,"[50.102518106159614, 14.051433846438497]"
207, ,Pod Veselovem,27362,Družec,Družec,Družec,632716,"[50.103326644561285, 14.054111266189668]"
13, , ,27362,Družec,Družec,Družec,632716,"[50.09681947104496, 14.057481676528665]"
188, , ,27362,Družec,Družec,Družec,632716,"[50.08970457595778, 14.032649992050647]"
66, ,Hlavní,27362,Družec,Družec,Družec,632716,"[50.10414110010886, 14.050643048100426]"
162, ,V Zátiší,27362,Družec,Družec,Družec,632716,"[50.10219734971307, 14.053778353618796]"
217, , ,27362,Družec,Družec,Družec,632716,"[50.10732631474883, 14.053087352913572]"
92, , ,27362,Družec,Družec,Družec,632716,"[50.097227286095155, 14.060273053984677]"
28, , ,27362,Družec,Družec,Družec,632716,"[50.09422086915126, 14.04178160172212]"
109, , ,27362,Družec,Družec,Družec,632716,"[50.08937442167414, 14.032725021031467]"
34, ,Na Návsi,27362,Družec,Družec,Družec,632716,"[50.10347281580559, 14.045138014947481]"
268, ,Konečná,27362,Družec,Družec,Družec,632716,"[50.10538723042365, 14.042907854197786]"
353, ,Ke Kačáku,27362,Družec,Družec,Družec,632716,"[50.1014591694108, 14.04929651418111]"
2, , ,27362,Družec,Družec,Družec,632716,"[50.092101052226276, 14.028303686193452]"
134, ,Žilinská,27362,Družec,Družec,Družec,632716,"[50.10448479760002, 14.043252914970415]"
277, ,Pod Veselovem,27362,Družec,Družec,Družec,632716,"[50.10313637772507, 14.052312415629023]"
143, , ,27362,Družec,Družec,Družec,632716,"[50.09673415718873, 14.060757727594368]"
88, , ,27362,Družec,Družec,Družec,632716,"[50.08839859309313, 14.036241274207393]"
32, ,Na Návsi,27362,Družec,Družec,Družec,632716,"[50.103953609528006, 14.04498937490125]"
118, , ,27362,Družec,Družec,Družec,632716,"[50.113775582911394, 14.039011899002363]"
15, ,Hlavní,27362,Družec,Družec,Družec,632716,"[50.10341609605328, 14.047470513600603]"
58, ,Rokelská,27362,Družec,Družec,Družec,632716,"[50.10369709445912, 14.046637307429227]"
83, , ,27362,Družec,Družec,Družec,632716,"[50.09734380119263, 14.06116551477881]"
356, ,Stromová,27362,Družec,Družec,Družec,632716,"[50.10648234279353, 14.04198267078453]"
27, , ,27362,Družec,Družec,Družec,632716,"[50.093199873674315, 14.040455232390276]"
79, , ,27362,Družec,Družec,Družec,632716,"[50.089986662594264, 14.031780531351405]"
27, ,Školní,27362,Družec,Družec,Družec,632716,"[50.10470967568586, 14.045868527614783]"
113, ,Žilinská,27362,Družec,Družec,Družec,632716,"[50.10422952493137, 14.042774526474496]"
90, , ,27362,Družec,Družec,Družec,632716,"[50.09250531910781, 14.027169104350655]"
263, ,Na Klínku,27362,Družec,Družec,Družec,632716,"[50.10218898501409, 14.04356070567522]"
108, , ,27362,Družec,Družec,Družec,632716,"[50.103326305557765, 14.054897716593272]"
110, , ,27362,Družec,Družec,Družec,632716,"[50.10326137928331, 14.055378089778262]"
103, , ,27362,Družec,Družec,Družec,632716,"[50.102307273882, 14.057947692877747]"
