cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
238, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16669258222152, 14.62552190800828]"
36, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16657625465219, 14.627580329785564]"
5, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16860315144964, 14.627333760293455]"
42, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.17120724298404, 14.638059852946478]"
155, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16740291817129, 14.634655367374352]"
30, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16711146397821, 14.629650331030035]"
216, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.165296873771446, 14.630669440827807]"
205, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.168424581438565, 14.630939515815992]"
194, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16776336303329, 14.631909732645141]"
178, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.167901141826334, 14.632027863829634]"
3, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16893151170562, 14.627209475876077]"
122, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.1656005795857, 14.627294848147187]"
201, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16731784173001, 14.632492733280584]"
50, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166377644222386, 14.625607364954508]"
46, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166804633707, 14.625903326609139]"
4, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16783755050762, 14.629409703524034]"
41, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16688912801358, 14.626596177147478]"
18, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16811236400452, 14.62973057381178]"
56, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16663672231925, 14.625014149034708]"
153, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16751857282437, 14.632131703560868]"
123, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16848932664923, 14.629618567433694]"
147, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.167082982286686, 14.63398688501392]"
109, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.17106874038269, 14.638547955922368]"
37, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16580489217034, 14.626269235042173]"
199, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16670882361436, 14.633023153298668]"
80, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166311867128954, 14.626862386874631]"
180, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.165896783276075, 14.631980248835985]"
149, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166909055618355, 14.632471844018992]"
104, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.1660777021188, 14.623507098999433]"
89, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16572216741865, 14.623728206183728]"
75, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16720748633973, 14.624980916415616]"
74, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16728860667059, 14.625165441283382]"
184, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16840676719191, 14.625633697643334]"
188, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16726368699088, 14.633453089977618]"
158, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16587390297617, 14.631466425816244]"
138, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16748661931344, 14.627716110974424]"
112, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16610893798741, 14.629220161600946]"
126, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16891005005966, 14.632297159021727]"
137, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.170717193674705, 14.639631590110387]"
1, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16954652080841, 14.63038165873867]"
219, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.165401967224405, 14.631254707399366]"
79, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16651008974528, 14.623621260762551]"
58, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166330090918116, 14.62439943277256]"
233, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16880536201436, 14.632108522539548]"
195, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16798941969974, 14.630276429730328]"
235, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16618262136547, 14.624763434231593]"
105, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166561286025356, 14.62909657486053]"
152, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.165750355604374, 14.631584005799068]"
226, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16680673581935, 14.623799091990744]"
82, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16625850356595, 14.625357802705848]"
204, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166677707985926, 14.632268400469602]"
115, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16656902345826, 14.628825465725802]"
93, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.167313408191305, 14.630698344705268]"
26, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.165680821673035, 14.626102062227552]"
127, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16721826953536, 14.629046994111352]"
7, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16827926305351, 14.627238315557602]"
53, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16556601566779, 14.624698950824387]"
28, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16879370912004, 14.630247511412852]"
21, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16664792602775, 14.629431918819296]"
222, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16622165650359, 14.632339769584648]"
6, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.168762987815754, 14.626779296259015]"
151, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16618135046057, 14.632622507940503]"
51, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166515805525016, 14.625475258770399]"
54, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16674471678639, 14.625262803720732]"
27, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16543442928996, 14.625675830215279]"
192, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16679560361121, 14.63202785599089]"
186, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16547789009273, 14.632219946183373]"
70, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.166057772512985, 14.626082122690264]"
212, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16729214359276, 14.634171968721644]"
229, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.167666534428385, 14.632262670374883]"
214, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16765657181978, 14.634454009409723]"
39, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16887895651607, 14.627763459576713]"
68, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16579910635649, 14.625342372014922]"
139, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16755844125872, 14.6253668504574]"
231, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16768270171163, 14.633078483399995]"
218, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16539589830939, 14.630450935933002]"
97, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16743343919155, 14.630973018716682]"
94, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16819170589171, 14.626106673523385]"
66, , ,25001,Dřevčice,Dřevčice,Dřevčice,632937,"[50.16573197342896, 14.62512765752513]"
