cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
11, , ,Felbabka,Felbabka,251159202,"[49.81232150108319, 13.943279399120156]"
104, , ,Felbabka,Felbabka,460103202,"[49.810677096255716, 13.940441137695373]"
54, , ,Felbabka,Felbabka,251210202,"[49.81319482363892, 13.940092072142996]"
29, , ,Felbabka,Felbabka,251189202,"[49.81127743775702, 13.946133857280376]"
31, , ,Felbabka,Felbabka,251209202,"[49.81109975016672, 13.946566489406846]"
34, , ,Felbabka,Felbabka,251190202,"[49.810861272413405, 13.947321490011559]"
36, , ,Felbabka,Felbabka,251192202,"[49.810807949890815, 13.947431627627129]"
37, , ,Felbabka,Felbabka,251198202,"[49.81320190862728, 13.942027164021422]"
1, , ,Felbabka,Felbabka,251220202,"[49.81189322978482, 13.94494386299702]"
123, , ,Felbabka,Felbabka,19930801010,"[49.8138975974, 13.942181055908517]"
13, , ,Felbabka,Felbabka,251185202,"[49.81206478706512, 13.943909767799651]"
56, , ,Felbabka,Felbabka,251206202,"[49.8127047076332, 13.940240012511786]"
68, , ,Felbabka,Felbabka,251155202,"[49.812987295292594, 13.93944703228629]"
5, , ,Felbabka,Felbabka,251168202,"[49.81404033228454, 13.941167362665047]"
6, , ,Felbabka,Felbabka,251108202,"[49.81233926760122, 13.94433297031947]"
25, , ,Felbabka,Felbabka,251122202,"[49.81224859643816, 13.944469261620663]"
32, , ,Felbabka,Felbabka,251150202,"[49.81245342773186, 13.943912780555989]"
50, , ,Felbabka,Felbabka,251138202,"[49.81183214247597, 13.940368564773163]"
58, , ,Felbabka,Felbabka,251125202,"[49.8125437317578, 13.940096881589703]"
64, , ,Felbabka,Felbabka,251171202,"[49.81221186735357, 13.940799889331855]"
12, , ,Felbabka,Felbabka,251184202,"[49.81215826639574, 13.94339058044264]"
26, , ,Felbabka,Felbabka,251127202,"[49.81144767037413, 13.9455852406518]"
30, , ,Felbabka,Felbabka,251157202,"[49.811148982053325, 13.946315053887233]"
39, , ,Felbabka,Felbabka,251166202,"[49.81283667465633, 13.94163035844885]"
44, , ,Felbabka,Felbabka,251194202,"[49.8138096474357, 13.941007324134194]"
55, , ,Felbabka,Felbabka,251110202,"[49.81324117291911, 13.939587854737066]"
72, , ,Felbabka,Felbabka,251116202,"[49.81169622671689, 13.9389730910317]"
1, , ,Felbabka,Felbabka,251179202,"[49.81287333414153, 13.943276945246408]"
4, , ,Felbabka,Felbabka,443478202,"[49.81359657529679, 13.942044121916146]"
65, , ,Felbabka,Felbabka,251114202,"[49.81308454952737, 13.942838639698797]"
66, , ,Felbabka,Felbabka,251129202,"[49.811671824066885, 13.939670627809221]"
67, , ,Felbabka,Felbabka,251119202,"[49.811919675005356, 13.939980551408855]"
23, , ,Felbabka,Felbabka,251160202,"[49.813541641063324, 13.94003333465945]"
43, , ,Felbabka,Felbabka,251177202,"[49.81369479668072, 13.941146345824315]"
69, , ,Felbabka,Felbabka,251109202,"[49.81187962674217, 13.93907612326151]"
2, , ,Felbabka,Felbabka,251135202,"[49.81137431608984, 13.940829520839598]"
9, , ,Felbabka,Felbabka,251182202,"[49.81288998472987, 13.942432734323466]"
51, , ,Felbabka,Felbabka,251203202,"[49.81199724705306, 13.940507264993828]"
86, , ,Felbabka,Felbabka,251133202,"[49.81295109982799, 13.941359189372836]"
97, , ,Felbabka,Felbabka,251212202,"[49.81266041647413, 13.9428330118108]"
76, , ,Felbabka,Felbabka,251214202,"[49.811047261690035, 13.938906266957328]"
79, , ,Felbabka,Felbabka,251222202,"[49.81113604758446, 13.939653401322033]"
90, , ,Felbabka,Felbabka,251143202,"[49.81207232263057, 13.941823364360996]"
95, , ,Felbabka,Felbabka,251174202,"[49.812760110119655, 13.943561037251536]"
83, , ,Felbabka,Felbabka,251136202,"[49.81319642379131, 13.940580551793683]"
101, , ,Felbabka,Felbabka,251163202,"[49.812670860318605, 13.94150837614442]"
96, , ,Felbabka,Felbabka,251142202,"[49.81240231010489, 13.942317582638209]"
