cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
378,10,Horní,Františkovy Lázně,Horní Lomany,62204042010,"[50.13186473560555, 12.343913928988043]"
379,23,Žírovická,Františkovy Lázně,Horní Lomany,62149946010,"[50.13096347271469, 12.353964591141908]"
162,8c,Klostermannova,Františkovy Lázně,Slatina,61877737010,"[50.10574126355286, 12.336003901060206]"
56,18,Aleje,Františkovy Lázně,Aleje-Zátiší,62064934010,"[50.12479294704793, 12.365336669841241]"
374,24b,Mládežnická,Františkovy Lázně,Horní Lomany,60677500010,"[50.12928831598461, 12.350140852421283]"
552,16,Větrná hůrka,Františkovy Lázně,Františkovy Lázně,60759454010,"[50.12825426044676, 12.334359658335208]"
375, ,Štekrův Mlýn,Františkovy Lázně,Horní Lomany,51259260010,"[50.14057404405299, 12.327550301646735]"
186, , ,Františkovy Lázně,Žírovice,60324213010,"[50.14142097100457, 12.351718742882598]"
325,65B,Americká,Františkovy Lázně,Horní Lomany,22571816010,"[50.12962640117787, 12.342943425207991]"
119,2,Komorní,Františkovy Lázně,Slatina,369606402,"[50.110014131709775, 12.349951618771572]"
371,12,Ašská,Františkovy Lázně,Horní Lomany,55552311010,"[50.13465729778481, 12.334581561734337]"
370,2,Horní,Františkovy Lázně,Horní Lomany,26458264010,"[50.130622161711116, 12.344330754742183]"
372,32,Žírovická,Františkovy Lázně,Horní Lomany,30913809010,"[50.13055347250924, 12.353847865267825]"
9, , ,Františkovy Lázně,Žírovice,15044539010,"[50.13793011488888, 12.358238765371054]"
129,3,Máchova,Františkovy Lázně,Františkovy Lázně,350329402,"[50.11969567453385, 12.349719422946082]"
425,72,Anglická,Františkovy Lázně,Františkovy Lázně,425102402,"[50.12430772966496, 12.34119960963625]"
432,4,Boženy Němcové,Františkovy Lázně,Františkovy Lázně,528101402,"[50.11959705222359, 12.352166237070266]"
132, , ,Františkovy Lázně,Žírovice,369366402,"[50.141847581476874, 12.352783042269866]"
153, , ,Františkovy Lázně,Žírovice,529042402,"[50.13778980223918, 12.356083178835615]"
544,23a,Vilová,Františkovy Lázně,Františkovy Lázně,42087067010,"[50.12498423703534, 12.336430904235703]"
128,1,Klostermannova,Františkovy Lázně,Slatina,428582402,"[50.112127695086016, 12.350199564133167]"
182, , ,Františkovy Lázně,Žírovice,34246943010,"[50.13851016164866, 12.356841153296132]"
181, , ,Františkovy Lázně,Žírovice,369389402,"[50.1404032317692, 12.366562445440785]"
543,12a,Kollárova,Františkovy Lázně,Františkovy Lázně,519368402,"[50.121962284694035, 12.355158635866797]"
24, , ,Františkovy Lázně,Krapice,354633402,"[50.11196357914135, 12.310826267574438]"
541,15,Vilová,Františkovy Lázně,Františkovy Lázně,30126612010,"[50.12479325353225, 12.337543546151457]"
542,9,Plynárenská,Františkovy Lázně,Františkovy Lázně,30201544010,"[50.122666864910734, 12.34058826785613]"
349,29,Žižkova,Františkovy Lázně,Františkovy Lázně,350294402,"[50.127494650739685, 12.34181134358816]"
325,1,Žižkova,Františkovy Lázně,Františkovy Lázně,350420402,"[50.12565202367325, 12.338954711541616]"
326,3,Žižkova,Františkovy Lázně,Františkovy Lázně,350420402,"[50.1257706017927, 12.339082698650062]"
345,21,Žižkova,Františkovy Lázně,Františkovy Lázně,350291402,"[50.12729869098924, 12.340196993745598]"
346,23,Žižkova,Františkovy Lázně,Františkovy Lázně,350291402,"[50.12737620066212, 12.340007111622882]"
348,27,Žižkova,Františkovy Lázně,Františkovy Lázně,350294402,"[50.12758289945408, 12.341604227258633]"
347,25,Žižkova,Františkovy Lázně,Františkovy Lázně,350294402,"[50.12767219925476, 12.341390742053989]"
295,26,Anglická,Františkovy Lázně,Františkovy Lázně,369499402,"[50.123183638045916, 12.344107899830238]"
304,3,Československé armády,Františkovy Lázně,Františkovy Lázně,369503402,"[50.12383200849263, 12.348396809931936]"
302,10,Školní,Františkovy Lázně,Františkovy Lázně,350399402,"[50.12511422656057, 12.35164871782944]"
33,27,Česká,Františkovy Lázně,Františkovy Lázně,369510402,"[50.12500896650601, 12.349694315343815]"
20,23,Česká,Františkovy Lázně,Františkovy Lázně,369513402,"[50.12498055303268, 12.349172020548506]"
61,8,Otakara Březiny,Františkovy Lázně,Františkovy Lázně,369511402,"[50.12541554777551, 12.349147135110458]"
140,12,Otakara Březiny,Františkovy Lázně,Františkovy Lázně,369512402,"[50.125573007330985, 12.349948557810869]"
200,18,Otakara Březiny,Františkovy Lázně,Františkovy Lázně,369501402,"[50.12587703351979, 12.349533479112365]"
323,52,Anglická,Františkovy Lázně,Františkovy Lázně,369502402,"[50.12540496024501, 12.339407027869527]"
320,4,Žižkova,Františkovy Lázně,Františkovy Lázně,369504402,"[50.12558687098169, 12.340079200912037]"
319,2,Žižkova,Františkovy Lázně,Františkovy Lázně,369504402,"[50.125584370813165, 12.33984422617958]"
318,13,Májová,Františkovy Lázně,Františkovy Lázně,369508402,"[50.125835956326874, 12.340657601091541]"
334,19,Žižkova,Františkovy Lázně,Františkovy Lázně,369505402,"[50.12688754012415, 12.340076577498357]"
336,10,Žižkova,Františkovy Lázně,Františkovy Lázně,369514402,"[50.12742474547272, 12.341088639278539]"
296,28,Anglická,Františkovy Lázně,Františkovy Lázně,369499402,"[50.123253796472916, 12.343908884227938]"
305,5,Československé armády,Františkovy Lázně,Františkovy Lázně,369503402,"[50.123879248551766, 12.348629288787064]"
35,29,Česká,Františkovy Lázně,Františkovy Lázně,369510402,"[50.1250553869966, 12.349937077532138]"
32,25,Česká,Františkovy Lázně,Františkovy Lázně,369513402,"[50.125031290177105, 12.349415935680502]"
87,10,Otakara Březiny,Františkovy Lázně,Františkovy Lázně,369511402,"[50.12545989868897, 12.349393552525454]"
173,14,Otakara Březiny,Františkovy Lázně,Františkovy Lázně,369512402,"[50.125621880937466, 12.350191256478501]"
199,16,Otakara Březiny,Františkovy Lázně,Františkovy Lázně,369501402,"[50.12582890016201, 12.349284066973574]"
322,50,Anglická,Františkovy Lázně,Františkovy Lázně,369502402,"[50.12531473269324, 12.339621172668037]"
321,6,Žižkova,Františkovy Lázně,Františkovy Lázně,369504402,"[50.12559019706605, 12.34031849868597]"
317,11,Májová,Františkovy Lázně,Františkovy Lázně,369508402,"[50.12597821994728, 12.340663502088209]"
316,16,Májová,Františkovy Lázně,Františkovy Lázně,369500402,"[50.1264021385945, 12.341354795953801]"
332,15,Žižkova,Františkovy Lázně,Františkovy Lázně,369506402,"[50.12659146424349, 12.340080381834536]"
333,17,Žižkova,Františkovy Lázně,Františkovy Lázně,369505402,"[50.12674539178965, 12.340080288910116]"
361,6,Táborská,Františkovy Lázně,Františkovy Lázně,369515402,"[50.126761050921274, 12.339573371957844]"
335,8,Žižkova,Františkovy Lázně,Františkovy Lázně,369514402,"[50.127304425464914, 12.34096052647401]"
353,35,Žižkova,Františkovy Lázně,Františkovy Lázně,369507402,"[50.12788949013134, 12.340786755697152]"
364,10,Ašská,Františkovy Lázně,Horní Lomany,28852351010,"[50.13473573220376, 12.334206777899118]"
175, , ,Františkovy Lázně,Žírovice,25642867010,"[50.13923827160013, 12.364182935182773]"
176, , ,Františkovy Lázně,Žírovice,25914882010,"[50.14117526036109, 12.35978333395435]"
10, , ,Františkovy Lázně,Františkovy Lázně,349668402,"[50.112598329647, 12.359049330505902]"
388, ,Natalie,Františkovy Lázně,Františkovy Lázně,349622402,"[50.112301995977596, 12.366353660172255]"
381, ,Májová,Františkovy Lázně,Františkovy Lázně,349624402,"[50.12546096581447, 12.343537867667662]"
278,24,Budovatelská,Františkovy Lázně,Horní Lomany,472566402,"[50.12783292440885, 12.348680934234055]"
536,54a,Anglická,Františkovy Lázně,Františkovy Lázně,26061498010,"[50.12746711973426, 12.337490202842176]"
362,1,Horní,Františkovy Lázně,Horní Lomany,25892839010,"[50.1308035531411, 12.345517395396971]"
361,14b,Žírovická,Františkovy Lázně,Horní Lomany,25563841010,"[50.129916809073656, 12.352920568995748]"
535,14,Školní,Františkovy Lázně,Františkovy Lázně,349620402,"[50.124665503080024, 12.35213587078518]"
156,1,U Rozcestí,Františkovy Lázně,Slatina,24191741010,"[50.107562672102745, 12.344065693647716]"
360,64e,Americká,Františkovy Lázně,Horní Lomany,24614492010,"[50.13215819201346, 12.343437536693314]"
533,29,Ruská,Františkovy Lázně,Františkovy Lázně,24435413010,"[50.122456228466724, 12.36098482189187]"
7, , ,Františkovy Lázně,Žírovice,24959858010,"[50.14076983721242, 12.354187254987979]"
534,12,Bezručova,Františkovy Lázně,Františkovy Lázně,22688076010,"[50.12635234797553, 12.34744720744118]"
74,6,Americká,Františkovy Lázně,Františkovy Lázně,589564402,"[50.12310766861055, 12.34821447771741]"
55, , ,Františkovy Lázně,Krapice,354636402,"[50.12174972551489, 12.314202399706332]"
359,30,Žírovická,Františkovy Lázně,Horní Lomany,23750138010,"[50.13074260346459, 12.353997520700812]"
358,13a,Konečná,Františkovy Lázně,Horní Lomany,24244613010,"[50.1294116263105, 12.35561717757045]"
357,17,Mládežnická,Františkovy Lázně,Horní Lomany,16188938010,"[50.128801704976944, 12.350840872478507]"
532,42a,Anglická,Františkovy Lázně,Františkovy Lázně,16062878010,"[50.124481597740214, 12.341706991771218]"
12,4,Příčná,Františkovy Lázně,Slatina,364154402,"[50.113197645573834, 12.350660295361441]"
110,13,Francouzská,Františkovy Lázně,Františkovy Lázně,350266402,"[50.12273754560314, 12.349784365263679]"
351,27a,Budovatelská,Františkovy Lázně,Horní Lomany,436583402,"[50.12783808750989, 12.350607716658077]"
3, , ,Františkovy Lázně,Dlouhé Mosty,508448402,"[50.109800534848716, 12.377428674646767]"
531,77a,Anglická,Františkovy Lázně,Františkovy Lázně,23809696010,"[50.12458250827758, 12.34043336888576]"
356, , ,Františkovy Lázně,Horní Lomany,521976402,"[50.14130792526164, 12.350432063905043]"
155,5,Na Vrchu,Františkovy Lázně,Slatina,23937475010,"[50.111239448950876, 12.349989556973803]"
354,2a,Jiřího Wolkra,Františkovy Lázně,Horní Lomany,352392402,"[50.12849615009851, 12.345844222541801]"
530, , ,Františkovy Lázně,Františkovy Lázně,350550402,"[50.119595362858426, 12.368172289610097]"
154,8a,Klostermannova,Františkovy Lázně,Slatina,23218076010,"[50.105695804642544, 12.334358896307476]"
20,44,Anglická,Františkovy Lázně,Dolní Lomany,350189402,"[50.12462803492925, 12.341371436404138]"
355,13,Lomanská,Františkovy Lázně,Horní Lomany,538977402,"[50.12936752554903, 12.338898696612755]"
106,7,Jiřího Wolkra,Františkovy Lázně,Horní Lomany,585806402,"[50.129189186302206, 12.346359867525223]"
353,71a,Americká,Františkovy Lázně,Horní Lomany,22808148010,"[50.130071011995526, 12.339170524914254]"
352,56,Americká,Františkovy Lázně,Horní Lomany,535654402,"[50.13091516423663, 12.343319259573967]"
174, , ,Františkovy Lázně,Žírovice,23174528010,"[50.140790433914205, 12.360875334953246]"
173, , ,Františkovy Lázně,Žírovice,23167674010,"[50.14228342737442, 12.354108323023313]"
153,4,Jindřicha Plachty,Františkovy Lázně,Slatina,22690083010,"[50.10992664104676, 12.350668634910765]"
349,4a,Úzká,Františkovy Lázně,Horní Lomany,14831254010,"[50.12827747367796, 12.349601054932975]"
350,8,Lomanská,Františkovy Lázně,Horní Lomany,22416526010,"[50.128454875054665, 12.341105357921908]"
152,1B,Klostermannova,Františkovy Lázně,Slatina,16554172010,"[50.11344900207946, 12.350453666774563]"
23,17,Pod Lipami,Františkovy Lázně,Dlouhé Mosty,582912402,"[50.115146659247934, 12.367561828189425]"
345,79A,Americká,Františkovy Lázně,Horní Lomany,589042402,"[50.13098844221612, 12.340677298760049]"
529,5,Vilová,Františkovy Lázně,Františkovy Lázně,21604906010,"[50.12421781087231, 12.339152507492582]"
171, , ,Františkovy Lázně,Žírovice,463766402,"[50.14661095133202, 12.338467092488589]"
22, , ,Františkovy Lázně,Dlouhé Mosty,589041402,"[50.11086917768873, 12.377450989879378]"
348,4B,Jiřího Wolkra,Františkovy Lázně,Horní Lomany,14537508010,"[50.12924209265514, 12.347196867831155]"
55,16,Aleje,Františkovy Lázně,Aleje-Zátiší,588092402,"[50.124612268416705, 12.364879746360971]"
527,18,Vilová,Františkovy Lázně,Františkovy Lázně,16274368010,"[50.125440772979694, 12.33712094958888]"
528,1,Husova,Františkovy Lázně,Františkovy Lázně,350476402,"[50.11811578232195, 12.352933938712923]"
347,64B,Americká,Františkovy Lázně,Horní Lomany,15383921010,"[50.13167205460636, 12.342981853316834]"
172, , ,Františkovy Lázně,Žírovice,577905402,"[50.139269805574365, 12.357042065294682]"
346,91,Americká,Františkovy Lázně,Horní Lomany,572708402,"[50.13226121209157, 12.340220662323246]"
526,30A,Ruská,Františkovy Lázně,Františkovy Lázně,350435402,"[50.120092488614056, 12.358476249480972]"
525,12,Duhová,Františkovy Lázně,Františkovy Lázně,15093913010,"[50.12300867963751, 12.339351650155981]"
522,10,Československé armády,Františkovy Lázně,Františkovy Lázně,396982402,"[50.123539193317384, 12.348414888370563]"
523,2,Vilová,Františkovy Lázně,Františkovy Lázně,578173402,"[50.1243122192842, 12.339780226136531]"
524,27,Vilová,Františkovy Lázně,Františkovy Lázně,14540589010,"[50.12540115535505, 12.336067917350555]"
78, , ,Františkovy Lázně,Horní Lomany,352019402,"[50.13407525500901, 12.343466684914036]"
170, , ,Františkovy Lázně,Žírovice,564358402,"[50.14176454773017, 12.357617479135508]"
380, , ,Františkovy Lázně,Františkovy Lázně,16474005010,"[50.11948881079105, 12.345562898158795]"
520,3,Vilová,Františkovy Lázně,Františkovy Lázně,578475402,"[50.12408174884298, 12.3394145038914]"
21, , ,Františkovy Lázně,Dlouhé Mosty,587970402,"[50.110841631563126, 12.37659362883633]"
151,8A,Jezerní,Františkovy Lázně,Slatina,14572351010,"[50.11084660999916, 12.335560784581428]"
16,46,Anglická,Františkovy Lázně,Dolní Lomany,585739402,"[50.12504674685576, 12.340282043178334]"
389, ,Májová,Františkovy Lázně,Františkovy Lázně,350128402,"[50.126082158742186, 12.341693678239444]"
284,16,Konečná,Františkovy Lázně,Horní Lomany,352273402,"[50.13012358776333, 12.355621362532203]"
281, , ,Františkovy Lázně,Horní Lomany,352349402,"[50.12727581930862, 12.358277663392288]"
242,9,Mládežnická,Františkovy Lázně,Horní Lomany,352260402,"[50.12910278666134, 12.349114812091365]"
31,52,Americká,Františkovy Lázně,Horní Lomany,352368402,"[50.1302291509147, 12.34329196350039]"
4, , ,Františkovy Lázně,Žírovice,369396402,"[50.14655774303149, 12.341238492971359]"
100,4a,Komorní,Františkovy Lázně,Slatina,0,"[50.10976039885957, 12.349623857846392]"
5, , ,Františkovy Lázně,Krapice,354617402,"[50.110023391198695, 12.305330831761635]"
166,6,Kollárova,Františkovy Lázně,Františkovy Lázně,0,"[50.12115855851663, 12.354758277134762]"
311,65A,Anglická,Františkovy Lázně,Františkovy Lázně,369516402,"[50.12347154055625, 12.342330377005611]"
307,3,Otakara Březiny,Františkovy Lázně,Františkovy Lázně,369498402,"[50.12434338702585, 12.348653718294507]"
308,5,Otakara Březiny,Františkovy Lázně,Františkovy Lázně,369498402,"[50.12448575692751, 12.348573564924306]"
315,14,Májová,Františkovy Lázně,Františkovy Lázně,369500402,"[50.1264003945631, 12.341586759598261]"
330,11,Žižkova,Františkovy Lázně,Františkovy Lázně,369509402,"[50.12628513607546, 12.340065854043797]"
331,13,Žižkova,Františkovy Lázně,Františkovy Lázně,369506402,"[50.126451325563394, 12.340085842079608]"
362,8,Táborská,Františkovy Lázně,Františkovy Lázně,369515402,"[50.1269252067351, 12.339573468798054]"
352,33,Žižkova,Františkovy Lázně,Františkovy Lázně,369507402,"[50.12773870082909, 12.340629373003782]"
515,4A,Anglická,Františkovy Lázně,Františkovy Lázně,543364402,"[50.12169929536738, 12.347571783781639]"
394,15,Zahradní,Františkovy Lázně,Františkovy Lázně,350022402,"[50.12230444808009, 12.356093353685381]"
69,85,Americká,Františkovy Lázně,Horní Lomany,351979402,"[50.13346323287654, 12.33944127981423]"
82,43,Americká,Františkovy Lázně,Horní Lomany,351885402,"[50.12653137532066, 12.346102201211039]"
358,29a,Americká,Františkovy Lázně,Františkovy Lázně,350175402,"[50.12429973287321, 12.346805626281695]"
11,77,Americká,Františkovy Lázně,Horní Lomany,352374402,"[50.131136383473965, 12.341569169329906]"
146,14,Žírovická,Františkovy Lázně,Horní Lomany,352369402,"[50.12958108652558, 12.352862792556078]"
