cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
74, ,Místecká,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,384135804,"[49.54982388761469, 18.21449876942631]"
2200, ,Papratná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,383390804,"[49.5335803383865, 18.19342108632435]"
2198, ,Bystré,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,62153903010,"[49.534254815381686, 18.23578286001175]"
2060, ,Bezručova,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,601084804,"[49.53320283438745, 18.234380594457775]"
105, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,383666804,"[49.52167177467957, 18.222102337092206]"
2199, ,Příčnice,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,60526509010,"[49.5396630779832, 18.20283484252235]"
23, ,nám. Míru,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,385402804,"[49.54789903293771, 18.212545358095067]"
2202, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,62271843010,"[49.522935286325406, 18.211475990066155]"
2203, ,Buzkovice,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,62131041010,"[49.513678651615486, 18.214742615775098]"
651, ,Markova,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,385465804,"[49.54416191389172, 18.218017615827637]"
1066, ,Planiska,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,384150804,"[49.53500095975324, 18.243167696631005]"
2192, ,Místecká,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,736546804,"[49.550233263317566, 18.21380915692129]"
2191, ,Potoční,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,62102812010,"[49.52817441706817, 18.22871728821316]"
2190, ,Bartošky,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,61936839010,"[49.53069142906883, 18.198569697948898]"
2179, ,Ke stadionu,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,29898420010,"[49.55208384159578, 18.206626846092497]"
774, ,Bystré,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,384773804,"[49.53310470877518, 18.2361126745578]"
1408, ,U Siberie,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,385621804,"[49.532262831577455, 18.204332038903072]"
2175, ,Planiska,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,60627511010,"[49.538296624745904, 18.2381516745663]"
68, ,Papratná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,383289804,"[49.531917312198026, 18.189832856924028]"
210, ,Horní,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,385362804,"[49.546072739157026, 18.215476669989375]"
684, ,Lomná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,385025804,"[49.53334506640201, 18.228921357656557]"
1949, ,Pod Šenkem,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,789744804,"[49.55097371900526, 18.200219558689877]"
206, ,Lubina,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,384626804,"[49.53576338237305, 18.20370679216284]"
246, ,Za Střelnicí,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,383409804,"[49.546707500499345, 18.2294803686003]"
2164, ,Planiska,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,56764513010,"[49.538211912472725, 18.24184487108397]"
63, ,Papratná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,383391804,"[49.53142583469918, 18.18908196260009]"
2162, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,46936267010,"[49.52196957143506, 18.214178794958322]"
2163, ,Střelniční,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,55571326010,"[49.543233030579515, 18.230027487441617]"
1627, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,384496804,"[49.5204762169117, 18.21730290306986]"
2161, ,Bystré,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,55304313010,"[49.53339129355057, 18.238130351942708]"
2124, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,54367311010,"[49.522705089146484, 18.21281918205284]"
2159, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,385316804,"[49.540803888322664, 18.22423422725582]"
2147, ,Lomná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,383707804,"[49.53297750494403, 18.228853048689786]"
2146, ,Lomná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,39765073010,"[49.537534332488924, 18.228677097134977]"
2150, ,Lubina,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,49324237010,"[49.53222941836532, 18.207431442650847]"
2151, ,Závodí,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,50038425010,"[49.55023041140377, 18.209427013843886]"
2131, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,47211196010,"[49.534142174913896, 18.21333340535361]"
2148, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,49072237010,"[49.530308747162174, 18.209379295379282]"
2149, ,Pod Šenkem,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,40776044010,"[49.55666509031524, 18.199037341495774]"
2142, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,384485804,"[49.52237561832857, 18.21961481607581]"
2139, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,44510156010,"[49.522531911015186, 18.219025591876186]"
2137, ,Rožnovská,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,40379078010,"[49.533841690280646, 18.20417945058447]"
2145, ,Planiska,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,46774191010,"[49.5378019919307, 18.240332197315812]"
2144, ,Kopaná,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,43739131010,"[49.52686163748925, 18.2085910023954]"
2143, ,Bystré,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,47626182010,"[49.53862673451475, 18.231568997658332]"
418, ,Lubina,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,439760804,"[49.54095569419432, 18.20092875075239]"
1557, ,Střelniční,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,383274804,"[49.54677113324724, 18.22330143003474]"
2136, ,Závodí,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,40699099010,"[49.55054755227166, 18.211687450893436]"
2134, ,Bystré,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,42857126010,"[49.5382328195299, 18.23210673425025]"
2132, ,Planiska,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,39702047010,"[49.53995177115243, 18.238438115833915]"
2084, ,Planiska,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,42843133010,"[49.53859300351244, 18.244290549693424]"
2138, ,Potoční,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,46637204010,"[49.53150245396697, 18.231988788512044]"
93, ,Podříčí,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,386006804,"[49.54717268189652, 18.21600200393218]"
89, ,Podříčí,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,386006804,"[49.547023902569244, 18.21590364814987]"
90, ,Podříčí,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,386006804,"[49.54705456136193, 18.21592716601415]"
461, ,A. Havleny,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,386045804,"[49.54918006787567, 18.20817121584376]"
460, ,A. Havleny,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,386045804,"[49.54928364092765, 18.208303188878933]"
459, ,A. Havleny,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,386045804,"[49.5493870383915, 18.208436850466946]"
1153, ,Martinská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423070804,"[49.538153797870436, 18.20560601670124]"
1137, ,Martinská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423069804,"[49.53831679711058, 18.205213144265947]"
1151, ,Martinská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423070804,"[49.53839718076427, 18.205846614225038]"
1136, ,Martinská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423069804,"[49.53842395456127, 18.205326991102588]"
1221, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423044804,"[49.54083850157631, 18.209071388353575]"
1212, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423047804,"[49.54108409779364, 18.20934015190372]"
1389, ,Školská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423068804,"[49.540833795118964, 18.204751464659225]"
1214, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423048804,"[49.54115207027824, 18.21010430043627]"
1211, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423047804,"[49.54120408647667, 18.209467142496678]"
1388, ,Školská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423068804,"[49.540971611165226, 18.204874400712505]"
1222, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423050804,"[49.5412864371137, 18.20812872419397]"
1223, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423050804,"[49.541370096848254, 18.20795127094368]"
1387, ,Školská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423057804,"[49.541179722470865, 18.20432957633945]"
1198, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423043804,"[49.54156575587177, 18.20847037923251]"
1376, ,Školská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,384291804,"[49.54138146576649, 18.205318587399177]"
1217, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423049804,"[49.54178524643915, 18.210824434536885]"
1385, ,Školská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423057804,"[49.541453968037445, 18.204586035759583]"
1375, ,Školská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,384291804,"[49.5415046956915, 18.205440560153495]"
1197, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423043804,"[49.54172973384052, 18.208653914459287]"
1187, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423042804,"[49.541785617659286, 18.20801345665027]"
1206, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423034804,"[49.54196535080822, 18.210318593279904]"
1384, ,Školská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423037804,"[49.541664554630366, 18.204046699499926]"
1207, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423034804,"[49.54206781760208, 18.210434193942785]"
1383, ,Školská čtvrť,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423037804,"[49.54180059915557, 18.204171813947717]"
1208, ,Sídl. Beskydské,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,423034804,"[49.5421696028151, 18.210548915082235]"
