cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
1, , ,75121,Grymov,Grymov,Grymov,636274,"[49.480874790947716, 17.498839263538326]"
17, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48179655890619, 17.49915899905479]"
37, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48123147794029, 17.497006076275277]"
32, , ,75121,Grymov,Grymov,Grymov,636274,"[49.4827170595134, 17.495378872633434]"
66, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48302154697364, 17.500619576562883]"
44, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48292671501695, 17.4998287077362]"
49, , ,75121,Grymov,Grymov,Grymov,636274,"[49.4812583515861, 17.497636279121345]"
6, , ,75121,Grymov,Grymov,Grymov,636274,"[49.480457268799135, 17.49853823309495]"
27, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48195150043915, 17.499724125839805]"
68, , ,75121,Grymov,Grymov,Grymov, ,"[49.48212306930516, 17.49613008528403]"
15, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48151184833474, 17.498753076519645]"
7, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48052618952753, 17.498483409940917]"
29, , ,75121,Grymov,Grymov,Grymov,636274,"[49.483277966596376, 17.500101559272373]"
23, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48129684770574, 17.499100253467024]"
33, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48283371784404, 17.499747326598516]"
13, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48123988842274, 17.498298412408342]"
31, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48214879982059, 17.499423097439525]"
45, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48230767803492, 17.49989253377559]"
9, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48110707505587, 17.498643849288765]"
3, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48030940631824, 17.499081652216663]"
56, , ,75121,Grymov,Grymov,Grymov,636274,"[49.481839161166384, 17.49586963906415]"
25, , ,75121,Grymov,Grymov,Grymov,636274,"[49.482799670511305, 17.49509587784414]"
63, , ,75121,Grymov,Grymov,Grymov,636274,"[49.481343955851, 17.495577470902695]"
52, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48107051516318, 17.497268466639973]"
53, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48258656867582, 17.50040456398539]"
61, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48265514604301, 17.500208784122208]"
57, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48200480305389, 17.49568044849847]"
64, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48129642306148, 17.495251739688094]"
16, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48164999271403, 17.49895658982457]"
18, , ,75121,Grymov,Grymov,Grymov,636274,"[49.4820375729039, 17.49931751264385]"
21, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48165552900841, 17.499423848196475]"
58, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48213427937473, 17.49552100303959]"
30, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48060927693417, 17.498957089654702]"
59, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48229312021261, 17.49533572673417]"
54, , ,75121,Grymov,Grymov,Grymov,636274,"[49.4814882407528, 17.49625757262771]"
19, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48312605039884, 17.49967975190264]"
35, , ,75121,Grymov,Grymov,Grymov,636274,"[49.482250077619845, 17.499488141141388]"
62, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48326481900141, 17.494517172608923]"
14, , ,75121,Grymov,Grymov,Grymov,636274,"[49.481363635860546, 17.498550358121]"
26, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48458249716599, 17.501269125026024]"
48, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48318057705017, 17.500023598760936]"
55, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48168824556131, 17.496025733801662]"
36, , ,75121,Grymov,Grymov,Grymov,636274,"[49.482369559244134, 17.499543841514644]"
34, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48267419954852, 17.49961351542334]"
12, , ,75121,Grymov,Grymov,Grymov,636274,"[49.481138268580246, 17.49803488060346]"
24, , ,75121,Grymov,Grymov,Grymov,636274,"[49.481129196016774, 17.498940474915468]"
65, , ,75121,Grymov,Grymov,Grymov,636274,"[49.4812156724474, 17.494972511976233]"
60, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48070883543776, 17.498912577094703]"
38, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48217865794348, 17.49981148191072]"
22, , ,75121,Grymov,Grymov,Grymov,636274,"[49.481497185528845, 17.499281410195124]"
20, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48185155278896, 17.499605367278207]"
2, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48048663478578, 17.49883225968927]"
47, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48246553429048, 17.499581938801143]"
28, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48354953284986, 17.500333909404233]"
5, , ,75121,Grymov,Grymov,Grymov,636274,"[49.480361925090094, 17.498567843301267]"
10, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48378987940004, 17.500504872873382]"
43, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48248284008052, 17.500053983108128]"
51, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48347482790637, 17.500247467998122]"
46, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48261884911179, 17.494347536049442]"
67, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48227286797221, 17.496359463989144]"
50, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48119268282548, 17.497460608405916]"
4, , ,75121,Grymov,Grymov,Grymov,636274,"[49.480162475489344, 17.498344691766437]"
41, , ,75121,Grymov,Grymov,Grymov,636274,"[49.48014992943263, 17.498720883651494]"
42, , ,75121,Grymov,Grymov,Grymov,636274,"[49.480960714672676, 17.49681259541567]"
