cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
461, , ,Harrachov,Harrachov,0,"[50.775242085243626, 15.412942611863498]"
645, , ,Harrachov,Harrachov,0,"[50.769984256936574, 15.43564992249732]"
586, , ,Harrachov,Ryžoviště,0,"[50.763818852384006, 15.444501611998906]"
512, , ,Harrachov,Harrachov,224908631,"[50.77724516795012, 15.412347741229873]"
371, , ,Harrachov,Nový Svět,134997631,"[50.804488850491715, 15.423652969429408]"
226, , ,Harrachov,Harrachov,0,"[50.772612882174805, 15.425652719798183]"
460, , ,Harrachov,Harrachov,0,"[50.77176229394029, 15.447260099046918]"
704, , ,Harrachov,Nový Svět,60248212010,"[50.77902766231734, 15.423628139817632]"
13, , ,Harrachov,Harrachov,135662631,"[50.77769134672059, 15.41276111883757]"
189, , ,Harrachov,Harrachov,134867631,"[50.77253218558742, 15.427798164874464]"
191, , ,Harrachov,Harrachov,135576631,"[50.77221125399271, 15.427812730400875]"
194, , ,Harrachov,Harrachov,135728631,"[50.77304333591943, 15.42869815518243]"
479, , ,Harrachov,Harrachov,135196631,"[50.77247101566884, 15.428287755549881]"
12, , ,Harrachov,Harrachov,135065631,"[50.777912020081864, 15.412105367228369]"
188, , ,Harrachov,Harrachov,135209631,"[50.77280045395715, 15.42758477633293]"
382, , ,Harrachov,Harrachov,135185631,"[50.76954941626162, 15.437862019667135]"
384, , ,Harrachov,Harrachov,135661631,"[50.77268431332237, 15.435266119319389]"
327, , ,Harrachov,Nový Svět,0,"[50.7785460271438, 15.423902859794246]"
504, , ,Harrachov,Harrachov,135778631,"[50.77530282066419, 15.415332267067084]"
702, , ,Harrachov,Harrachov,51897575010,"[50.77244617028991, 15.430342284121858]"
700, , ,Harrachov,Nový Svět,44723113010,"[50.77854908503212, 15.423864548547346]"
701, , ,Harrachov,Nový Svět,44205175010,"[50.78279402737131, 15.41587698869585]"
690, , ,Harrachov,Nový Svět,517016504,"[50.77996618449164, 15.410901553038437]"
658, , ,Harrachov,Nový Svět,14817391010,"[50.78085884992285, 15.42259870520148]"
689, , ,Harrachov,Nový Svět,26012854010,"[50.778463387022995, 15.425309837835867]"
699, , ,Harrachov,Nový Svět,0,"[50.77786754980794, 15.4226835324381]"
697, , ,Harrachov,Nový Svět,29902424010,"[50.779850625893445, 15.426481557728584]"
693, , ,Harrachov,Harrachov,26478265010,"[50.77144682122627, 15.436879139318473]"
692, , ,Harrachov,Nový Svět,509860504,"[50.77944052754576, 15.409861574144664]"
694, , ,Harrachov,Harrachov,26601495010,"[50.770706108469035, 15.435981064416797]"
247, , ,Harrachov,Harrachov,134847631,"[50.77227849125391, 15.43547417536052]"
674, , ,Harrachov,Harrachov,15813300010,"[50.77770509078789, 15.433414800901302]"
269, , ,Harrachov,Harrachov,135606631,"[50.769876551221024, 15.437528384499824]"
680, , ,Harrachov,Harrachov,23349898010,"[50.7777989669598, 15.43311077031975]"
665, , ,Harrachov,Harrachov,23355961010,"[50.777232049853886, 15.432350103659413]"
664, , ,Harrachov,Harrachov,23358013010,"[50.77715856149665, 15.432221607559896]"
677, , ,Harrachov,Harrachov,23348072010,"[50.7775049318872, 15.432711072975536]"
663, , ,Harrachov,Harrachov,23348168010,"[50.77690989528302, 15.432284455508748]"
670, , ,Harrachov,Harrachov,15813205010,"[50.77726119451423, 15.433644328727086]"
675, , ,Harrachov,Harrachov,15813203010,"[50.77751682769872, 15.433208720607684]"
366, , ,Harrachov,Harrachov,134866631,"[50.77504511098534, 15.433219987230526]"
284, , ,Harrachov,Ryžoviště,135239631,"[50.764013103650086, 15.44337084567697]"
688, , ,Harrachov,Harrachov,24248795010,"[50.77171362712471, 15.428857073365608]"
131, , ,Harrachov,Nový Svět,135585631,"[50.77831410712808, 15.42513901994658]"
8, , ,Harrachov,Nový Svět,135583631,"[50.76688171003513, 15.397608866186804]"
667, , ,Harrachov,Harrachov,23825308010,"[50.777148116255944, 15.432780753841868]"
678, , ,Harrachov,Harrachov,23778997010,"[50.77757977691768, 15.43251075293226]"
662, , ,Harrachov,Harrachov,23356306010,"[50.77686316799226, 15.432150734036437]"
666, , ,Harrachov,Harrachov,23416020010,"[50.77706120566098, 15.43271201757353]"
679, , ,Harrachov,Harrachov,23355888010,"[50.77778927980061, 15.432641258285573]"
686, , ,Harrachov,Harrachov,23129211010,"[50.7725624107095, 15.426748704753978]"
509, , ,Harrachov,Nový Svět,493049504,"[50.78090358262436, 15.4113037866008]"
687, , ,Harrachov,Nový Svět,22280500010,"[50.77844019196455, 15.426628621594768]"
685, , ,Harrachov,Nový Svět,22216432010,"[50.778410019382896, 15.42509170301882]"
684, , ,Harrachov,Nový Svět,21782254010,"[50.78201475827283, 15.413915035281269]"
683, , ,Harrachov,Nový Svět,20316671010,"[50.77807176224153, 15.409272408864508]"
682, , ,Harrachov,Ryžoviště,17355123010,"[50.76461031024964, 15.44382561503938]"
660, , ,Harrachov,Nový Svět,14893071010,"[50.778688839976866, 15.410323026495227]"
672, , ,Harrachov,Harrachov,15813302010,"[50.7774819957607, 15.433572643867425]"
673, , ,Harrachov,Harrachov,15813301010,"[50.777538746215306, 15.433718695830782]"
668, , ,Harrachov,Harrachov,15813227010,"[50.77717012141017, 15.433176430244714]"
676, , ,Harrachov,Harrachov,15813226010,"[50.777486922342774, 15.432943147955854]"
671, , ,Harrachov,Harrachov,15813204010,"[50.77734360171628, 15.433771085456101]"
669, , ,Harrachov,Harrachov,15813229010,"[50.77709756900052, 15.433290591150502]"
203, , ,Harrachov,Harrachov,135213631,"[50.77594130197605, 15.434238591619206]"
147, , ,Harrachov,Harrachov,134868631,"[50.776834693608734, 15.426274542244396]"
179, , ,Harrachov,Harrachov,509939504,"[50.77401765469183, 15.428006732645011]"
395, , ,Harrachov,Harrachov,135085631,"[50.77353541687171, 15.429327782840284]"
302, , ,Harrachov,Ryžoviště,135290631,"[50.75899226934043, 15.443278907766276]"
431, , ,Harrachov,Harrachov,135048631,"[50.77155510301483, 15.435360003308928]"
480, , ,Harrachov,Harrachov,135546631,"[50.77325028691851, 15.433829546803555]"
175, , ,Harrachov,Harrachov,135221631,"[50.77684724435145, 15.427911273069482]"
223, , ,Harrachov,Harrachov,135277631,"[50.77134558496939, 15.43166689456158]"
90, , ,Harrachov,Nový Svět,135532631,"[50.78533841928027, 15.418452662799]"
262, , ,Harrachov,Harrachov,135511631,"[50.77028332761521, 15.434972677991995]"
98, , ,Harrachov,Nový Svět,135498631,"[50.78285887110729, 15.418934120640472]"
174, , ,Harrachov,Harrachov,134872631,"[50.775345136469774, 15.427374406147765]"
210, , ,Harrachov,Harrachov,134902631,"[50.77390642054949, 15.433367339883663]"
425, , ,Harrachov,Harrachov,135088631,"[50.772628489465745, 15.435663809946902]"
10, , ,Harrachov,Harrachov,135574631,"[50.77750015052651, 15.411180717108454]"
154, , ,Harrachov,Harrachov,135800631,"[50.77665618603366, 15.413785960176922]"
270, , ,Harrachov,Harrachov,135445631,"[50.771024272240574, 15.452331442290621]"
631, , ,Harrachov,Harrachov,135638631,"[50.77144882125889, 15.434250678328597]"
416, , ,Harrachov,Harrachov,135689631,"[50.776825807155475, 15.421774680254348]"
596, , ,Harrachov,Nový Svět,135639631,"[50.78063119761967, 15.424161107584569]"
236, , ,Harrachov,Harrachov,135183631,"[50.77253906667074, 15.433572758553828]"
518, , ,Harrachov,Harrachov,135393631,"[50.77262415522637, 15.432774985666185]"
184, , ,Harrachov,Harrachov,134886631,"[50.77288663822686, 15.426804906145563]"
458, , ,Harrachov,Nový Svět,135478631,"[50.77974772579356, 15.406709332217522]"
590, , ,Harrachov,Nový Svět,135624631,"[50.78122173557999, 15.415009566022448]"
630, , ,Harrachov,Nový Svět,135596631,"[50.78408846575948, 15.419438394836465]"
592, , ,Harrachov,Nový Svět,135600631,"[50.78016671235396, 15.420613419991815]"
411, , ,Harrachov,Harrachov,134993631,"[50.77514546750782, 15.418106262167722]"
29, , ,Harrachov,Nový Svět,135444631,"[50.77940662797969, 15.415712021482651]"
583, , ,Harrachov,Harrachov,135427631,"[50.775630120131964, 15.43523582539269]"
627, , ,Harrachov,Harrachov,135629631,"[50.7735676694002, 15.42782082619942]"
324, , ,Harrachov,Ryžoviště,135241631,"[50.762941091356076, 15.445039185928616]"
295, , ,Harrachov,Ryžoviště,155170631,"[50.760078269536656, 15.442748572332397]"
201, , ,Harrachov,Harrachov,135272631,"[50.77556321801676, 15.432833988567818]"
408, , ,Harrachov,Harrachov,135802631,"[50.77188323319677, 15.43648958953505]"
177, , ,Harrachov,Harrachov,135620631,"[50.774333725322585, 15.428039826508416]"
209, , ,Harrachov,Harrachov,135544631,"[50.77407684797229, 15.435423069633153]"
491, , ,Harrachov,Nový Svět,135155631,"[50.782017576254816, 15.41711912551558]"
52, , ,Harrachov,Nový Svět,134870631,"[50.780618533857215, 15.411573024636253]"
108, , ,Harrachov,Nový Svět,134930631,"[50.77967850404114, 15.417931146803337]"
80, , ,Harrachov,Nový Svět,135363631,"[50.78279910871772, 15.41627331271991]"
579, , ,Harrachov,Nový Svět,135401631,"[50.77969228649878, 15.410320297789369]"
109, , ,Harrachov,Nový Svět,134898631,"[50.77995506307888, 15.418475345336493]"
306, , ,Harrachov,Ryžoviště,135279631,"[50.75720906492525, 15.446540266515246]"
410, , ,Harrachov,Harrachov,135027631,"[50.77476999180251, 15.4282171337673]"
647, , ,Harrachov,Harrachov,171717631,"[50.77724628947948, 15.428033293243795]"
33, , ,Harrachov,Nový Svět,475025504,"[50.780066985308615, 15.414024774309071]"
166, , ,Harrachov,Harrachov,134863631,"[50.774613529664464, 15.419707445753998]"
362, , ,Harrachov,Harrachov,194587631,"[50.76861804165537, 15.442510330485806]"
651, , ,Harrachov,Harrachov,216187631,"[50.76943858308828, 15.443305624154657]"
650, , ,Harrachov,Harrachov,200707631,"[50.76901098201284, 15.442853868690444]"
276, , ,Harrachov,Harrachov,134878631,"[50.76783049194625, 15.436385222187589]"
357, , ,Harrachov,Harrachov,135517631,"[50.774779699481996, 15.43706207268301]"
365, , ,Harrachov,Harrachov,135354631,"[50.77235577664124, 15.433019358591517]"
311, , ,Harrachov,Ryžoviště,135280631,"[50.75738389383581, 15.447708296082395]"
38, , ,Harrachov,Nový Svět,135017631,"[50.77996553258692, 15.412188291160165]"
3, , ,Harrachov,Nový Svět,135617631,"[50.76365408996919, 15.396794548341072]"
138, , ,Harrachov,Nový Svět,135467631,"[50.77760166533566, 15.423744330198467]"
638, , ,Harrachov,Nový Svět,471434504,"[50.778010914152816, 15.41045574174928]"
562, , ,Harrachov,Nový Svět,135685631,"[50.77987081021762, 15.424663320478613]"
57, , ,Harrachov,Nový Svět,134907631,"[50.78139738687678, 15.413435822973282]"
46, , ,Harrachov,Nový Svět,135130631,"[50.778995275813216, 15.409879030528389]"
351, , ,Harrachov,Nový Svět,135510631,"[50.78179072322223, 15.416687620907563]"
106, , ,Harrachov,Nový Svět,135128631,"[50.77866931241132, 15.408852696852207]"
93, , ,Harrachov,Nový Svět,134959631,"[50.78485353944074, 15.42078892424962]"
25, , ,Harrachov,Nový Svět,135260631,"[50.77904678104293, 15.412943981611926]"
624, , ,Harrachov,Harrachov,135633631,"[50.775530157029536, 15.414612549429677]"
255, , ,Harrachov,Harrachov,135179631,"[50.77002786246129, 15.434126314490177]"
452, , ,Harrachov,Harrachov,135167631,"[50.77054124411005, 15.436830071762317]"
289, , ,Harrachov,Ryžoviště,135242631,"[50.762551724981435, 15.445106102157688]"
516, , ,Harrachov,Harrachov,135391631,"[50.77234782967913, 15.432456718669142]"
599, , ,Harrachov,Harrachov,135529631,"[50.77586745261416, 15.434962799488817]"
162, , ,Harrachov,Harrachov,135704631,"[50.775234515391816, 15.417079068548778]"
381, , ,Harrachov,Harrachov,135703631,"[50.771933659289644, 15.437384867452865]"
442, , ,Harrachov,Harrachov,135614631,"[50.77059088216064, 15.434037820681763]"
502, , ,Harrachov,Harrachov,135397631,"[50.77540308092178, 15.418258574162168]"
360, , ,Harrachov,Harrachov,135523631,"[50.77107094167071, 15.431392019380388]"
359, , ,Harrachov,Harrachov,135004631,"[50.77606800461902, 15.415311692543904]"
409, , ,Harrachov,Harrachov,135028631,"[50.77473516825483, 15.428256933718078]"
373, , ,Harrachov,Harrachov,135547631,"[50.776035236610724, 15.424262222051796]"
426, , ,Harrachov,Harrachov,135119631,"[50.77248545535167, 15.435918549534325]"
163, , ,Harrachov,Harrachov,135029631,"[50.77491668076083, 15.416860121348183]"
238, , ,Harrachov,Harrachov,134904631,"[50.773145941972864, 15.432931915567568]"
285, , ,Harrachov,Ryžoviště,135240631,"[50.76381149597156, 15.44370919396228]"
68, , ,Harrachov,Nový Svět,135243631,"[50.781321473035135, 15.416026674657967]"
533, , ,Harrachov,Nový Svět,135416631,"[50.780684629650494, 15.4265774285068]"
629, , ,Harrachov,Nový Svět,135590631,"[50.78169553341916, 15.418263474890484]"
636, , ,Harrachov,Nový Svět,135649631,"[50.77847333621614, 15.410922358540354]"
598, , ,Harrachov,Nový Svět,135659631,"[50.78027355660964, 15.424256019689135]"
401, , ,Harrachov,Nový Svět,135022631,"[50.77899877916909, 15.419870386918525]"
349, , ,Harrachov,Nový Svět,135501631,"[50.7818366717351, 15.416142027023497]"
145, , ,Harrachov,Harrachov,134873631,"[50.777339999875565, 15.427079318658349]"
628, , ,Harrachov,Harrachov,135644631,"[50.76873289860309, 15.42653999067789]"
478, , ,Harrachov,Harrachov,135195631,"[50.772477623215984, 15.42843644124148]"
380, , ,Harrachov,Harrachov,134938631,"[50.77263370557701, 15.434576399445405]"
515, , ,Harrachov,Harrachov,135394631,"[50.77221637823627, 15.432267137998624]"
180, , ,Harrachov,Harrachov,135106631,"[50.77442732214207, 15.426276309216833]"
204, , ,Harrachov,Harrachov,134962631,"[50.77570853663078, 15.434770561503068]"
252, , ,Harrachov,Harrachov,135466631,"[50.77094931453266, 15.433671473095869]"
256, , ,Harrachov,Harrachov,134853631,"[50.77026771726686, 15.434427699627859]"
299, , ,Harrachov,Ryžoviště,135001631,"[50.76042117025724, 15.446933412745066]"
257, , ,Harrachov,Harrachov,135628631,"[50.77123725363059, 15.434555360237864]"
482, , ,Harrachov,Harrachov,135396631,"[50.77554594478629, 15.418037788896136]"
291, , ,Harrachov,Ryžoviště,135192631,"[50.76187880049453, 15.443793312434856]"
16, , ,Harrachov,Harrachov,135269631,"[50.778447186547076, 15.415073032030648]"
168, , ,Harrachov,Harrachov,135105631,"[50.773340982447486, 15.423214877743314]"
220, , ,Harrachov,Harrachov,135276631,"[50.77127120627428, 15.430965410508739]"
152, , ,Harrachov,Harrachov,135283631,"[50.77622871045297, 15.425068059578278]"
43, , ,Harrachov,Nový Svět,135668631,"[50.77838188072635, 15.407933973326886]"
338, , ,Harrachov,Nový Svět,135148631,"[50.77844409835951, 15.422485959158129]"
422, , ,Harrachov,Nový Svět,135044631,"[50.78088545414386, 15.415722682412174]"
47, , ,Harrachov,Nový Svět,135255631,"[50.7799447002362, 15.410355741494755]"
95, , ,Harrachov,Nový Svět,135496631,"[50.78247068902359, 15.419489654002431]"
582, , ,Harrachov,Nový Svět,135738631,"[50.77789368583654, 15.426935410803658]"
552, , ,Harrachov,Nový Svět,168497631,"[50.77948276156831, 15.42641059225514]"
621, , ,Harrachov,Harrachov,169997631,"[50.77465444305123, 15.426625170399733]"
316, , ,Harrachov,Ryžoviště,135687631,"[50.75627032766248, 15.45199542135739]"
241, , ,Harrachov,Harrachov,134987631,"[50.77317921362931, 15.434141378438344]"
185, , ,Harrachov,Harrachov,134876631,"[50.77366851069348, 15.427403890158393]"
379, , ,Harrachov,Harrachov,134937631,"[50.7721371800275, 15.435750859211163]"
11, , ,Harrachov,Harrachov,135349631,"[50.77738280008276, 15.411775102957135]"
328, , ,Harrachov,Mýtiny,135122631,"[50.77157429626372, 15.392519827907106]"
42, , ,Harrachov,Nový Svět,134908631,"[50.77839358795135, 15.409743256052645]"
443, , ,Harrachov,Harrachov,135046631,"[50.77084859932672, 15.434796343319846]"
344, , ,Harrachov,Harrachov,134953631,"[50.776143180979645, 15.414972002343264]"
150, , ,Harrachov,Harrachov,135799631,"[50.77655206701773, 15.4244780375683]"
218, , ,Harrachov,Harrachov,135541631,"[50.771357774904125, 15.43028705383272]"
292, , ,Harrachov,Ryžoviště,0,"[50.76187432279266, 15.441435281312705]"
198, , ,Harrachov,Harrachov,135204631,"[50.773867769103354, 15.430603828262699]"
246, , ,Harrachov,Harrachov,162995631,"[50.77203643010794, 15.436126604787415]"
393, , ,Harrachov,Harrachov,134966631,"[50.770769416135224, 15.436600719976601]"
122, , ,Harrachov,Nový Svět,135042631,"[50.779710970020645, 15.418365944895434]"
542, , ,Harrachov,Nový Svět,135423631,"[50.78023366729586, 15.427581710235055]"
126, , ,Harrachov,Nový Svět,135584631,"[50.779979747211726, 15.420856270636548]"
130, , ,Harrachov,Nový Svět,135067631,"[50.778374718206656, 15.423727209242315]"
183, , ,Harrachov,Harrachov,134923631,"[50.77326886487277, 15.425400972354883]"
239, , ,Harrachov,Harrachov,135736631,"[50.773359133539174, 15.4334554896129]"
329, , ,Harrachov,Ryžoviště,135635631,"[50.761356931346235, 15.445930788656668]"
159, , ,Harrachov,Harrachov,135688631,"[50.77577377104517, 15.415824658802565]"
211, , ,Harrachov,Harrachov,135100631,"[50.773890276569674, 15.433082102548529]"
86, , ,Harrachov,Nový Svět,135025631,"[50.784602891256846, 15.419393066129654]"
421, , ,Harrachov,Nový Svět,135047631,"[50.78172963427234, 15.415594078491061]"
522, , ,Harrachov,Nový Svět,135417631,"[50.78048823869659, 15.426044371686015]"
70, , ,Harrachov,Nový Svět,135468631,"[50.78060955624492, 15.416165964846442]"
34, , ,Harrachov,Nový Svět,135087631,"[50.78025661937602, 15.414039379517206]"
337, , ,Harrachov,Mýtiny,135598631,"[50.76806794135245, 15.39328957589705]"
74, , ,Harrachov,Nový Svět,134895631,"[50.78076217329506, 15.416760271777722]"
391, , ,Harrachov,Nový Svět,134955631,"[50.77933436084615, 15.417363746153104]"
141, , ,Harrachov,Nový Svět,135505631,"[50.778386858728204, 15.426151486591287]"
511, , ,Harrachov,Nový Svět,135818631,"[50.77934256777261, 15.415049548181974]"
56, , ,Harrachov,Nový Svět,135077631,"[50.7814144926633, 15.412610141545816]"
72, , ,Harrachov,Nový Svět,135637631,"[50.78042348568318, 15.416679241953728]"
419, , ,Harrachov,Nový Svět,135809631,"[50.78066748747258, 15.41475014813717]"
429, , ,Harrachov,Harrachov,135055631,"[50.77163500821933, 15.435108734808031]"
12, , ,Harrachov,Harrachov,135346631,"[50.774195492616784, 15.419703488142014]"
221, , ,Harrachov,Harrachov,135663631,"[50.77145551344529, 15.431221361985475]"
488, , ,Harrachov,Harrachov,135341631,"[50.76997353080194, 15.438020914674375]"
